Orthogroup	longest_isoform_HydraProteins	longest_isoform_HydractiniaProteins
OG0006290	Hydra|LOC100201992	Hydractinia|LOC130656445
OG0006291	Hydra|LOC100204766	Hydractinia|LOC130656152
OG0006292	Hydra|LOC100203543	Hydractinia|LOC130656155
OG0006293	Hydra|LOC100201390	Hydractinia|LOC130612351, Hydractinia|LOC130662727
OG0006294	Hydra|LOC100206412	Hydractinia|LOC130662539
OG0006295	Hydra|LOC100205201	Hydractinia|LOC130612117
OG0006296	Hydra|LOC100210554	Hydractinia|LOC130636745
OG0006297	Hydra|LOC100199637	Hydractinia|LOC130636746
OG0006298	Hydra|LOC100215995	Hydractinia|LOC130636743
OG0006299	Hydra|LOC100211221	Hydractinia|LOC130636561
OG0006300	Hydra|LOC100205449	Hydractinia|LOC130636371
OG0006301	Hydra|LOC100209077	Hydractinia|LOC130635714
OG0006302	Hydra|LOC100197055	Hydractinia|LOC130636368
OG0006303	Hydra|LOC100206510	Hydractinia|LOC130644868
OG0006304	Hydra|LOC105843168	Hydractinia|LOC130644869
OG0006305	Hydra|LOC101234408	Hydractinia|LOC130622080
OG0006306	Hydra|LOC100215397	Hydractinia|LOC130622740
OG0006307	Hydra|LOC100211577	Hydractinia|LOC130621448
OG0006308	Hydra|LOC100212689	Hydractinia|LOC130621109
OG0006309	Hydra|LOC101237804	Hydractinia|LOC130621484
OG0006310	Hydra|LOC101238385	Hydractinia|LOC130621956
OG0006311	Hydra|LOC100200676	Hydractinia|LOC130647452
OG0006312	Hydra|LOC100198098	Hydractinia|LOC130646540
OG0006313	Hydra|LOC105843244	Hydractinia|LOC130646582
OG0006315	Hydra|LOC101241796	Hydractinia|LOC130645218
OG0006316	Hydra|LOC100202053	Hydractinia|LOC130623310
OG0006317	Hydra|LOC100213412	Hydractinia|LOC130623308
OG0006318	Hydra|LOC100215976	Hydractinia|LOC130623700
OG0006320	Hydra|LOC100213002	Hydractinia|LOC130623451
OG0006322	Hydra|LOC101237531	Hydractinia|LOC130622868
OG0006323	Hydra|LOC100200758	Hydractinia|LOC130614058
OG0006324	Hydra|LOC100214237	Hydractinia|LOC130613929
OG0006325	Hydra|LOC100208664	Hydractinia|LOC130614059
OG0006326	Hydra|LOC100206518	Hydractinia|LOC130613922
OG0006327	Hydra|LOC101237426	Hydractinia|LOC130613915
OG0006328	Hydra|LOC100204683	Hydractinia|LOC130614574
OG0006330	Hydra|LOC100202023	Hydractinia|LOC130622893
OG0006331	Hydra|LOC100203277	Hydractinia|LOC130622891
OG0006332	Hydra|LOC100205377	Hydractinia|LOC130624310
OG0006333	Hydra|LOC100212202	Hydractinia|LOC130623387
OG0006335	Hydra|LOC100209432	Hydractinia|LOC130621869
OG0006336	Hydra|LOC100206275	Hydractinia|LOC130621870
OG0006337	Hydra|LOC101240794	Hydractinia|LOC130621521
OG0006338	Hydra|LOC100202951	Hydractinia|LOC130624375
OG0006339	Hydra|LOC100213124	Hydractinia|LOC130623769
OG0006340	Hydra|LOC100208846	Hydractinia|LOC130623435
OG0006341	Hydra|LOC101234335	Hydractinia|LOC130623292
OG0006342	Hydra|LOC100205078	Hydractinia|LOC130624950
OG0006343	Hydra|LOC100200521	Hydractinia|LOC130625481
OG0006344	Hydra|LOC105848799	Hydractinia|LOC130614589
OG0006346	Hydra|LOC100208408	Hydractinia|LOC130641749
OG0006347	Hydra|LOC100210886	Hydractinia|LOC130641751
OG0006348	Hydra|LOC100211585	Hydractinia|LOC130641755
OG0006349	Hydra|LOC100203022	Hydractinia|LOC130641752
OG0006350	Hydra|LOC100210980	Hydractinia|LOC130641866
OG0006351	Hydra|LOC101236409	Hydractinia|LOC130624309
OG0006352	Hydra|LOC100198390	Hydractinia|LOC130647629
OG0006353	Hydra|LOC100214271	Hydractinia|LOC130630659
OG0006354	Hydra|LOC100212022	Hydractinia|LOC130630273
OG0006355	Hydra|LOC100215770	Hydractinia|LOC130630642
OG0006356	Hydra|LOC100203611	Hydractinia|LOC130630539
OG0006357	Hydra|LOC100208133	Hydractinia|LOC130645515
OG0006358	Hydra|LOC100214468	Hydractinia|LOC130645522
OG0006359	Hydra|LOC100197520	Hydractinia|LOC130645517
OG0006360	Hydra|LOC100201087	Hydractinia|LOC130645510
OG0006361	Hydra|LOC100211402	Hydractinia|LOC130654262
OG0006362	Hydra|LOC124807022	Hydractinia|LOC130654268
OG0006363	Hydra|LOC100210200	Hydractinia|LOC130654120
OG0006364	Hydra|LOC100212506	Hydractinia|LOC130654529
OG0006365	Hydra|LOC101236943	Hydractinia|LOC130654267
OG0006366	Hydra|LOC100203494	Hydractinia|LOC130654266
OG0006367	Hydra|LOC100208033	Hydractinia|LOC130654121
OG0006368	Hydra|LOC101236706	Hydractinia|LOC130635037
OG0006369	Hydra|LOC100209421	Hydractinia|LOC130635053
OG0006370	Hydra|LOC100210060	Hydractinia|LOC130636581, Hydractinia|LOC130635394
OG0006371	Hydra|LOC100211720	Hydractinia|LOC130648714
OG0006372	Hydra|LOC100208588	Hydractinia|LOC130648937
OG0006373	Hydra|LOC100200594	Hydractinia|LOC130648840
OG0006374	Hydra|LOC100213621	Hydractinia|LOC130648938
OG0006375	Hydra|LOC100215329	Hydractinia|LOC130648715
OG0006376	Hydra|LOC100215536	Hydractinia|LOC130649365
OG0006377	Hydra|LOC100198913	Hydractinia|LOC130649046
OG0006378	Hydra|LOC100204427	Hydractinia|LOC130648806
OG0006379	Hydra|LOC105845492	Hydractinia|LOC130629715
OG0006380	Hydra|LOC100197315	Hydractinia|LOC130630544
OG0006381	Hydra|LOC100204708	Hydractinia|LOC130655947
OG0006382	Hydra|LOC100201285	Hydractinia|LOC130654957
OG0006383	Hydra|LOC100212543	Hydractinia|LOC130641740
OG0006384	Hydra|LOC101236496	Hydractinia|LOC130641296
OG0006385	Hydra|LOC100197951	Hydractinia|LOC130649117
OG0006386	Hydra|LOC100204640	Hydractinia|LOC130648407
OG0006388	Hydra|LOC100197916	Hydractinia|LOC130649248
OG0006389	Hydra|LOC100214605	Hydractinia|LOC130648755
OG0006390	Hydra|LOC100198714	Hydractinia|LOC130625985
OG0006391	Hydra|LOC100212659	Hydractinia|LOC130626123
OG0006392	Hydra|LOC100199685	Hydractinia|LOC130626146
OG0006393	Hydra|LOC100212467	Hydractinia|LOC130625629, Hydractinia|LOC130626042
OG0006394	Hydra|LOC100209406	Hydractinia|LOC130623747
OG0006395	Hydra|LOC100209980	Hydractinia|LOC130644751
OG0006396	Hydra|LOC100212287	Hydractinia|LOC130644752
OG0006397	Hydra|LOC100211290	Hydractinia|LOC130657544
OG0006398	Hydra|LOC100199208	Hydractinia|LOC130656867
OG0006399	Hydra|LOC101238367	Hydractinia|LOC130656537
OG0006400	Hydra|LOC100214361	Hydractinia|LOC130656620
OG0006401	Hydra|LOC124811624	Hydractinia|LOC130656420
OG0006402	Hydra|LOC100211299	Hydractinia|LOC130654538
OG0006403	Hydra|LOC100212562	Hydractinia|LOC130654819
OG0006404	Hydra|LOC100198291	Hydractinia|LOC130655671
OG0006405	Hydra|LOC100198206	Hydractinia|LOC130655672
OG0006408	Hydra|LOC100205758	Hydractinia|LOC130613246
OG0006409	Hydra|LOC100199130	Hydractinia|LOC130613527, Hydractinia|LOC130613529, Hydractinia|LOC130613526
OG0006410	Hydra|LOC100198118	Hydractinia|LOC130647155
OG0006411	Hydra|LOC100208828	Hydractinia|LOC130647154
OG0006412	Hydra|LOC100214976	Hydractinia|LOC130656411
OG0006413	Hydra|LOC100202916	Hydractinia|LOC130656413
OG0006414	Hydra|LOC101240117	Hydractinia|LOC130657678
OG0006415	Hydra|LOC100203414	Hydractinia|LOC130644847
OG0006416	Hydra|LOC100202086	Hydractinia|LOC130623736
OG0006417	Hydra|LOC100215800	Hydractinia|LOC130622877
OG0006418	Hydra|LOC100208640	Hydractinia|LOC130629163
OG0006419	Hydra|LOC100210672	Hydractinia|LOC130629164
OG0006420	Hydra|LOC100201387	Hydractinia|LOC130622751
OG0006421	Hydra|LOC105848813	Hydractinia|LOC130621743
OG0006422	Hydra|LOC100210023	Hydractinia|LOC130621759
OG0006423	Hydra|LOC100209856	Hydractinia|LOC130621564
OG0006424	Hydra|LOC100211425	Hydractinia|LOC130622357
OG0006425	Hydra|LOC100203706	Hydractinia|LOC130622779
OG0006426	Hydra|LOC100215973	Hydractinia|LOC130614569
OG0006427	Hydra|LOC101241437	Hydractinia|LOC130628857
OG0006429	Hydra|LOC101241363	Hydractinia|LOC130658035
OG0006430	Hydra|LOC101241426	Hydractinia|LOC130657623
OG0006431	Hydra|LOC100205337	Hydractinia|LOC130657642
OG0006432	Hydra|LOC100198802	Hydractinia|LOC130642092
OG0006433	Hydra|LOC100200766	Hydractinia|LOC130641089
OG0006434	Hydra|LOC100197240	Hydractinia|LOC130641812
OG0006435	Hydra|LOC105845188	Hydractinia|LOC130641026
OG0006436	Hydra|LOC100211709	Hydractinia|LOC130614389
OG0006437	Hydra|LOC100203849	Hydractinia|LOC130641816
OG0006438	Hydra|LOC101237090	Hydractinia|LOC130613878
OG0006439	Hydra|LOC100210252	Hydractinia|LOC130614379
OG0006440	Hydra|LOC100202888	Hydractinia|LOC130614315
OG0006441	Hydra|LOC100205021	Hydractinia|LOC130614388
OG0006442	Hydra|LOC124809151	Hydractinia|LOC130613877
OG0006443	Hydra|LOC100215219	Hydractinia|LOC130647579
OG0006444	Hydra|LOC100203125	Hydractinia|LOC130647020
OG0006445	Hydra|LOC100210358	Hydractinia|LOC130646988
OG0006446	Hydra|LOC105848289	Hydractinia|LOC130647022
OG0006447	Hydra|LOC100199350	Hydractinia|LOC130622862
OG0006448	Hydra|LOC101236448	Hydractinia|LOC130623677
OG0006449	Hydra|LOC105843081	Hydractinia|LOC130623922
OG0006450	Hydra|LOC100207230	Hydractinia|LOC130623340
OG0006451	Hydra|LOC100203346	Hydractinia|LOC130633839
OG0006452	Hydra|LOC100198325	Hydractinia|LOC130655789
OG0006453	Hydra|LOC101240572	Hydractinia|LOC130655785
OG0006454	Hydra|LOC101237433	Hydractinia|LOC130656050
OG0006455	Hydra|LOC100215375	Hydractinia|LOC130621142
OG0006456	Hydra|LOC100210289	Hydractinia|LOC130622280
OG0006457	Hydra|LOC100198455	Hydractinia|LOC130624327
OG0006458	Hydra|LOC100201401	Hydractinia|LOC130623839, Hydractinia|LOC130621813, Hydractinia|LOC130624049
OG0006459	Hydra|LOC100192291	Hydractinia|LOC130614508
OG0006460	Hydra|LOC100198877	Hydractinia|LOC130613841
OG0006461	Hydra|LOC100205576	Hydractinia|LOC130642090
OG0006462	Hydra|LOC101238082	Hydractinia|LOC130613352
OG0006463	Hydra|LOC100199117	Hydractinia|LOC130613342
OG0006464	Hydra|LOC100204077	Hydractinia|LOC130662378
OG0006465	Hydra|LOC100209767	Hydractinia|LOC130662375
OG0006466	Hydra|LOC100198946	Hydractinia|LOC130623321
OG0006467	Hydra|LOC100198910	Hydractinia|LOC130623609
OG0006468	Hydra|LOC100210923	Hydractinia|LOC130623475
OG0006469	Hydra|LOC100204379	Hydractinia|LOC130624013
OG0006470	Hydra|LOC100207060	Hydractinia|LOC130623603
OG0006471	Hydra|LOC100203559	Hydractinia|LOC130614387
OG0006472	Hydra|LOC100207157	Hydractinia|LOC130614382
OG0006474	Hydra|LOC101238684	Hydractinia|LOC130613269
OG0006475	Hydra|LOC100207189	Hydractinia|LOC130612206
OG0006476	Hydra|LOC100201325	Hydractinia|LOC130613268
OG0006477	Hydra|LOC100210057	Hydractinia|LOC130662354
OG0006478	Hydra|LOC100206908	Hydractinia|LOC130630617
OG0006479	Hydra|LOC100209037	Hydractinia|LOC130630406
OG0006480	Hydra|LOC101241013	Hydractinia|LOC130648064, Hydractinia|LOC130649961
OG0006481	Hydra|LOC100204685	Hydractinia|LOC130624282
OG0006482	Hydra|LOC100211373	Hydractinia|LOC130636251
OG0006483	Hydra|LOC100204508	Hydractinia|LOC130636261
OG0006484	Hydra|LOC100202681	Hydractinia|LOC130636266
OG0006485	Hydra|LOC100208352	Hydractinia|LOC130636277
OG0006486	Hydra|LOC100202243	Hydractinia|LOC130625031
OG0006487	Hydra|LOC100211670	Hydractinia|LOC130625032
OG0006488	Hydra|LOC100215274	Hydractinia|LOC130625030
OG0006489	Hydra|LOC100210418	Hydractinia|LOC130629258
OG0006490	Hydra|LOC101239635	Hydractinia|LOC130645381
OG0006491	Hydra|LOC101234687	Hydractinia|LOC130645604
OG0006492	Hydra|LOC100203159	Hydractinia|LOC130621731
OG0006493	Hydra|LOC100212878	Hydractinia|LOC130622310
OG0006494	Hydra|LOC100201710	Hydractinia|LOC130622441, Hydractinia|LOC130621459
OG0006495	Hydra|LOC105843806	Hydractinia|LOC130622099, Hydractinia|LOC130622070
OG0006496	Hydra|LOC100210167	Hydractinia|LOC130647497
OG0006497	Hydra|LOC101234934	Hydractinia|LOC130622748
OG0006498	Hydra|LOC100208691	Hydractinia|LOC130648946
OG0006499	Hydra|LOC100214695	Hydractinia|LOC130648677
OG0006500	Hydra|LOC100202807	Hydractinia|LOC130648680
OG0006501	Hydra|LOC100199218	Hydractinia|LOC130648682
OG0006502	Hydra|LOC100212875	Hydractinia|LOC130645361
OG0006503	Hydra|LOC100203270	Hydractinia|LOC130630260
OG0006504	Hydra|LOC105843285	Hydractinia|LOC130630479
OG0006505	Hydra|LOC100214592	Hydractinia|LOC130630478
OG0006506	Hydra|LOC100198305	Hydractinia|LOC130630529
OG0006508	Hydra|LOC100209610	Hydractinia|LOC130654855
OG0006509	Hydra|LOC100198454	Hydractinia|LOC130656007
OG0006510	Hydra|LOC101239412	Hydractinia|LOC130655919
OG0006512	Hydra|LOC100212340	Hydractinia|LOC130648722
OG0006514	Hydra|LOC101240736	Hydractinia|LOC130630604
OG0006515	Hydra|LOC100208025	Hydractinia|LOC130657703
OG0006516	Hydra|LOC100198694	Hydractinia|LOC130657063
OG0006517	Hydra|LOC101236710	Hydractinia|LOC130657705
OG0006518	Hydra|LOC100215923	Hydractinia|LOC130641497
OG0006519	Hydra|LOC124814471	Hydractinia|LOC130640651
OG0006520	hywnt1	Hydractinia|LOC130642145
OG0006521	Hydra|LOC100201323	Hydractinia|LOC130614608
OG0006522	Hydra|LOC100200130	Hydractinia|LOC130657927
OG0006526	Hydra|LOC100206948	Hydractinia|LOC130656502
OG0006527	Hydra|LOC100207255	Hydractinia|LOC130656490
OG0006528	Hydra|LOC100198869	Hydractinia|LOC130656491
OG0006529	Hydra|LOC105845760	Hydractinia|LOC130656503
OG0006530	Hydra|LOC100210364	Hydractinia|LOC130647043
OG0006531	Hydra|LOC100213114	Hydractinia|LOC130632013
OG0006532	Hydra|LOC101238484	Hydractinia|LOC130645127
OG0006533	Hydra|LOC101239168	Hydractinia|LOC130645123
OG0006534	Hydra|LOC100198392	Hydractinia|LOC130645284
OG0006536	Hydra|LOC100192290	Hydractinia|LOC130648869
OG0006537	Hydra|LOC100215532	Hydractinia|LOC130648864
OG0006539	Hydra|LOC100214520	Hydractinia|LOC130654718
OG0006540	Hydra|LOC100200092	Hydractinia|LOC130654717
OG0006541	Hydra|LOC100197791	Hydractinia|LOC130653867
OG0006542	Hydra|LOC100201243	Hydractinia|LOC130656212
OG0006543	Hydra|LOC100203787	Hydractinia|LOC130656213
OG0006544	Hydra|LOC100212691	Hydractinia|LOC130628766
OG0006546	Hydra|LOC100198460	Hydractinia|LOC130614832
OG0006547	Hydra|LOC100200716	Hydractinia|LOC130613888
OG0006548	Hydra|LOC101234717	Hydractinia|LOC130614383
OG0006549	Hydra|LOC100206370	Hydractinia|LOC130613893
OG0006550	Hydra|LOC100200477	Hydractinia|LOC130614878
OG0006551	Hydra|LOC100198293	Hydractinia|LOC130654884
OG0006552	Hydra|LOC100210210	Hydractinia|LOC130654887
OG0006553	Hydra|LOC100211216	Hydractinia|LOC130655279
OG0006554	Hydra|LOC100200675	Hydractinia|LOC130654727
OG0006556	Hydra|LOC100210533	Hydractinia|LOC130641771
OG0006557	Hydra|LOC100197357	Hydractinia|LOC130625292
OG0006558	Hydra|LOC100202795	Hydractinia|LOC130641671
OG0006559	Hydra|LOC100208297	Hydractinia|LOC130622058
OG0006560	Hydra|LOC100201966	Hydractinia|LOC130622464
OG0006561	Hydra|LOC100204266	Hydractinia|LOC130621130
OG0006562	Hydra|LOC100212250	Hydractinia|LOC130621592
OG0006564	Hydra|LOC100210641	Hydractinia|LOC130613274
OG0006565	Hydra|LOC100204680	Hydractinia|LOC130612113
OG0006567	Hydra|LOC100210809	Hydractinia|LOC130613175
OG0006568	Hydra|LOC100205553	Hydractinia|LOC130625347
OG0006569	Hydra|LOC101238687	Hydractinia|LOC130621578
OG0006570	Hydra|LOC100215455	Hydractinia|LOC130622305
OG0006571	Hydra|LOC100214056	Hydractinia|LOC130621730
OG0006572	Hydra|LOC100208911	Hydractinia|LOC130629619
OG0006573	Hydra|LOC100199004	Hydractinia|LOC130625281
OG0006574	Hydra|LOC100207177	Hydractinia|LOC130625725
OG0006575	Hydra|LOC100207168	Hydractinia|LOC130655643
OG0006576	Hydra|LOC100201274	Hydractinia|LOC130655541, Hydractinia|LOC130654845, Hydractinia|LOC130655055
OG0006578	Hydra|LOC100199238	Hydractinia|LOC130655043
OG0006579	Hydra|LOC100198050	Hydractinia|LOC130644543
OG0006580	Hydra|LOC105845403	Hydractinia|LOC130624328
OG0006581	Hydra|LOC100200697	Hydractinia|LOC130626177
OG0006582	Hydra|LOC100197903	Hydractinia|LOC130645568
OG0006584	Hydra|LOC100208132	Hydractinia|LOC130622096
OG0006585	Hydra|LOC101235467	Hydractinia|LOC130622516
OG0006587	Hydra|LOC100204516	Hydractinia|LOC130625647
OG0006588	Hydra|LOC100210830	Hydractinia|LOC130643913, Hydractinia|LOC130640874
OG0006590	Hydra|LOC100200793	Hydractinia|LOC130623880
OG0006591	Hydra|LOC101238257	Hydractinia|LOC130623657
OG0006592	Hydra|LOC105844532	Hydractinia|LOC130623647
OG0006593	Hydra|LOC105848157	Hydractinia|LOC130612529
OG0006594	Hydra|LOC100198167	Hydractinia|LOC130662692
OG0006595	Hydra|LOC100212895	Hydractinia|LOC130612528
OG0006596	Hydra|LOC100205561	Hydractinia|LOC130657083
OG0006597	Hydra|LOC100210082	Hydractinia|LOC130656447
OG0006598	Hydra|LOC100209074	Hydractinia|LOC130657088
OG0006599	Hydra|LOC100203012	Hydractinia|LOC130657565
OG0006600	Hydra|LOC100203870	Hydractinia|LOC130641494
OG0006601	Hydra|LOC100214974	Hydractinia|LOC130641889
OG0006602	Hydra|LOC100197245	Hydractinia|LOC130635594
OG0006603	Hydra|LOC100206397	Hydractinia|LOC130629778
OG0006604	Hydra|LOC100213111	Hydractinia|LOC130629779
OG0006605	Hydra|LOC101236819	Hydractinia|LOC130629786
OG0006606	Hydra|LOC100207607	Hydractinia|LOC130628744
OG0006607	Hydra|LOC100203080	Hydractinia|LOC130636244
OG0006608	Hydra|LOC101241763	Hydractinia|LOC130635866
OG0006609	Hydra|LOC100203183	Hydractinia|LOC130612135
OG0006610	Hydra|LOC100213064	Hydractinia|LOC130656615
OG0006611	Hydra|LOC101237615	Hydractinia|LOC130657438
OG0006612	Hydra|LOC101237508	Hydractinia|LOC130656965
OG0006613	Hydra|LOC100200612	Hydractinia|LOC130656798
OG0006614	Hydra|LOC100199634	Hydractinia|LOC130656177
OG0006615	Hydra|LOC124815383	Hydractinia|LOC130632269
OG0006616	Hydra|LOC101236702	Hydractinia|LOC130632197
OG0006617	Hydra|LOC105845897	Hydractinia|LOC130645431
OG0006618	Hydra|LOC100203522	Hydractinia|LOC130649113
OG0006619	Hydra|LOC100209410	Hydractinia|LOC130633919
OG0006620	Hydra|LOC100214249	Hydractinia|LOC130645012
OG0006621	Hydra|LOC100212367	Hydractinia|LOC130656271
OG0006622	Hydra|LOC101240473	Hydractinia|LOC130644569
OG0006623	Hydra|LOC100199523	Hydractinia|LOC130628828
OG0006624	Hydra|LOC100197581	Hydractinia|LOC130655727
OG0006625	Hydra|LOC100208917	Hydractinia|LOC130656034
OG0006626	Hydra|LOC100204476	Hydractinia|LOC130655604
OG0006627	Hydra|LOC101240225	Hydractinia|LOC130641005
OG0006628	Hydra|LOC101239359	Hydractinia|LOC130641012
OG0006629	Hydra|LOC101239969	Hydractinia|LOC130641004
OG0006630	Hydra|LOC100210083	Hydractinia|LOC130641010
OG0006631	Hydra|LOC100206012	Hydractinia|LOC130641445
OG0006636	Hydra|LOC124806523	Hydractinia|LOC130630269
OG0006637	Hydra|LOC100197228	Hydractinia|LOC130623320
OG0006638	Hydra|LOC100202331	Hydractinia|LOC130624184
OG0006639	Hydra|LOC100211105	Hydractinia|LOC130624003, Hydractinia|LOC130623546
OG0006640	Hydra|LOC100205931	Hydractinia|LOC130623388
OG0006641	Hydra|LOC100200426	Hydractinia|LOC130645211
OG0006642	Hydra|LOC100206506	Hydractinia|LOC130645212
OG0006643	Hydra|LOC105844784	Hydractinia|LOC130630644
OG0006644	Hydra|LOC100214829	Hydractinia|LOC130656161
OG0006645	Hydra|LOC100208721	Hydractinia|LOC130657974
OG0006646	Hydra|LOC100198784	Hydractinia|LOC130636348
OG0006647	Hydra|LOC100204669	Hydractinia|LOC130636352
OG0006648	Hydra|LOC100203720	Hydractinia|LOC130636350
OG0006649	Hydra|LOC100201150	Hydractinia|LOC130613177
OG0006650	Hydra|LOC105843532	Hydractinia|LOC130612482
OG0006651	Hydra|LOC100207052	Hydractinia|LOC130630677
OG0006652	Hydra|LOC100199662	Hydractinia|LOC130630326
OG0006654	Hydra|LOC100212292	Hydractinia|LOC130644339
OG0006656	Hydra|LOC100211715	Hydractinia|LOC130614346
OG0006657	Hydra|LOC100203678	Hydractinia|LOC130623354
OG0006658	Hydra|LOC100198299	Hydractinia|LOC130623760
OG0006659	Hydra|LOC100210071	Hydractinia|LOC130623298
OG0006661	Hydra|LOC100215641	Hydractinia|LOC130623125
OG0006664	Hydra|LOC101236625	Hydractinia|LOC130629982
OG0006665	Hydra|LOC100211320	Hydractinia|LOC130629983
OG0006666	Hydra|LOC100215551	Hydractinia|LOC130647746
OG0006667	Hydra|LOC100205116	Hydractinia|LOC130646980
OG0006669	Hydra|LOC100207272	Hydractinia|LOC130656640
OG0006670	Hydra|LOC100203926	Hydractinia|LOC130657669
OG0006671	Hydra|LOC100215131	Hydractinia|LOC130657376
OG0006672	Hydra|LOC101241755	Hydractinia|LOC130657731
OG0006673	Hydra|LOC100197924	Hydractinia|LOC130656871
OG0006674	Hydra|LOC100207891	Hydractinia|LOC130625595
OG0006675	Hydra|LOC100205589	Hydractinia|LOC130628936
OG0006676	Hydra|LOC100207048	Hydractinia|LOC130612159
OG0006677	Hydra|LOC124811942	Hydractinia|LOC130612667
OG0006678	Hydra|LOC100210121	Hydractinia|LOC130612655
OG0006679	Hydra|LOC100205388	Hydractinia|LOC130612661
OG0006681	Hydra|LOC100211749	Hydractinia|LOC130647099
OG0006682	Hydra|LOC100200891	Hydractinia|LOC130647130
OG0006683	Hydra|LOC100215086	Hydractinia|LOC130647101
OG0006684	Hydra|LOC100205303	Hydractinia|LOC130642106
OG0006685	Hydra|LOC100215226	Hydractinia|LOC130641095, Hydractinia|LOC130641097
OG0006686	Hydra|LOC105851038	Hydractinia|LOC130641918
OG0006687	Hydra|LOC124810356	Hydractinia|LOC130662677, Hydractinia|LOC130612741
OG0006688	Hydra|LOC100211949	Hydractinia|LOC130646938
OG0006690	Hydra|LOC100199862	Hydractinia|LOC130630387
OG0006691	Hydra|LOC100205481	Hydractinia|LOC130630577
OG0006692	Hydra|LOC100213261	Hydractinia|LOC130653607
OG0006693	Hydra|LOC100201900	Hydractinia|LOC130655583
OG0006694	Hydra|LOC101235640	Hydractinia|LOC130654424
OG0006695	Hydra|LOC105848605	Hydractinia|LOC130655584
OG0006696	Hydra|LOC100208487	Hydractinia|LOC130630623
OG0006699	Hydra|LOC100198597	Hydractinia|LOC130644849
OG0006700	Hydra|LOC100202956	Hydractinia|LOC130644266
OG0006702	Hydra|LOC105844493	Hydractinia|LOC130654140
OG0006703	Hydra|LOC100202703	Hydractinia|LOC130654075
OG0006704	Hydra|LOC100206132	Hydractinia|LOC130655198
OG0006705	Hydra|LOC101235581	Hydractinia|LOC130655196
OG0006707	Hydra|LOC100198405, Hydra|LOC100198444	Hydractinia|LOC130628587
OG0006708	Hydra|LOC100214553	Hydractinia|LOC130628590
OG0006709	Hydra|LOC100209870	Hydractinia|LOC130628583
OG0006710	Hydra|LOC105847973	Hydractinia|LOC130623371
OG0006711	Hydra|LOC101237845	Hydractinia|LOC130624230
OG0006712	Hydra|LOC101235657	Hydractinia|LOC130644910
OG0006713	Hydra|LOC100203038	Hydractinia|LOC130647489
OG0006714	Hydra|LOC101235892	Hydractinia|LOC130647492
OG0006715	Hydra|LOC100211329	Hydractinia|LOC130644807
OG0006716	Hydra|LOC100197018	Hydractinia|LOC130644811
OG0006717	Hydra|LOC100203392	Hydractinia|LOC130644810
OG0006718	Hydra|LOC100197429	Hydractinia|LOC130612704
OG0006719	Hydra|LOC100213614	Hydractinia|LOC130612703
OG0006720	Hydra|LOC100206277	Hydractinia|LOC130614177
OG0006721	Hydra|LOC100210784	Hydractinia|LOC130613722
OG0006722	Hydra|LOC100199171	Hydractinia|LOC130614398
OG0006723	Hydra|LOC100203338	Hydractinia|LOC130613729
OG0006724	Hydra|LOC100208016	Hydractinia|LOC130625362
OG0006725	Hydra|LOC100199646	Hydractinia|LOC130625364
OG0006727	Hydra|LOC101238853	Hydractinia|LOC130621798
OG0006728	Hydra|LOC100199621	Hydractinia|LOC130622345
OG0006729	Hydra|LOC101236862	Hydractinia|LOC130648964
OG0006730	Hydra|LOC100212574	Hydractinia|LOC130626141
OG0006731	Hydra|LOC100209091	Hydractinia|LOC130625552
OG0006732	Hydra|LOC100198330	Hydractinia|LOC130635828
OG0006733	Hydra|LOC100215580	Hydractinia|LOC130613256
OG0006734	Hydra|LOC100210918	Hydractinia|LOC130657309
OG0006735	Hydra|LOC100206541	Hydractinia|LOC130657299
OG0006736	Hydra|LOC100210460	Hydractinia|LOC130657306
OG0006737	Hydra|LOC100209042	Hydractinia|LOC130647438
OG0006738	Hydra|LOC100214782	Hydractinia|LOC130634057
OG0006739	Hydra|LOC100205849	Hydractinia|LOC130630474
OG0006740	Hydra|LOC100209262	Hydractinia|LOC130630404
OG0006741	Hydra|LOC101238576	Hydractinia|LOC130641333
OG0006742	Hydra|LOC100208996	Hydractinia|LOC130630433
OG0006743	Hydra|LOC101239586	Hydractinia|LOC130630251
OG0006744	Hydra|LOC100213955	Hydractinia|LOC130622496
OG0006745	Hydra|LOC100215766	Hydractinia|LOC130649201
OG0006746	Hydra|LOC100202102	Hydractinia|LOC130648733
OG0006747	Hydra|LOC100214421	Hydractinia|LOC130648735
OG0006748	Hydra|LOC100209034	Hydractinia|LOC130612032
OG0006749	Hydra|LOC105848631	Hydractinia|LOC130612967
OG0006750	Hydra|LOC100204458	Hydractinia|LOC130612070
OG0006752	Hydra|LOC100200852	Hydractinia|LOC130654228
OG0006753	Hydra|LOC101237540	Hydractinia|LOC130654226
OG0006754	Hydra|LOC100212434	Hydractinia|LOC130646984
OG0006756	Hydra|LOC100211405	Hydractinia|LOC130641620
OG0006757	Hydra|LOC100207482	Hydractinia|LOC130657557
OG0006758	Hydra|LOC100206588	Hydractinia|LOC130657560
OG0006759	Hydra|LOC100212234	Hydractinia|LOC130625386
OG0006760	Hydra|LOC101234883	Hydractinia|LOC130630228
OG0006761	Hydra|LOC100203838	Hydractinia|LOC130629727
OG0006762	Hydra|LOC100201743	Hydractinia|LOC130634664
OG0006763	Hydra|LOC100203564	Hydractinia|LOC130646907
OG0006764	Hydra|LOC100203728	Hydractinia|LOC130636750
