Orthogroup	longest_isoform_HydraProteins	longest_isoform_NematostellaProteins
OG0004710	Hydra|LOC100197482	Nematostella|LOC5508157
OG0004711	Hydra|LOC100212923	Nematostella|LOC5508175
OG0004712	Hydra|LOC100204636	Nematostella|LOC5519414
OG0004713	Hydra|LOC100212538	Nematostella|LOC5512234
OG0004714	Hydra|LOC101234667	Nematostella|LOC5518040
OG0004715	Hydra|LOC101239857	Nematostella|LOC116615282
OG0004716	Hydra|LOC100210065	Nematostella|LOC5518009
OG0004717	Hydra|LOC100215344	Nematostella|LOC5507397
OG0004718	Hydra|LOC100213645	Nematostella|LOC5507166
OG0004719	Hydra|LOC124809235	Nematostella|LOC5513789, Nematostella|LOC5509698
OG0004722	Hydra|LOC100198850	Nematostella|LOC5505153
OG0004723	Hydra|LOC100203709	Nematostella|LOC5512011
OG0004725	Hydra|LOC101235638	Nematostella|LOC116603622
OG0004726	Hydra|LOC100207933	Nematostella|LOC5506217
OG0004727	Hydra|LOC100204975	Nematostella|LOC5506213
OG0004728	Hydra|LOC100212385	Nematostella|LOC5509476
OG0004729	Hydra|LOC101237123	Nematostella|LOC116616320
OG0004730	Hydra|LOC100205282	Nematostella|LOC5501674
OG0004731	Hydra|LOC100213179	Nematostella|LOC5509473
OG0004732	Hydra|LOC100201128	Nematostella|LOC5511000
OG0004733	Hydra|LOC100202237	Nematostella|LOC5501529
OG0004734	Hydra|LOC100202416	Nematostella|LOC5506815
OG0004735	Hydra|LOC100205751	Nematostella|LOC5515431
OG0004736	Hydra|LOC124810307	Nematostella|LOC5520427
OG0004738	Hydra|LOC100199698	Nematostella|LOC116617866
OG0004739	Hydra|LOC100205761	Nematostella|LOC5507786
OG0004740	Hydra|LOC105849579	Nematostella|LOC5511737
OG0004741	Hydra|LOC105848082	Nematostella|LOC116611570
OG0004743	Hydra|LOC100215531	Nematostella|LOC5515489
OG0004744	Hydra|LOC100208821	Nematostella|LOC5515749
OG0004745	Hydra|LOC100203326	Nematostella|LOC5517942
OG0004746	Hydra|LOC101239648	Nematostella|LOC5516802
OG0004747	Hydra|LOC100209924	Nematostella|LOC5521357
OG0004748	Hydra|LOC101235249	Nematostella|LOC5514362
OG0004749	Hydra|LOC100204988	Nematostella|LOC5514857
OG0004750	Hydra|LOC100205763	Nematostella|LOC5521131
OG0004751	Hydra|LOC105843761	Nematostella|LOC5516318
OG0004752	Hydra|LOC100214463	Nematostella|LOC5521701
OG0004753	Hydra|LOC100205064	Nematostella|LOC5505211
OG0004754	Hydra|LOC100200148	Nematostella|LOC5517975
OG0004755	Hydra|LOC100201597	Nematostella|LOC5518283
OG0004756	Hydra|LOC124805769	Nematostella|LOC5508886
OG0004757	Hydra|LOC105848688	Nematostella|LOC5507651
OG0004758	Hydra|LOC100205115	Nematostella|LOC5506451
OG0004759	Hydra|LOC100202974	Nematostella|LOC116617702
OG0004760	Hydra|LOC100215349	Nematostella|LOC5511542
OG0004761	Hydra|LOC100209209	Nematostella|LOC5513613
OG0004762	Hydra|LOC100206706	Nematostella|LOC5514291
OG0004763	Hydra|LOC100209443	Nematostella|LOC5508937
OG0004764	Hydra|LOC100213649	Nematostella|LOC5516754
OG0004765	Hydra|LOC101240538	Nematostella|LOC116604439
OG0004767	Hydra|LOC100203526	Nematostella|LOC116620378
OG0004768	Hydra|LOC100213722	Nematostella|LOC5503759
OG0004769	Hydra|LOC100209076	Nematostella|LOC5516838
OG0004770	Hydra|LOC100212663	Nematostella|LOC5512630
OG0004771	Hydra|LOC100205478	Nematostella|LOC5521550
OG0004774	Hydra|LOC105847281	Nematostella|LOC5516332
OG0004775	Hydra|LOC100208477	Nematostella|LOC5507588
OG0004776	Hydra|LOC100202519	Nematostella|LOC5511320
OG0004777	Hydra|LOC100204750	Nematostella|LOC5504884
OG0004778	Hydra|LOC101234289	Nematostella|LOC5520394
OG0004779	Hydra|LOC105849944	Nematostella|LOC5516346
OG0004780	Hydra|LOC100198598	Nematostella|LOC5512277
OG0004781	Hydra|LOC100215316	Nematostella|LOC5514416
OG0004782	Hydra|LOC100198448	Nematostella|LOC5503935
OG0004783	Hydra|LOC100212645	Nematostella|LOC5519091
OG0004784	Hydra|LOC105847323	Nematostella|LOC5517408
OG0004786	Hydra|LOC101234922	Nematostella|LOC5513334
OG0004787	Hydra|LOC105848436	Nematostella|LOC5513392
OG0004788	Hydra|LOC105846183	Nematostella|LOC5512253
OG0004789	Hydra|LOC100198143	Nematostella|LOC116603316
OG0004790	Hydra|LOC100198519	Nematostella|LOC116618186
OG0004791	Hydra|LOC101238034	Nematostella|LOC5519524
OG0004792	Hydra|LOC100215401	Nematostella|LOC5508204
OG0004794	Hydra|LOC100209435	Nematostella|LOC5508036
OG0004795	Hydra|LOC100205056	Nematostella|LOC5512017
OG0004796	Hydra|LOC100208471	Nematostella|LOC5521597
OG0004797	Hydra|LOC100199982	Nematostella|LOC5521500
OG0004798	Hydra|LOC100208995	Nematostella|LOC5519458
OG0004799	Hydra|LOC100202333	Nematostella|LOC5514413
OG0004801	Hydra|LOC100200686	Nematostella|LOC5515778
OG0004802	Hydra|LOC100206949	Nematostella|LOC5509071
OG0004803	Hydra|LOC100198766	Nematostella|LOC5515349
OG0004804	Hydra|LOC100206447	Nematostella|LOC116619169
OG0004805	Hydra|LOC100212579	Nematostella|LOC5504554
OG0004806	Hydra|LOC100204808	Nematostella|LOC5517930
OG0004807	Hydra|LOC101240862	Nematostella|LOC5514806
OG0004808	Hydra|LOC101239227	Nematostella|LOC5515560
OG0004809	Hydra|LOC100208948	Nematostella|LOC5509051
OG0004810	Hydra|LOC101237604	Nematostella|LOC5514804
OG0004811	Hydra|LOC100200565	Nematostella|LOC5514226
OG0004813	Hydra|LOC100206669	Nematostella|LOC5515714
OG0004814	Hydra|LOC100208430	Nematostella|LOC5514222
OG0004815	Hydra|LOC105849617	Nematostella|LOC5504251
OG0004816	Hydra|LOC100205805	Nematostella|LOC5503186
OG0004817	Hydra|LOC100200680	Nematostella|LOC5514046
OG0004818	Hydra|LOC100197543	Nematostella|LOC5514830
OG0004820	Hydra|LOC100207576	Nematostella|LOC5516749
OG0004821	Hydra|LOC100201207	Nematostella|LOC5501069
OG0004822	Hydra|LOC105845123, Hydra|LOC105848406	Nematostella|LOC116619587
OG0004823	Hydra|LOC100207345	Nematostella|LOC5516957
OG0004824	Hydra|LOC105847150	Nematostella|LOC5518498
OG0004825	Hydra|LOC100197414	Nematostella|LOC5522375
OG0004826	Hydra|LOC100214222	Nematostella|LOC5508846
OG0004827	Hydra|LOC100215875	Nematostella|LOC5507353
OG0004828	Hydra|LOC100201718	Nematostella|LOC5513112
OG0004829	Hydra|LOC100201151	Nematostella|LOC5519648
OG0004830	Hydra|LOC101237552	Nematostella|LOC5506588
OG0004831	Hydra|LOC100211287	Nematostella|LOC5510171
OG0004832	Hydra|LOC100209656	Nematostella|LOC5511072
OG0004833	Hydra|LOC100211661	Nematostella|LOC5508877
OG0004834	Hydra|LOC101236166	Nematostella|LOC5519706
OG0004836	Hydra|LOC100206134	Nematostella|LOC5517981
OG0004840	Hydra|LOC100202939	Nematostella|LOC5505966
OG0004841	Hydra|LOC100205545	Nematostella|LOC5519855
OG0004842	Hydra|LOC100207289	Nematostella|LOC5502069
OG0004844	Hydra|LOC100201999	Nematostella|LOC5517837
OG0004846	Hydra|LOC100202415	Nematostella|LOC5514841
OG0004847	Hydra|LOC100215465	Nematostella|LOC5511730
OG0004848	Hydra|LOC105848598	Nematostella|LOC5508472
OG0004849	Hydra|LOC100212021	Nematostella|LOC5509621
OG0004850	Hydra|LOC100197263	Nematostella|LOC5517670
OG0004851	Hydra|LOC101236086	Nematostella|LOC5511720
OG0004852	Hydra|LOC100202076	Nematostella|LOC5516861
OG0004853	Hydra|LOC100208084	Nematostella|LOC116616954
OG0004854	Hydra|LOC100209346	Nematostella|LOC5520203
OG0004855	Hydra|LOC124817390, Hydra|LOC124817389	Nematostella|LOC5519237
OG0004856	Hydra|LOC100201140	Nematostella|LOC5511738
OG0004857	Hydra|LOC100207760	Nematostella|LOC5520622
OG0004858	Hydra|LOC100213122	Nematostella|LOC5509567
OG0004859	Hydra|LOC100198457	Nematostella|LOC5511729
OG0004860	Hydra|LOC124815965	Nematostella|LOC5509307
OG0004862	Hydra|LOC100213476	Nematostella|LOC5514486
OG0004863	Hydra|LOC100201018	Nematostella|LOC5520570
OG0004864	Hydra|LOC100199815	Nematostella|LOC5519224
OG0004865	Hydra|LOC100214093	Nematostella|LOC5521985
OG0004866	Hydra|LOC100199223	Nematostella|LOC5510616
OG0004868	Hydra|LOC100200874	Nematostella|LOC116612227
OG0004869	Hydra|LOC101235082	Nematostella|LOC5508884
OG0004871	Hydra|LOC100201258	Nematostella|LOC5516477
OG0004872	Hydra|LOC101236718	Nematostella|LOC5513624
OG0004873	Hydra|LOC100199695	Nematostella|LOC5519154
OG0004874	Hydra|LOC100199347	Nematostella|LOC5517716
OG0004875	Hydra|LOC100199672	Nematostella|LOC5507186
OG0004876	Hydra|LOC100213557	Nematostella|LOC5512221
OG0004877	Hydra|LOC105847296	Nematostella|LOC116604619
OG0004878	Hydra|LOC100213679	Nematostella|LOC5500846
OG0004879	Hydra|LOC100206912	Nematostella|LOC5514276
OG0004880	Hydra|LOC100201219	Nematostella|LOC5510236
OG0004881	Hydra|LOC100199984	Nematostella|LOC5516468
OG0004882	Hydra|LOC100197101	Nematostella|LOC5502679
OG0004883	Hydra|LOC100201189	Nematostella|LOC5509440
OG0004884	Hydra|LOC100200365	Nematostella|LOC116614574
OG0004886	Hydra|LOC105843689	Nematostella|LOC5518359
OG0004888	Hydra|LOC100204597	Nematostella|LOC116617017
OG0004889	Hydra|LOC100197954	Nematostella|LOC5514560
OG0004890	Hydra|LOC101241231	Nematostella|LOC116614124
OG0004891	Hydra|LOC100211195	Nematostella|LOC5504993
OG0004892	Hydra|LOC100209524	Nematostella|LOC116617788
OG0004894	Hydra|LOC100197439	Nematostella|LOC5509607
OG0004896	Hydra|LOC100213033	Nematostella|LOC5506389
OG0004897	Hydra|LOC100212233	Nematostella|LOC5508462
OG0004898	Hydra|LOC100211953	Nematostella|LOC5520506
OG0004900	Hydra|LOC101238921	Nematostella|LOC116603944
OG0004901	Hydra|LOC100203032	Nematostella|LOC5514532
OG0004902	Hydra|LOC105845313	Nematostella|LOC5509598
OG0004903	Hydra|LOC100210280	Nematostella|LOC5509629
OG0004904	Hydra|LOC100199197	Nematostella|LOC5502061
OG0004905	Hydra|LOC100201752	Nematostella|LOC5504180
OG0004906	Hydra|LOC101236755	Nematostella|LOC5504450
OG0004907	Hydra|LOC100199212	Nematostella|LOC5520701
OG0004908	Hydra|LOC100198421	Nematostella|LOC5503399
OG0004909	Hydra|LOC100198590	Nematostella|LOC5518985
OG0004910	Hydra|LOC100208202	Nematostella|LOC116604069
OG0004911	Hydra|LOC101235692	Nematostella|LOC5511958
OG0004912	Hydra|LOC100212521	Nematostella|LOC5500726
OG0004913	Hydra|LOC100215603	Nematostella|LOC5507882
OG0004914	Hydra|LOC100215190	Nematostella|LOC5505403
OG0004915	Hydra|LOC100202924	Nematostella|LOC5521816
OG0004916	Hydra|LOC101234802	Nematostella|LOC5513892
OG0004917	Hydra|LOC100201384	Nematostella|LOC5507425
OG0004918	Hydra|LOC100201162	Nematostella|LOC5519835
OG0004919	Hydra|LOC100209531	Nematostella|LOC5505585
OG0004920	Hydra|LOC100207442	Nematostella|LOC5520973
OG0004921	Hydra|LOC100207821	Nematostella|LOC5516655
OG0004922	Hydra|LOC100201833	Nematostella|LOC5510427
OG0004923	Hydra|LOC100207492	Nematostella|LOC116603447
OG0004924	Hydra|LOC101234944	Nematostella|LOC5504772
OG0004925	Hydra|LOC100201445	Nematostella|LOC5513779
OG0004926	Hydra|LOC100208869	Nematostella|LOC5508352
OG0004927	Hydra|LOC100210275	Nematostella|LOC116607807
OG0004928	Hydra|LOC100198867	Nematostella|LOC5513906
OG0004929	Hydra|LOC100198742	Nematostella|LOC5513877
OG0004930	Hydra|LOC100203942	Nematostella|LOC5515241
OG0004931	Hydra|LOC100208376	Nematostella|LOC116611664
OG0004932	Hydra|LOC100199901	Nematostella|LOC5516735
OG0004933	Hydra|LOC101235191	Nematostella|LOC5515140
OG0004934	Hydra|LOC100213995	Nematostella|LOC5504488
OG0004936	Hydra|LOC100202535	Nematostella|LOC5519676
OG0004938	Hydra|LOC101236599	Nematostella|LOC125570231
OG0004939	Hydra|LOC105849949	Nematostella|LOC5514980
OG0004940	Hydra|LOC100200152	Nematostella|LOC5514634
OG0004941	Hydra|LOC100197682	Nematostella|LOC5504399
OG0004942	Hydra|LOC100210616	Nematostella|LOC5513594
OG0004943	Hydra|LOC101235650	Nematostella|LOC116620292
OG0004944	Hydra|LOC100206382	Nematostella|LOC5508361
OG0004945	Hydra|LOC100210433	Nematostella|LOC5508405
OG0004946	Hydra|LOC100206337	Nematostella|LOC5504379
OG0004947	Hydra|LOC100199066	Nematostella|LOC5502087
OG0004948	Hydra|LOC100197626	Nematostella|LOC5517271
OG0004949	Hydra|LOC105846105	Nematostella|LOC5505936
OG0004950	Hydra|LOC100212329	Nematostella|LOC116616239
OG0004951	Hydra|LOC101240286	Nematostella|LOC5511576
OG0004952	Hydra|LOC101236768	Nematostella|LOC116601445
OG0004953	Hydra|LOC100199640	Nematostella|LOC5521716
OG0004954	Hydra|LOC100215119	Nematostella|LOC5513185
OG0004957	Hydra|LOC100200028	Nematostella|LOC5508914
OG0004958	Hydra|LOC105848807	Nematostella|LOC116611897
OG0004959	Hydra|LOC100209738	Nematostella|LOC5514800
OG0004960	Hydra|LOC124813747	Nematostella|LOC116609355
OG0004961	Hydra|LOC100206584	Nematostella|LOC5517979
OG0004962	Hydra|LOC100203890	Nematostella|LOC5513308
OG0004963	Hydra|LOC100215786	Nematostella|LOC5516269
OG0004965	Hydra|LOC100214060	Nematostella|LOC5511017
OG0004966	Hydra|LOC100212973	Nematostella|LOC5516756
OG0004967	Hydra|LOC100209362	Nematostella|LOC5518182
OG0004969	Hydra|LOC100210424	Nematostella|LOC5509454
OG0004970	Hydra|LOC100211757	Nematostella|LOC5511170
OG0004971	Hydra|LOC100206606	Nematostella|LOC116613113
OG0004972	Hydra|LOC100215362	Nematostella|LOC5520741
OG0004973	Hydra|LOC100200623	Nematostella|LOC5506272
OG0004974	Hydra|LOC100201543	Nematostella|LOC5502736
OG0004975	Hydra|LOC100200520	Nematostella|LOC5503932
OG0004976	Hydra|LOC100202475	Nematostella|LOC5517451
OG0004977	Hydra|LOC100201625	Nematostella|LOC5517467
OG0004978	Hydra|LOC100204193	Nematostella|LOC5504880
OG0004979	Hydra|LOC100206733	Nematostella|LOC5517449
OG0004980	Hydra|LOC100210930	Nematostella|LOC116614107
OG0004981	Hydra|LOC100197456	Nematostella|LOC5512285
OG0004982	Hydra|LOC100200440	Nematostella|LOC5519038
OG0004983	Hydra|LOC100208075	Nematostella|LOC5517435
OG0004984	Hydra|LOC100206195	Nematostella|LOC5522161
OG0004986	Hydra|LOC100206113	Nematostella|LOC5518104
OG0004987	Hydra|LOC100202538	Nematostella|LOC5506629
OG0004988	Hydra|LOC100207400	Nematostella|LOC5502911
OG0004989	Hydra|LOC100204272	Nematostella|LOC116609798
OG0004990	Hydra|LOC100198483	Nematostella|LOC5517308
OG0004991	Hydra|LOC100200383	Nematostella|LOC5502982
OG0004992	Hydra|LOC100213320	Nematostella|LOC5512374
OG0004993	Hydra|LOC100199000	Nematostella|LOC5507075
OG0004994	Hydra|LOC100203704	Nematostella|LOC5518191
OG0004995	Hydra|LOC100211645	Nematostella|LOC5502303
OG0004996	Hydra|LOC100215533	Nematostella|LOC5504907
OG0004997	Hydra|LOC100212099	Nematostella|LOC5502691
OG0004998	Hydra|LOC100212871	Nematostella|LOC116615044
OG0004999	Hydra|LOC101235570	Nematostella|LOC5506655
OG0005001	Hydra|LOC100200777	Nematostella|LOC5517238
OG0005002	Hydra|LOC100201115	Nematostella|LOC5517295
OG0005003	Hydra|LOC100203107	Nematostella|LOC116612189
OG0005004	Hydra|LOC100214335	Nematostella|LOC5511051
OG0005005	Hydra|LOC101236758	Nematostella|LOC5519101
OG0005006	Hydra|LOC100202377	Nematostella|LOC5505166
OG0005007	Hydra|LOC101241009	Nematostella|LOC5504847
OG0005008	Hydra|LOC100207125	Nematostella|LOC5503417
OG0005010	Hydra|LOC124814961	Nematostella|LOC5513223
OG0005012	Hydra|LOC100210640	Nematostella|LOC5519754
OG0005014	Hydra|LOC124807073	Nematostella|LOC116614507
OG0005016	Hydra|LOC100206758	Nematostella|LOC5509044
OG0005017	Hydra|LOC100205647	Nematostella|LOC5512580
OG0005018	Hydra|LOC100200641	Nematostella|LOC5521437
OG0005019	Hydra|LOC100205990	Nematostella|LOC5504114
OG0005020	Hydra|LOC100206935	Nematostella|LOC5510062
OG0005021	Hydra|LOC100209813	Nematostella|LOC5518681
OG0005023	Hydra|LOC100197269	Nematostella|LOC5520061
OG0005024	Hydra|LOC100200811	Nematostella|LOC5518716
OG0005025	Hydra|LOC101235835	Nematostella|LOC116602188
OG0005026	Hydra|LOC100207719	Nematostella|LOC5512740
OG0005028	Hydra|LOC100209445	Nematostella|LOC5504064
OG0005029	Hydra|LOC100198652	Nematostella|LOC5512723
OG0005030	Hydra|LOC100203093	Nematostella|LOC5512273
OG0005031	Hydra|LOC100212262	Nematostella|LOC5505802, Nematostella|LOC5516998
OG0005032	Hydra|LOC101238925	Nematostella|LOC5514232
OG0005033	Hydra|LOC100192263	Nematostella|LOC5516175
OG0005034	Hydra|LOC100204253	Nematostella|LOC5514653
OG0005035	Hydra|LOC100200918	Nematostella|LOC5504959
OG0005036	Hydra|LOC100197412	Nematostella|LOC5507212
OG0005037	Hydra|LOC100204652	Nematostella|LOC116606013
OG0005038	Hydra|LOC100209337	Nematostella|LOC5507237
OG0005039	Hydra|LOC100207024	Nematostella|LOC5508594
OG0005040	Hydra|LOC101237227	Nematostella|LOC5508920
OG0005041	Hydra|LOC100201328	Nematostella|LOC5515320
OG0005042	Hydra|LOC100206885	Nematostella|LOC5513860
OG0005043	Hydra|LOC100212606	Nematostella|LOC5512608
OG0005044	Hydra|LOC100198482	Nematostella|LOC5516962
OG0005045	Hydra|LOC100208144	Nematostella|LOC5514223
OG0005049	ctnnb1	Nematostella|LOC5525231
OG0005050	Hydra|LOC100204052	Nematostella|LOC5516134
OG0005051	Hydra|LOC100201904	Nematostella|LOC5519369
OG0005052	Hydra|LOC100204591	Nematostella|LOC5521361
OG0005053	Hydra|LOC100203503	Nematostella|LOC5506738
OG0005054	Hydra|LOC100209938	Nematostella|LOC5507567
OG0005057	Hydra|LOC100199054	Nematostella|LOC5501705
OG0005058	Hydra|LOC101234298	Nematostella|LOC5505960
OG0005059	Hydra|LOC100212030	Nematostella|LOC5511935
OG0005060	Hydra|LOC100215908	Nematostella|LOC5520841
OG0005061	Hydra|LOC100199451	Nematostella|LOC5500179
OG0005063	Hydra|LOC105843550	Nematostella|LOC116616656
OG0005064	Hydra|LOC100213368	Nematostella|LOC5510776
OG0005065	Hydra|LOC101234965	Nematostella|LOC5502278
OG0005066	Hydra|LOC100204258	Nematostella|LOC5512433
OG0005067	Hydra|LOC100206766	Nematostella|LOC5507865
OG0005068	Hydra|LOC100211467	Nematostella|LOC5504618
OG0005069	Hydra|LOC101240149	Nematostella|LOC5502998
OG0005070	Hydra|LOC100206287	Nematostella|LOC5505742
OG0005071	Hydra|LOC101234329	Nematostella|LOC5514877
OG0005072	Hydra|LOC100215739	Nematostella|LOC5518900
OG0005073	Hydra|LOC100215653	Nematostella|LOC5504444
OG0005074	Hydra|LOC100197174	Nematostella|LOC5517405
OG0005075	Hydra|LOC100204596	Nematostella|LOC5513248
OG0005076	Hydra|LOC100205190	Nematostella|LOC5519959
OG0005077	Hydra|LOC100215003	Nematostella|LOC5517472
OG0005078	Hydra|LOC100197379	Nematostella|LOC5517242
OG0005079	Hydra|LOC100198951	Nematostella|LOC5517062
OG0005080	Hydra|LOC100215466	Nematostella|LOC5510516
OG0005081	Hydra|LOC100205616	Nematostella|LOC5498110
OG0005084	Hydra|LOC100212289	Nematostella|LOC5517145
OG0005086	Hydra|LOC100197301	Nematostella|LOC5507503
OG0005087	Hydra|LOC124806778	Nematostella|LOC5514420
OG0005088	Hydra|LOC100204934	Nematostella|LOC5518073
OG0005089	Hydra|LOC100198452	Nematostella|LOC5500874
OG0005090	Hydra|LOC101241007	Nematostella|LOC5515917
OG0005091	Hydra|LOC100205662	Nematostella|LOC5520959
OG0005092	Hydra|LOC100210147	Nematostella|LOC5514025
OG0005093	Hydra|LOC101240454	Nematostella|LOC5511685
OG0005094	Hydra|LOC100207185	Nematostella|LOC5509385
OG0005095	Hydra|LOC100197335	Nematostella|LOC5510983
OG0005097	Hydra|LOC100211596, Hydra|LOC100215183	Nematostella|LOC5518805
OG0005098	Hydra|LOC101234866	Nematostella|LOC5515461
OG0005099	Hydra|LOC100211938	Nematostella|LOC5509452
OG0005100	Hydra|LOC100200765	Nematostella|LOC5502734
OG0005101	Hydra|LOC100197294	Nematostella|LOC5507810
OG0005102	Hydra|LOC100208071	Nematostella|LOC5503853
OG0005103	Hydra|LOC100206759	Nematostella|LOC5502700
OG0005104	Hydra|LOC100209702	Nematostella|LOC5506623
OG0005105	Hydra|LOC100204367	Nematostella|LOC5499764
OG0005106	Hydra|LOC100213469	Nematostella|LOC5504563
OG0005107	Hydra|LOC100206282	Nematostella|LOC5511184
OG0005108	Hydra|LOC101234959	Nematostella|LOC5517443
OG0005109	Hydra|LOC100197057	Nematostella|LOC5503835
OG0005110	Hydra|LOC100215143	Nematostella|LOC5519945
OG0005111	Hydra|LOC100203738	Nematostella|LOC5508088
OG0005112	Hydra|LOC105850102	Nematostella|LOC116619211
OG0005113	Hydra|LOC100199749	Nematostella|LOC5507963
OG0005114	Hydra|LOC100197430	Nematostella|LOC5519356
OG0005115	Hydra|LOC100206418	Nematostella|LOC5512645
OG0005116	Hydra|LOC100201412	Nematostella|LOC5506023
OG0005117	Hydra|LOC100206659	Nematostella|LOC116603520
OG0005118	Hydra|LOC100201196	Nematostella|LOC5515352
OG0005119	Hydra|LOC100208698	Nematostella|LOC5507244
OG0005120	Hydra|LOC100208934	Nematostella|LOC5522291
OG0005121	Hydra|LOC105845105	Nematostella|LOC5508555
OG0005122	Hydra|LOC100214473	Nematostella|LOC5511641
OG0005123	Hydra|LOC100210337	Nematostella|LOC5514744
OG0005124	Hydra|LOC124817488	Nematostella|LOC5520655
OG0005125	Hydra|LOC105846624	Nematostella|LOC5522168
OG0005126	Hydra|LOC101235504	Nematostella|LOC5503870
OG0005127	Hydra|LOC100206631	Nematostella|LOC125556672
OG0005130	Hydra|LOC100209075	Nematostella|LOC5508178
OG0005131	Hydra|LOC100197932	Nematostella|LOC5506876
OG0005132	Hydra|LOC100200107	Nematostella|LOC5508055
OG0005133	Hydra|LOC100203317	Nematostella|LOC5519415
OG0005134	Hydra|LOC100197309	Nematostella|LOC5506864
OG0005135	Hydra|LOC100201314	Nematostella|LOC5511873
OG0005136	Hydra|LOC100211366	Nematostella|LOC5519518
OG0005137	Hydra|LOC100204448	Nematostella|LOC5521489
OG0005138	Hydra|LOC100213943	Nematostella|LOC5507309
OG0005140	Hydra|LOC100210793	Nematostella|LOC5511423
OG0005142	Hydra|LOC100208563	Nematostella|LOC5504809
OG0005143	Hydra|LOC100215556	Nematostella|LOC5512993
OG0005144	Hydra|LOC100203530	Nematostella|LOC5506539
OG0005148	Hydra|LOC100213326	Nematostella|LOC5518929
OG0005149	Hydra|LOC100211050	Nematostella|LOC5514916
OG0005150	Hydra|LOC100211576	Nematostella|LOC5522332
OG0005151	Hydra|LOC100210172	Nematostella|LOC5511896
OG0005152	Hydra|LOC100213266	Nematostella|LOC5513856
OG0005153	Hydra|LOC100207743	Nematostella|LOC116618002
OG0005154	Hydra|LOC100211758	Nematostella|LOC5520718
OG0005155	Hydra|LOC100203653	Nematostella|LOC5507652
OG0005156	Hydra|LOC101237608	Nematostella|LOC5503272
OG0005157	Hydra|LOC100214497	Nematostella|LOC116608847
OG0005158	Hydra|LOC100202733	Nematostella|LOC5504703
OG0005159	Hydra|LOC101235093	Nematostella|LOC5501552
OG0005160	Hydra|LOC100197664	Nematostella|LOC5507016
OG0005161	Hydra|LOC100205950	Nematostella|LOC5510211
OG0005163	Hydra|LOC101235768	Nematostella|LOC5517257
OG0005164	Hydra|LOC100205841	Nematostella|LOC116621512
OG0005165	Hydra|LOC101235301	Nematostella|LOC5506790
OG0005166	Hydra|LOC100206181	Nematostella|LOC5501669
OG0005167	Hydra|LOC100205304	Nematostella|LOC5505855
OG0005168	Hydra|LOC100213466	Nematostella|LOC5506613
OG0005169	Hydra|LOC100209966	Nematostella|LOC5506127
OG0005170	Hydra|LOC101241327	Nematostella|LOC5501270
OG0005171	Hydra|LOC100208684	Nematostella|LOC5507793
OG0005173	Hydra|LOC101235419	Nematostella|LOC5512525
OG0005174	Hydra|LOC100212724	Nematostella|LOC5515626
OG0005175	Hydra|LOC100197981	Nematostella|LOC5515642
OG0005176	Hydra|LOC100214937	Nematostella|LOC5519735
OG0005177	Hydra|LOC100206915	Nematostella|LOC5516437
OG0005178	Hydra|LOC100211762	Nematostella|LOC5507427
OG0005179	Hydra|LOC100203783	Nematostella|LOC5500617
OG0005180	Hydra|LOC100210671	Nematostella|LOC5506197
OG0005181	Hydra|LOC100213876	Nematostella|LOC5509850
OG0005182	Hydra|LOC100209618	Nematostella|LOC5517726
OG0005183	Hydra|LOC100215419	Nematostella|LOC5506753
OG0005184	Hydra|LOC100200382	Nematostella|LOC5515674
OG0005185	Hydra|LOC100213042	Nematostella|LOC5514510
OG0005186	Hydra|LOC100200124	Nematostella|LOC5508690
OG0005187	Hydra|LOC100209816	Nematostella|LOC5513577
OG0005188	Hydra|LOC100205747	Nematostella|LOC5502361
OG0005189	Hydra|LOC100200857	Nematostella|LOC5516386
OG0005191	Hydra|LOC100200213	Nematostella|LOC5517092
OG0005192	Hydra|LOC101235994	Nematostella|LOC116621177
OG0005193	Hydra|LOC100203439	Nematostella|LOC5504933
OG0005194	Hydra|LOC100197823	Nematostella|LOC5509804
OG0005195	Hydra|LOC100215858	Nematostella|LOC5519069
OG0005196	Hydra|LOC100203740	Nematostella|LOC5511104
OG0005197	Hydra|LOC100205355	Nematostella|LOC5514387
OG0005198	Hydra|LOC101240608	Nematostella|LOC5515846
OG0005199	Hydra|LOC101237501	Nematostella|LOC5519010
OG0005200	Hydra|LOC100215691	Nematostella|LOC5506253
OG0005202	Hydra|LOC100209489	Nematostella|LOC5516407
OG0005203	Hydra|LOC100202439	Nematostella|LOC5518664
OG0005204	Hydra|LOC100211339	Nematostella|LOC116606934
OG0005205	Hydra|LOC100199777	Nematostella|LOC5511797
OG0005206	Hydra|LOC100198773	Nematostella|LOC5521577
OG0005207	Hydra|LOC101241558	Nematostella|LOC5511474
OG0005208	Hydra|LOC100209455	Nematostella|LOC116612406
OG0005209	Hydra|LOC101237774	Nematostella|LOC116603457
OG0005210	Hydra|LOC101240675	Nematostella|LOC5505573
OG0005211	Hydra|LOC100214687	Nematostella|LOC5509288
OG0005213	Hydra|LOC100203020	Nematostella|LOC5505728
OG0005214	Hydra|LOC100215288	Nematostella|LOC5517608
OG0005215	Hydra|LOC105849103	Nematostella|LOC5509174
OG0005216	Hydra|LOC101240645	Nematostella|LOC5512301
OG0005217	Hydra|LOC100198136	Nematostella|LOC5511465
OG0005218	Hydra|LOC100205702	Nematostella|LOC116608944
OG0005219	Hydra|LOC100213990	Nematostella|LOC5502549
OG0005220	Hydra|LOC100214557	Nematostella|LOC5514618
