Orthogroup	longest_isoform_HydraProteins	longest_isoform_XeniaProteins
OG0004365	Hydra|LOC105848511	Xenia|LOC124449013, Xenia|LOC124447402, Xenia|LOC124456340, Xenia|LOC124440389
OG0004367	Hydra|LOC100200079	Xenia|LOC124457254, Xenia|LOC124456712, Xenia|LOC124441184
OG0004368	Hydra|LOC100206260	Xenia|LOC124437270
OG0004373	Hydra|LOC124805778, Hydra|LOC100203238	Xenia|LOC124434703
OG0004375	Hydra|LOC100213095	Xenia|LOC124452598, Xenia|LOC124436384
OG0004376	Hydra|LOC100207705	Xenia|LOC124441423, Xenia|LOC124441418, Xenia|LOC124441738
OG0004377	Hydra|LOC100210021	Xenia|LOC124452211, Xenia|LOC124457236, Xenia|LOC124440441
OG0004378	Hydra|LOC105849257	Xenia|LOC124452908, Xenia|LOC124453347, Xenia|LOC124446764
OG0004380	Hydra|LOC124811975, Hydra|LOC105846059, Hydra|LOC101239593, Hydra|LOC105844847	Xenia|LOC124456426, Xenia|LOC124458397
OG0004385	Hydra|LOC100206043, Hydra|LOC100204623, Hydra|LOC100199273	Xenia|LOC124440319
OG0004386	Hydra|LOC100211356	Xenia|LOC124442635, Xenia|LOC124435067
OG0004388	Hydra|LOC101240692	Xenia|LOC124453438, Xenia|LOC124453463, Xenia|LOC124453218
OG0004389	Hydra|LOC124816311, Hydra|LOC124814892, Hydra|LOC124814897, Hydra|LOC124816264, Hydra|LOC101235075	Xenia|LOC124451267
OG0004390	Hydra|LOC100204742	Xenia|LOC124452427, Xenia|LOC124452426
OG0004391	Hydra|LOC124815107	Xenia|LOC124457586, Xenia|LOC124456956, Xenia|LOC124457585, Xenia|LOC124458020, Xenia|LOC124456993
OG0004392	Hydra|LOC100215254	Xenia|LOC124454149, Xenia|LOC124454420, Xenia|LOC124454419
OG0004395	Hydra|LOC105845152	Xenia|LOC124438848, Xenia|LOC124439364
OG0004396	Hydra|LOC124816644, ND2, KEG85_p04	Xenia|LOC124455317, Xenia|LOC124455309, Xenia|LOC124455316
OG0004399	Hydra|LOC100212946	Xenia|LOC124435296, Xenia|LOC124435510
OG0004400	Hydra|LOC100208129, Hydra|LOC100203455	Xenia|LOC124435397
OG0004402	Hydra|LOC101236971	Xenia|LOC124438316
OG0004405	Hydra|LOC100202150	Xenia|LOC124433595, Xenia|LOC124437601
OG0004409	Hydra|LOC124807331	Xenia|LOC124442936, Xenia|LOC124443322, Xenia|LOC124442562
OG0004534	Hydra|LOC100207309	Xenia|LOC124459352
OG0004535	Hydra|LOC100205954	Xenia|LOC124451996
OG0004536	Hydra|LOC100204938	Xenia|LOC124433596
OG0004537	Hydra|LOC100208480	Xenia|LOC124433513
OG0004539	Hydra|LOC100205292	Xenia|LOC124447508
OG0004540	Hydra|LOC100201502	Xenia|LOC124459557
OG0004541	Hydra|LOC100207564	Xenia|LOC124459074
OG0004542	Hydra|LOC100214834	Xenia|LOC124452992
OG0004543	Hydra|LOC100211770	Xenia|LOC124459484
OG0004545	Hydra|LOC100213386	Xenia|LOC124444998
OG0004546	Hydra|LOC100214783	Xenia|LOC124444443
OG0004549	Hydra|LOC100211029	Xenia|LOC124433443
OG0004550	Hydra|LOC100201871	Xenia|LOC124439201
OG0004551	Hydra|LOC100197728	Xenia|LOC124446825
OG0004552	Hydra|LOC100197875	Xenia|LOC124448166
OG0004553	Hydra|LOC100200319	Xenia|LOC124459594
OG0004554	Hydra|LOC101234926	Xenia|LOC124459452
OG0004555	Hydra|LOC100199225	Xenia|LOC124452905
OG0004558	Hydra|LOC100208095	Xenia|LOC124448716
OG0004559	Hydra|LOC100203193	Xenia|LOC124455337
OG0004560	Hydra|LOC100208096	Xenia|LOC124433496
OG0004561	Hydra|LOC100208817	Xenia|LOC124455580
OG0004562	Hydra|LOC100207602	Xenia|LOC124458398
OG0004563	Hydra|LOC100199231	Xenia|LOC124454098
OG0004564	Hydra|LOC100212978	Xenia|LOC124451857
OG0004565	Hydra|LOC100192230	Xenia|LOC124451722
OG0004566	Hydra|LOC100207876	Xenia|LOC124452431
OG0004567	Hydra|LOC100205111	Xenia|LOC124452251
OG0004568	Hydra|LOC100198309	Xenia|LOC124449311
OG0004569	Hydra|LOC100214296	Xenia|LOC124444987
OG0004570	Hydra|LOC100202005	Xenia|LOC124453555
OG0004571	Hydra|LOC100202854	Xenia|LOC124453029
OG0004572	Hydra|LOC101236816	Xenia|LOC124433433
OG0004573	Hydra|LOC100206718	Xenia|LOC124447440
OG0004575	Hydra|LOC100204405	Xenia|LOC124435653
OG0004577	Hydra|LOC124818442	Xenia|LOC124456015
OG0004579	Hydra|LOC100211173	Xenia|LOC124452624
OG0004580	Hydra|LOC100202579	Xenia|LOC124453156
OG0004581	Hydra|LOC100213544	Xenia|LOC124452637
OG0004582	Hydra|LOC100210187	Xenia|LOC124452973
OG0004583	Hydra|LOC100205769	Xenia|LOC124444216
OG0004584	Hydra|LOC100215499	Xenia|LOC124456033
OG0004585	Hydra|LOC100208397	Xenia|LOC124440135
OG0004586	Hydra|LOC100209400	Xenia|LOC124453296
OG0004587	Hydra|LOC100199769	Xenia|LOC124440383
OG0004588	Hydra|LOC100199160	Xenia|LOC124439902
OG0004589	Hydra|LOC100214210	Xenia|LOC124439904
OG0004590	Hydra|LOC105846241	Xenia|LOC124452508
OG0004591	Hydra|LOC100202898	Xenia|LOC124453226
OG0004592	Hydra|LOC101234870	Xenia|LOC124453458
OG0004593	Hydra|LOC100200138	Xenia|LOC124453133
OG0004594	Hydra|LOC100204307	Xenia|LOC124452944
OG0004595	Hydra|LOC100198722	Xenia|LOC124440325
OG0004596	Hydra|LOC100199381	Xenia|LOC124440160
OG0004597	Hydra|LOC100204551	Xenia|LOC124440051
OG0004598	Hydra|LOC101239400	Xenia|LOC124434227
OG0004599	Hydra|LOC100203731	Xenia|LOC124435511
OG0004600	Hydra|LOC100214804	Xenia|LOC124445631
OG0004601	Hydra|LOC100200856	Xenia|LOC124446830
OG0004602	Hydra|LOC100215182	Xenia|LOC124446426
OG0004603	Hydra|LOC100215393	Xenia|LOC124447495
OG0004604	Hydra|LOC100211246	Xenia|LOC124438089
OG0004605	Hydra|LOC100197618	Xenia|LOC124438564
OG0004606	Hydra|LOC101240449	Xenia|LOC124446108
OG0004607	Hydra|LOC100197579	Xenia|LOC124446334
OG0004608	Hydra|LOC100212822	Xenia|LOC124439493
OG0004610	Hydra|LOC100206122	Xenia|LOC124440478
OG0004611	Hydra|LOC100208020	Xenia|LOC124445753
OG0004612	Hydra|LOC101239015	Xenia|LOC124446453
OG0004614	Hydra|LOC100211594	Xenia|LOC124445784
OG0004615	Hydra|LOC100205062	Xenia|LOC124446801
OG0004617	Hydra|LOC124807937	Xenia|LOC124438768
OG0004618	Hydra|LOC100198338	Xenia|LOC124445032
OG0004619	Hydra|LOC101240435	Xenia|LOC124443829
OG0004620	Hydra|LOC100215246	Xenia|LOC124438956
OG0004621	Hydra|LOC100215962	Xenia|LOC124450320
OG0004622	Hydra|LOC100211845	Xenia|LOC124446421
OG0004623	Hydra|LOC101239688	Xenia|LOC124446400
OG0004624	Hydra|LOC100210014	Xenia|LOC124447463
OG0004625	Hydra|LOC100210609	Xenia|LOC124447503
OG0004626	Hydra|LOC100204523	Xenia|LOC124450664
OG0004627	Hydra|LOC100201878	Xenia|LOC124447438
OG0004628	Hydra|LOC100209731	Xenia|LOC124451048
OG0004629	Hydra|LOC100214813	Xenia|LOC124433746
OG0004630	Hydra|LOC100201848	Xenia|LOC124444631
OG0004631	Hydra|LOC105843251	Xenia|LOC124437358
OG0004632	Hydra|LOC101238094	Xenia|LOC124450281
OG0004633	Hydra|LOC100203447	Xenia|LOC124439487
OG0004634	Hydra|LOC100197780	Xenia|LOC124438491
OG0004635	Hydra|LOC100202037, Hydra|LOC100213394	Xenia|LOC124451138
OG0004636	Hydra|LOC100213024	Xenia|LOC124445357
OG0004638	Hydra|LOC100198383	Xenia|LOC124447394
OG0004639	Hydra|LOC100203798	Xenia|LOC124446194
OG0004640	Hydra|LOC100201305	Xenia|LOC124451981
OG0004641	Hydra|LOC101240790	Xenia|LOC124445094
OG0004642	Hydra|LOC100212044	Xenia|LOC124438051
OG0004643	Hydra|LOC100203630	Xenia|LOC124446681
OG0004644	Hydra|LOC100213216	Xenia|LOC124447314
OG0004645	Hydra|LOC124818651	Xenia|LOC124447534
OG0004646	Hydra|LOC100208751	Xenia|LOC124450229
OG0004647	Hydra|LOC105847647	Xenia|LOC124447489
OG0004648	Hydra|LOC100203426	Xenia|LOC124439353
OG0004649	Hydra|LOC100210399	Xenia|LOC124450800
OG0004650	Hydra|LOC100205569	Xenia|LOC124453931
OG0004651	Hydra|LOC100198297	Xenia|LOC124434454
OG0004652	Hydra|LOC100206284	Xenia|LOC124451773
OG0004653	Hydra|LOC100200721	Xenia|LOC124443928
OG0004654	Hydra|LOC105843044	Xenia|LOC124439564
OG0004655	Hydra|LOC100213048	Xenia|LOC124451839
OG0004656	Hydra|LOC100197374	Xenia|LOC124441800
OG0004658	Hydra|LOC105850091	Xenia|LOC124441788
OG0004659	Hydra|LOC100213152	Xenia|LOC124443082
OG0004660	Hydra|LOC100212931	Xenia|LOC124442337
OG0004661	Hydra|LOC101234311	Xenia|LOC124443748
OG0004662	Hydra|LOC105844949	Xenia|LOC124448675
OG0004664	Hydra|LOC100215971	Xenia|LOC124436508
OG0004667	Hydra|LOC100204156	Xenia|LOC124444491
OG0004668	Hydra|LOC100209795	Xenia|LOC124442525
OG0004669	Hydra|LOC100207485	Xenia|LOC124441209
OG0004670	Hydra|LOC100204298	Xenia|LOC124440941
OG0004671	Hydra|LOC105846011	Xenia|LOC124439658
OG0004672	Hydra|LOC100210998	Xenia|LOC124441356
OG0004673	Hydra|LOC100213399	Xenia|LOC124442458
OG0004674	Hydra|LOC100208416	Xenia|LOC124441900
OG0004675	Hydra|LOC105847006	Xenia|LOC124441112
OG0004676	Hydra|LOC100200345	Xenia|LOC124442405
OG0004677	Hydra|LOC100203904	Xenia|LOC124441301
OG0004678	Hydra|LOC100211707	Xenia|LOC124441977
OG0004679	Hydra|LOC100214601	Xenia|LOC124441888
OG0004680	Hydra|LOC100203222	Xenia|LOC124442672
OG0004681	Hydra|LOC100212844	Xenia|LOC124446667
OG0004682	Hydra|LOC100198684	Xenia|LOC124442837
OG0004683	Hydra|LOC100202156	Xenia|LOC124441743
OG0004684	Hydra|LOC100208184	Xenia|LOC124443000
OG0004685	Hydra|LOC100198667	Xenia|LOC124441454
OG0004686	Hydra|LOC100208962	Xenia|LOC124442001
OG0004687	Hydra|LOC100205507	Xenia|LOC124442807
OG0004688	Hydra|LOC100214995	Xenia|LOC124443112
OG0004689	Hydra|LOC100199819	Xenia|LOC124442427
OG0004690	Hydra|LOC105844511	Xenia|LOC124441310
OG0004691	Hydra|LOC100206984	Xenia|LOC124446189
OG0004692	Hydra|LOC100203266	Xenia|LOC124438711
OG0004693	Hydra|LOC101241383	Xenia|LOC124451049
OG0004694	Hydra|LOC101239408	Xenia|LOC124438557
OG0004695	Hydra|LOC100201695	Xenia|LOC124438337
OG0004696	Hydra|LOC100214209	Xenia|LOC124439568
OG0004697	Hydra|LOC100215452	Xenia|LOC124445632
OG0004699	Hydra|LOC100202384	Xenia|LOC124447853
OG0004700	Hydra|LOC101235901	Xenia|LOC124438712
OG0004701	cad	Xenia|LOC124450795
OG0004704	Hydra|LOC100212803	Xenia|LOC124447196
OG0004705	Hydra|LOC101240283	Xenia|LOC124444440
OG0004706	Hydra|LOC100212344	Xenia|LOC124450793
OG0004707	Hydra|LOC100210436	Xenia|LOC124447538
OG0004709	Hydra|LOC100208422	Xenia|LOC124445113
OG0004710	Hydra|LOC100197482	Xenia|LOC124437022
OG0004711	Hydra|LOC100212923	Xenia|LOC124436433
OG0004712	Hydra|LOC100204636	Xenia|LOC124437766
OG0004713	Hydra|LOC100212538	Xenia|LOC124437364
OG0004714	Hydra|LOC101234667	Xenia|LOC124437001
OG0004715	Hydra|LOC101239857	Xenia|LOC124436173
OG0004716	Hydra|LOC100210065	Xenia|LOC124436894
OG0004717	Hydra|LOC100215344	Xenia|LOC124437418
OG0004718	Hydra|LOC100213645	Xenia|LOC124452749
OG0004722	Hydra|LOC100198850	Xenia|LOC124436412
OG0004723	Hydra|LOC100203709	Xenia|LOC124450451
OG0004726	Hydra|LOC100207933	Xenia|LOC124445398
OG0004727	Hydra|LOC100204975	Xenia|LOC124446873
OG0004728	Hydra|LOC100212385	Xenia|LOC124446133
OG0004729	Hydra|LOC101237123	Xenia|LOC124445932
OG0004730	Hydra|LOC100205282	Xenia|LOC124446845
OG0004731	Hydra|LOC100213179	Xenia|LOC124446532
OG0004732	Hydra|LOC100201128	Xenia|LOC124447533
OG0004733	Hydra|LOC100202237	Xenia|LOC124445272
OG0004734	Hydra|LOC100202416	Xenia|LOC124446733
OG0004735	Hydra|LOC100205751	Xenia|LOC124446650
OG0004736	Hydra|LOC124810307	Xenia|LOC124434391
OG0004738	Hydra|LOC100199698	Xenia|LOC124447222
OG0004739	Hydra|LOC100205761	Xenia|LOC124446083
OG0004741	Hydra|LOC105848082	Xenia|LOC124449851
OG0004743	Hydra|LOC100215531	Xenia|LOC124439894
OG0004744	Hydra|LOC100208821	Xenia|LOC124444036
OG0004745	Hydra|LOC100203326	Xenia|LOC124435888
OG0004746	Hydra|LOC101239648	Xenia|LOC124439839
OG0004747	Hydra|LOC100209924	Xenia|LOC124440542
OG0004748	Hydra|LOC101235249	Xenia|LOC124436804
OG0004749	Hydra|LOC100204988	Xenia|LOC124440704
OG0004750	Hydra|LOC100205763	Xenia|LOC124439881
OG0004751	Hydra|LOC105843761	Xenia|LOC124450505
OG0004752	Hydra|LOC100214463	Xenia|LOC124440536
OG0004753	Hydra|LOC100205064	Xenia|LOC124435708
OG0004754	Hydra|LOC100200148	Xenia|LOC124440129
OG0004755	Hydra|LOC100201597	Xenia|LOC124440679
OG0004756	Hydra|LOC124805769	Xenia|LOC124434920
OG0004757	Hydra|LOC105848688	Xenia|LOC124434144
OG0004758	Hydra|LOC100205115	Xenia|LOC124433835
OG0004759	Hydra|LOC100202974	Xenia|LOC124435303
OG0004760	Hydra|LOC100215349	Xenia|LOC124450710
OG0004761	Hydra|LOC100209209	Xenia|LOC124443664
OG0004762	Hydra|LOC100206706	Xenia|LOC124452736
OG0004763	Hydra|LOC100209443	Xenia|LOC124452996
OG0004764	Hydra|LOC100213649	Xenia|LOC124453604
OG0004765	Hydra|LOC101240538	Xenia|LOC124444337
OG0004767	Hydra|LOC100203526	Xenia|LOC124434143
OG0004768	Hydra|LOC100213722	Xenia|LOC124453214
OG0004769	Hydra|LOC100209076	Xenia|LOC124452910
OG0004771	Hydra|LOC100205478	Xenia|LOC124443790
OG0004775	Hydra|LOC100208477	Xenia|LOC124434157
OG0004776	Hydra|LOC100202519	Xenia|LOC124433823
OG0004777	Hydra|LOC100204750	Xenia|LOC124434725
OG0004778	Hydra|LOC101234289	Xenia|LOC124434129
OG0004779	Hydra|LOC105849944	Xenia|LOC124435730
OG0004780	Hydra|LOC100198598	Xenia|LOC124434239
OG0004781	Hydra|LOC100215316	Xenia|LOC124434108
OG0004782	Hydra|LOC100198448	Xenia|LOC124434023
OG0004783	Hydra|LOC100212645	Xenia|LOC124434533
OG0004784	Hydra|LOC105847323	Xenia|LOC124433881
OG0004786	Hydra|LOC101234922	Xenia|LOC124435811
OG0004787	Hydra|LOC105848436	Xenia|LOC124437374
OG0004788	Hydra|LOC105846183	Xenia|LOC124436955
OG0004789	Hydra|LOC100198143	Xenia|LOC124436571
OG0004790	Hydra|LOC100198519	Xenia|LOC124436962
OG0004791	Hydra|LOC101238034	Xenia|LOC124436472
OG0004792	Hydra|LOC100215401	Xenia|LOC124441485
OG0004794	Hydra|LOC100209435	Xenia|LOC124437629
OG0004795	Hydra|LOC100205056	Xenia|LOC124438496
OG0004796	Hydra|LOC100208471	Xenia|LOC124436983
OG0004797	Hydra|LOC100199982	Xenia|LOC124437627
OG0004798	Hydra|LOC100208995	Xenia|LOC124436289
OG0004799	Hydra|LOC100202333	Xenia|LOC124456969
OG0004801	Hydra|LOC100200686	Xenia|LOC124435363
OG0004802	Hydra|LOC100206949	Xenia|LOC124439837
OG0004803	Hydra|LOC100198766	Xenia|LOC124438280
OG0004804	Hydra|LOC100206447	Xenia|LOC124439836
OG0004805	Hydra|LOC100212579	Xenia|LOC124440398
OG0004806	Hydra|LOC100204808	Xenia|LOC124440374
OG0004807	Hydra|LOC101240862	Xenia|LOC124440039
OG0004808	Hydra|LOC101239227	Xenia|LOC124440016
OG0004809	Hydra|LOC100208948	Xenia|LOC124440269
OG0004810	Hydra|LOC101237604	Xenia|LOC124440554
OG0004811	Hydra|LOC100200565	Xenia|LOC124435545
OG0004813	Hydra|LOC100206669	Xenia|LOC124453636
OG0004814	Hydra|LOC100208430	Xenia|LOC124456556
OG0004815	Hydra|LOC105849617	Xenia|LOC124452638
OG0004817	Hydra|LOC100200680	Xenia|LOC124453602
OG0004818	Hydra|LOC100197543	Xenia|LOC124452634
OG0004820	Hydra|LOC100207576	Xenia|LOC124453006
OG0004821	Hydra|LOC100201207	Xenia|LOC124452547
OG0004823	Hydra|LOC100207345	Xenia|LOC124444072
OG0004824	Hydra|LOC105847150	Xenia|LOC124436965
OG0004825	Hydra|LOC100197414	Xenia|LOC124434281
OG0004826	Hydra|LOC100214222	Xenia|LOC124434763
OG0004827	Hydra|LOC100215875	Xenia|LOC124454917
OG0004828	Hydra|LOC100201718	Xenia|LOC124434716
OG0004829	Hydra|LOC100201151	Xenia|LOC124434167
OG0004830	Hydra|LOC101237552	Xenia|LOC124435366
OG0004831	Hydra|LOC100211287	Xenia|LOC124445855
OG0004832	Hydra|LOC100209656	Xenia|LOC124434985
OG0004833	Hydra|LOC100211661	Xenia|LOC124434680
OG0004836	Hydra|LOC100206134	Xenia|LOC124440122
OG0004840	Hydra|LOC100202939	Xenia|LOC124457348
OG0004841	Hydra|LOC100205545	Xenia|LOC124459428
OG0004842	Hydra|LOC100207289	Xenia|LOC124433389
OG0004844	Hydra|LOC100201999	Xenia|LOC124457243
OG0004846	Hydra|LOC100202415	Xenia|LOC124440655
OG0004847	Hydra|LOC100215465	Xenia|LOC124434682
OG0004848	Hydra|LOC105848598	Xenia|LOC124449292
OG0004849	Hydra|LOC100212021	Xenia|LOC124448633
OG0004850	Hydra|LOC100197263	Xenia|LOC124456772
OG0004851	Hydra|LOC101236086	Xenia|LOC124449331
OG0004852	Hydra|LOC100202076	Xenia|LOC124448405
OG0004853	Hydra|LOC100208084	Xenia|LOC124448228
OG0004854	Hydra|LOC100209346	Xenia|LOC124448154
OG0004856	Hydra|LOC100201140	Xenia|LOC124449290
OG0004857	Hydra|LOC100207760	Xenia|LOC124449591
OG0004858	Hydra|LOC100213122	Xenia|LOC124448173
OG0004859	Hydra|LOC100198457	Xenia|LOC124449860
OG0004860	Hydra|LOC124815965	Xenia|LOC124435717
OG0004862	Hydra|LOC100213476	Xenia|LOC124449515
OG0004863	Hydra|LOC100201018	Xenia|LOC124448572
OG0004864	Hydra|LOC100199815	Xenia|LOC124447121
OG0004865	Hydra|LOC100214093	Xenia|LOC124445900
OG0004866	Hydra|LOC100199223	Xenia|LOC124446668
OG0004868	Hydra|LOC100200874	Xenia|LOC124447531
OG0004869	Hydra|LOC101235082	Xenia|LOC124450901
OG0004871	Hydra|LOC100201258	Xenia|LOC124447059
OG0004872	Hydra|LOC101236718	Xenia|LOC124444439
OG0004873	Hydra|LOC100199695	Xenia|LOC124445492
OG0004874	Hydra|LOC100199347	Xenia|LOC124445997
OG0004875	Hydra|LOC100199672	Xenia|LOC124452744
OG0004876	Hydra|LOC100213557	Xenia|LOC124446753
OG0004877	Hydra|LOC105847296	Xenia|LOC124437669
OG0004878	Hydra|LOC100213679	Xenia|LOC124449264
OG0004879	Hydra|LOC100206912	Xenia|LOC124444215
OG0004880	Hydra|LOC100201219	Xenia|LOC124446989
OG0004881	Hydra|LOC100199984	Xenia|LOC124447385
OG0004882	Hydra|LOC100197101	Xenia|LOC124439003
OG0004883	Hydra|LOC100201189	Xenia|LOC124447544
OG0004884	Hydra|LOC100200365	Xenia|LOC124452466
OG0004885	Hydra|LOC101241717	Xenia|LOC124438577
OG0004886	Hydra|LOC105843689	Xenia|LOC124447923
OG0004888	Hydra|LOC100204597	Xenia|LOC124446552
OG0004889	Hydra|LOC100197954	Xenia|LOC124438607
OG0004890	Hydra|LOC101241231	Xenia|LOC124438809
OG0004891	Hydra|LOC100211195	Xenia|LOC124438382
OG0004892	Hydra|LOC100209524	Xenia|LOC124453059
OG0004894	Hydra|LOC100197439	Xenia|LOC124448477
OG0004896	Hydra|LOC100213033	Xenia|LOC124448839
OG0004897	Hydra|LOC100212233	Xenia|LOC124449564
OG0004898	Hydra|LOC100211953	Xenia|LOC124448797
OG0004900	Hydra|LOC101238921	Xenia|LOC124448904
OG0004901	Hydra|LOC100203032	Xenia|LOC124439430
OG0004902	Hydra|LOC105845313	Xenia|LOC124448799
OG0004903	Hydra|LOC100210280	Xenia|LOC124449375
OG0004904	Hydra|LOC100199197	Xenia|LOC124450711
OG0004905	Hydra|LOC100201752	Xenia|LOC124441102
OG0004906	Hydra|LOC101236755	Xenia|LOC124443410
OG0004907	Hydra|LOC100199212	Xenia|LOC124441403
OG0004908	Hydra|LOC100198421	Xenia|LOC124442423
OG0004909	Hydra|LOC100198590	Xenia|LOC124442417
OG0004910	Hydra|LOC100208202	Xenia|LOC124441316
OG0004911	Hydra|LOC101235692	Xenia|LOC124442209
OG0004912	Hydra|LOC100212521	Xenia|LOC124443033
OG0004913	Hydra|LOC100215603	Xenia|LOC124441031
OG0004914	Hydra|LOC100215190	Xenia|LOC124444966
OG0004915	Hydra|LOC100202924	Xenia|LOC124444012
OG0004916	Hydra|LOC101234802	Xenia|LOC124440908
OG0004917	Hydra|LOC100201384	Xenia|LOC124447422
OG0004918	Hydra|LOC100201162	Xenia|LOC124455662
OG0004919	Hydra|LOC100209531	Xenia|LOC124444648
OG0004920	Hydra|LOC100207442	Xenia|LOC124444957
OG0004921	Hydra|LOC100207821	Xenia|LOC124442485
OG0004922	Hydra|LOC100201833	Xenia|LOC124447575
OG0004923	Hydra|LOC100207492	Xenia|LOC124443618
OG0004924	Hydra|LOC101234944	Xenia|LOC124441807
OG0004925	Hydra|LOC100201445	Xenia|LOC124441430
OG0004926	Hydra|LOC100208869	Xenia|LOC124444953
OG0004927	Hydra|LOC100210275	Xenia|LOC124444304
OG0004928	Hydra|LOC100198867	Xenia|LOC124441494
OG0004929	Hydra|LOC100198742	Xenia|LOC124443180
OG0004930	Hydra|LOC100203942	Xenia|LOC124438416
OG0004931	Hydra|LOC100208376	Xenia|LOC124446657
OG0004932	Hydra|LOC100199901	Xenia|LOC124439404
OG0004933	Hydra|LOC101235191	Xenia|LOC124455542
OG0004934	Hydra|LOC100213995	Xenia|LOC124452699
OG0004936	Hydra|LOC100202535	Xenia|LOC124452564
OG0004938	Hydra|LOC101236599	Xenia|LOC124438435
OG0004939	Hydra|LOC105849949	Xenia|LOC124435410
OG0004940	Hydra|LOC100200152	Xenia|LOC124458530
OG0004941	Hydra|LOC100197682	Xenia|LOC124455566
OG0004942	Hydra|LOC100210616	Xenia|LOC124459084
OG0004943	Hydra|LOC101235650	Xenia|LOC124439604
OG0004944	Hydra|LOC100206382	Xenia|LOC124457870
OG0004945	Hydra|LOC100210433	Xenia|LOC124439146
OG0004946	Hydra|LOC100206337	Xenia|LOC124456819
OG0004947	Hydra|LOC100199066	Xenia|LOC124449333
OG0004948	Hydra|LOC100197626	Xenia|LOC124446553
OG0004949	Hydra|LOC105846105	Xenia|LOC124433495
OG0004950	Hydra|LOC100212329	Xenia|LOC124447384
OG0004951	Hydra|LOC101240286	Xenia|LOC124434975
OG0004952	Hydra|LOC101236768	Xenia|LOC124442802
OG0004953	Hydra|LOC100199640	Xenia|LOC124437617
OG0004954	Hydra|LOC100215119	Xenia|LOC124440618
OG0004957	Hydra|LOC100200028	Xenia|LOC124437742
OG0004958	Hydra|LOC105848807	Xenia|LOC124440631
OG0004959	Hydra|LOC100209738	Xenia|LOC124439968
OG0004960	Hydra|LOC124813747	Xenia|LOC124459646
OG0004961	Hydra|LOC100206584	Xenia|LOC124439717
OG0004962	Hydra|LOC100203890	Xenia|LOC124443607
OG0004963	Hydra|LOC100215786	Xenia|LOC124438104
OG0004965	Hydra|LOC100214060	Xenia|LOC124446098
OG0004966	Hydra|LOC100212973	Xenia|LOC124445945
OG0004967	Hydra|LOC100209362	Xenia|LOC124446171
OG0004969	Hydra|LOC100210424	Xenia|LOC124446103
OG0004970	Hydra|LOC100211757	Xenia|LOC124446365
OG0004971	Hydra|LOC100206606	Xenia|LOC124447117
OG0004972	Hydra|LOC100215362	Xenia|LOC124442803
OG0004974	Hydra|LOC100201543	Xenia|LOC124434852
OG0004975	Hydra|LOC100200520	Xenia|LOC124434156
OG0004976	Hydra|LOC100202475	Xenia|LOC124434890
OG0004977	Hydra|LOC100201625	Xenia|LOC124435418
OG0004978	Hydra|LOC100204193	Xenia|LOC124435403
OG0004979	Hydra|LOC100206733	Xenia|LOC124433857
OG0004980	Hydra|LOC100210930	Xenia|LOC124433897
OG0004981	Hydra|LOC100197456	Xenia|LOC124434484
OG0004982	Hydra|LOC100200440	Xenia|LOC124434601
OG0004983	Hydra|LOC100208075	Xenia|LOC124434093
OG0004984	Hydra|LOC100206195	Xenia|LOC124450272
OG0004986	Hydra|LOC100206113	Xenia|LOC124445161
OG0004987	Hydra|LOC100202538	Xenia|LOC124447437
OG0004988	Hydra|LOC100207400	Xenia|LOC124446562
OG0004989	Hydra|LOC100204272	Xenia|LOC124445400
OG0004990	Hydra|LOC100198483	Xenia|LOC124447550
OG0004991	Hydra|LOC100200383	Xenia|LOC124447474
OG0004992	Hydra|LOC100213320	Xenia|LOC124446794
OG0004994	Hydra|LOC100203704	Xenia|LOC124445808
OG0004995	Hydra|LOC100211645	Xenia|LOC124445475
OG0004996	Hydra|LOC100215533	Xenia|LOC124446521
OG0004997	Hydra|LOC100212099	Xenia|LOC124446573
OG0004998	Hydra|LOC100212871	Xenia|LOC124446723
OG0004999	Hydra|LOC101235570	Xenia|LOC124453241
OG0005001	Hydra|LOC100200777	Xenia|LOC124446496
OG0005002	Hydra|LOC100201115	Xenia|LOC124446206
OG0005003	Hydra|LOC100203107	Xenia|LOC124445739
OG0005004	Hydra|LOC100214335	Xenia|LOC124434990
OG0005006	Hydra|LOC100202377	Xenia|LOC124456097
OG0005007	Hydra|LOC101241009	Xenia|LOC124446880
OG0005008	Hydra|LOC100207125	Xenia|LOC124434731
OG0005012	Hydra|LOC100210640	Xenia|LOC124441673
OG0005014	Hydra|LOC124807073	Xenia|LOC124442207
OG0005016	Hydra|LOC100206758	Xenia|LOC124452593
OG0005017	Hydra|LOC100205647	Xenia|LOC124450900
OG0005018	Hydra|LOC100200641	Xenia|LOC124455482
OG0005019	Hydra|LOC100205990	Xenia|LOC124452714
OG0005020	Hydra|LOC100206935	Xenia|LOC124453046
OG0005021	Hydra|LOC100209813	Xenia|LOC124453043
OG0005023	Hydra|LOC100197269	Xenia|LOC124452866
OG0005024	Hydra|LOC100200811	Xenia|LOC124453285
OG0005025	Hydra|LOC101235835	Xenia|LOC124436342
OG0005026	Hydra|LOC100207719	Xenia|LOC124453467
OG0005028	Hydra|LOC100209445	Xenia|LOC124453729
OG0005029	Hydra|LOC100198652	Xenia|LOC124453240
OG0005030	Hydra|LOC100203093	Xenia|LOC124436174
OG0005032	Hydra|LOC101238925	Xenia|LOC124452884
OG0005033	Hydra|LOC100192263	Xenia|LOC124438225
