Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_XeniaProteins
OG0004728	Hydractinia|LOC130636272	Xenia|LOC124446133
OG0004729	Hydractinia|LOC130636540	Xenia|LOC124445932
OG0004730	Hydractinia|LOC130636557	Xenia|LOC124446845
OG0004731	Hydractinia|LOC130636710	Xenia|LOC124446532
OG0004732	Hydractinia|LOC130635958	Xenia|LOC124447533
OG0004733	Hydractinia|LOC130635879	Xenia|LOC124445272
OG0004734	Hydractinia|LOC130636174	Xenia|LOC124446733
OG0004735	Hydractinia|LOC130636627	Xenia|LOC124446650
OG0004736	Hydractinia|LOC130636515	Xenia|LOC124434391
OG0004738	Hydractinia|LOC130636621	Xenia|LOC124447222
OG0004739	Hydractinia|LOC130636617	Xenia|LOC124446083
OG0004741	Hydractinia|LOC130636623	Xenia|LOC124449851
OG0004743	Hydractinia|LOC130622649	Xenia|LOC124439894
OG0004744	Hydractinia|LOC130622656	Xenia|LOC124444036
OG0004745	Hydractinia|LOC130622594	Xenia|LOC124435888
OG0004746	Hydractinia|LOC130621890	Xenia|LOC124439839
OG0004747	Hydractinia|LOC130622774	Xenia|LOC124440542
OG0004748	Hydractinia|LOC130622492	Xenia|LOC124436804
OG0004749	Hydractinia|LOC130622667	Xenia|LOC124440704
OG0004750	Hydractinia|LOC130621880	Xenia|LOC124439881
OG0004751	Hydractinia|LOC130622675	Xenia|LOC124450505
OG0004752	Hydractinia|LOC130622051	Xenia|LOC124440536
OG0004753	Hydractinia|LOC130621433	Xenia|LOC124435708
OG0004754	Hydractinia|LOC130621755	Xenia|LOC124440129
OG0004755	Hydractinia|LOC130622499	Xenia|LOC124440679
OG0004756	Hydractinia|LOC130622498	Xenia|LOC124434920
OG0004757	Hydractinia|LOC130624983	Xenia|LOC124434144
OG0004758	Hydractinia|LOC130625590	Xenia|LOC124433835
OG0004759	Hydractinia|LOC130641344	Xenia|LOC124435303
OG0004760	Hydractinia|LOC130641487	Xenia|LOC124450710
OG0004761	Hydractinia|LOC130641414	Xenia|LOC124443664
OG0004762	Hydractinia|LOC130641227	Xenia|LOC124452736
OG0004763	Hydractinia|LOC130641367	Xenia|LOC124452996
OG0004764	Hydractinia|LOC130641876	Xenia|LOC124453604
OG0004765	Hydractinia|LOC130625564	Xenia|LOC124444337
OG0004767	Hydractinia|LOC130625594	Xenia|LOC124434143
OG0004768	Hydractinia|LOC130641003	Xenia|LOC124453214
OG0004769	Hydractinia|LOC130641368	Xenia|LOC124452910
OG0004771	Hydractinia|LOC130640980	Xenia|LOC124443790
OG0004775	Hydractinia|LOC130625817	Xenia|LOC124434157
OG0004776	Hydractinia|LOC130625601	Xenia|LOC124433823
OG0004777	Hydractinia|LOC130625567	Xenia|LOC124434725
OG0004778	Hydractinia|LOC130625719	Xenia|LOC124434129
OG0004779	Hydractinia|LOC130626188	Xenia|LOC124435730
OG0004780	Hydractinia|LOC130625777	Xenia|LOC124434239
OG0004781	Hydractinia|LOC130625902	Xenia|LOC124434108
OG0004782	Hydractinia|LOC130625903	Xenia|LOC124434023
OG0004783	Hydractinia|LOC130625445	Xenia|LOC124434533
OG0004784	Hydractinia|LOC130625818	Xenia|LOC124433881
OG0004786	Hydractinia|LOC130614132	Xenia|LOC124435811
OG0004787	Hydractinia|LOC130614119	Xenia|LOC124437374
OG0004788	Hydractinia|LOC130614822	Xenia|LOC124436955
OG0004789	Hydractinia|LOC130613884	Xenia|LOC124436571
OG0004790	Hydractinia|LOC130614028	Xenia|LOC124436962
OG0004791	Hydractinia|LOC130614222	Xenia|LOC124436472
OG0004792	Hydractinia|LOC130614744	Xenia|LOC124441485
OG0004794	Hydractinia|LOC130614613	Xenia|LOC124437629
OG0004795	Hydractinia|LOC130614865	Xenia|LOC124438496
OG0004796	Hydractinia|LOC130614016	Xenia|LOC124436983
OG0004797	Hydractinia|LOC130614229	Xenia|LOC124437627
OG0004798	Hydractinia|LOC130614029	Xenia|LOC124436289
OG0004799	Hydractinia|LOC130662864	Xenia|LOC124456969
OG0004801	Hydractinia|LOC130621551	Xenia|LOC124435363
OG0004802	Hydractinia|LOC130621846	Xenia|LOC124439837
OG0004803	Hydractinia|LOC130621903	Xenia|LOC124438280
OG0004804	Hydractinia|LOC130622602	Xenia|LOC124439836
OG0004805	Hydractinia|LOC130622053	Xenia|LOC124440398
OG0004806	Hydractinia|LOC130622077	Xenia|LOC124440374
OG0004807	Hydractinia|LOC130622771	Xenia|LOC124440039
OG0004808	Hydractinia|LOC130621562	Xenia|LOC124440016
OG0004809	Hydractinia|LOC130621563	Xenia|LOC124440269
OG0004810	Hydractinia|LOC130622514	Xenia|LOC124440554
OG0004811	Hydractinia|LOC130641648	Xenia|LOC124435545
OG0004813	Hydractinia|LOC130642111	Xenia|LOC124453636
OG0004814	Hydractinia|LOC130641998	Xenia|LOC124456556
OG0004815	Hydractinia|LOC130640978	Xenia|LOC124452638
OG0004817	Hydractinia|LOC130641063	Xenia|LOC124453602
OG0004818	Hydractinia|LOC130641402	Xenia|LOC124452634
OG0004820	Hydractinia|LOC130641782	Xenia|LOC124453006
OG0004821	Hydractinia|LOC130641372	Xenia|LOC124452547
OG0004823	Hydractinia|LOC130640994	Xenia|LOC124444072
OG0004824	Hydractinia|LOC130614487	Xenia|LOC124436965
OG0004825	Hydractinia|LOC130622999	Xenia|LOC124434281
OG0004826	Hydractinia|LOC130623385	Xenia|LOC124434763
OG0004827	Hydractinia|LOC130623748	Xenia|LOC124454917
OG0004828	Hydractinia|LOC130623855	Xenia|LOC124434716
OG0004829	Hydractinia|LOC130622903	Xenia|LOC124434167
OG0004830	Hydractinia|LOC130622985	Xenia|LOC124435366
OG0004831	Hydractinia|LOC130624115	Xenia|LOC124445855
OG0004832	Hydractinia|LOC130623456	Xenia|LOC124434985
OG0004833	Hydractinia|LOC130623754	Xenia|LOC124434680
OG0004836	Hydractinia|LOC130623444	Xenia|LOC124440122
OG0004838	Hydractinia|LOC130640179, Hydractinia|LOC130643143	Xenia|LOC124438340
OG0004840	Hydractinia|LOC130645106	Xenia|LOC124457348
OG0004841	Hydractinia|LOC130632517	Xenia|LOC124459428
OG0004842	Hydractinia|LOC130647300	Xenia|LOC124433389
OG0004843	Hydractinia|LOC130623547	Xenia|LOC124453309
OG0004844	Hydractinia|LOC130646119	Xenia|LOC124457243
OG0004845	Hydractinia|LOC130647947, Hydractinia|LOC130650009	Xenia|LOC124459608
OG0004846	Hydractinia|LOC130646825	Xenia|LOC124440655
OG0004847	Hydractinia|LOC130648920	Xenia|LOC124434682
OG0004848	Hydractinia|LOC130648904	Xenia|LOC124449292
OG0004849	Hydractinia|LOC130649096	Xenia|LOC124448633
OG0004850	Hydractinia|LOC130649005	Xenia|LOC124456772
OG0004851	Hydractinia|LOC130649006	Xenia|LOC124449331
OG0004852	Hydractinia|LOC130649221	Xenia|LOC124448405
OG0004853	Hydractinia|LOC130649464	Xenia|LOC124448228
OG0004854	Hydractinia|LOC130649114	Xenia|LOC124448154
OG0004856	Hydractinia|LOC130648797	Xenia|LOC124449290
OG0004857	Hydractinia|LOC130649157	Xenia|LOC124449591
OG0004858	Hydractinia|LOC130649268	Xenia|LOC124448173
OG0004859	Hydractinia|LOC130648919	Xenia|LOC124449860
OG0004860	Hydractinia|LOC130649222	Xenia|LOC124435717
OG0004862	Hydractinia|LOC130649051	Xenia|LOC124449515
OG0004863	Hydractinia|LOC130649374	Xenia|LOC124448572
OG0004864	Hydractinia|LOC130655942	Xenia|LOC124447121
OG0004865	Hydractinia|LOC130655945	Xenia|LOC124445900
OG0004866	Hydractinia|LOC130655106	Xenia|LOC124446668
OG0004867	Hydractinia|LOC130657400, Hydractinia|LOC130655810	Xenia|LOC124456878
OG0004868	Hydractinia|LOC130655876	Xenia|LOC124447531
OG0004869	Hydractinia|LOC130655688	Xenia|LOC124450901
OG0004870	Hydractinia|LOC130654754, Hydractinia|LOC130644672	Xenia|LOC124450369
OG0004871	Hydractinia|LOC130653949	Xenia|LOC124447059
OG0004872	Hydractinia|LOC130656041	Xenia|LOC124444439
OG0004873	Hydractinia|LOC130653641	Xenia|LOC124445492
OG0004874	Hydractinia|LOC130655811	Xenia|LOC124445997
OG0004875	Hydractinia|LOC130655878	Xenia|LOC124452744
OG0004876	Hydractinia|LOC130655877	Xenia|LOC124446753
OG0004877	Hydractinia|LOC130654576	Xenia|LOC124437669
OG0004878	Hydractinia|LOC130655882	Xenia|LOC124449264
OG0004879	Hydractinia|LOC130655748	Xenia|LOC124444215
OG0004880	Hydractinia|LOC130656057	Xenia|LOC124446989
OG0004881	Hydractinia|LOC130654557	Xenia|LOC124447385
OG0004882	Hydractinia|LOC130654060	Xenia|LOC124439003
OG0004883	Hydractinia|LOC130653985	Xenia|LOC124447544
OG0004884	Hydractinia|LOC130654192	Xenia|LOC124452466
OG0004885	Hydractinia|LOC130647284, Hydractinia|LOC130648312	Xenia|LOC124438577
OG0004886	Hydractinia|LOC130647356	Xenia|LOC124447923
OG0004887	Hydractinia|LOC130647934	Xenia|LOC124457464
OG0004888	Hydractinia|LOC130654392	Xenia|LOC124446552
OG0004889	Hydractinia|LOC130654076	Xenia|LOC124438607
OG0004890	Hydractinia|LOC130654059	Xenia|LOC124438809
OG0004891	Hydractinia|LOC130647174	Xenia|LOC124438382
OG0004892	Hydractinia|LOC130647137	Xenia|LOC124453059
OG0004894	Hydractinia|LOC130649214	Xenia|LOC124448477
OG0004896	Hydractinia|LOC130649490	Xenia|LOC124448839
OG0004897	Hydractinia|LOC130649335	Xenia|LOC124449564
OG0004898	Hydractinia|LOC130648350	Xenia|LOC124448797
OG0004900	Hydractinia|LOC130649331	Xenia|LOC124448904
OG0004901	Hydractinia|LOC130648769	Xenia|LOC124439430
OG0004902	Hydractinia|LOC130648351	Xenia|LOC124448799
OG0004903	Hydractinia|LOC130649002	Xenia|LOC124449375
OG0004904	Hydractinia|LOC130645071	Xenia|LOC124450711
OG0004905	Hydractinia|LOC130657215	Xenia|LOC124441102
OG0004906	Hydractinia|LOC130656258	Xenia|LOC124443410
OG0004907	Hydractinia|LOC130657668	Xenia|LOC124441403
OG0004908	Hydractinia|LOC130656369	Xenia|LOC124442423
OG0004909	Hydractinia|LOC130656371	Xenia|LOC124442417
OG0004910	Hydractinia|LOC130656366	Xenia|LOC124441316
OG0004911	Hydractinia|LOC130656368	Xenia|LOC124442209
OG0004912	Hydractinia|LOC130656309	Xenia|LOC124443033
OG0004913	Hydractinia|LOC130656845	Xenia|LOC124441031
OG0004914	Hydractinia|LOC130645513	Xenia|LOC124444966
OG0004915	Hydractinia|LOC130644973	Xenia|LOC124444012
OG0004916	Hydractinia|LOC130644746	Xenia|LOC124440908
OG0004917	Hydractinia|LOC130645363	Xenia|LOC124447422
OG0004918	Hydractinia|LOC130644817	Xenia|LOC124455662
OG0004919	Hydractinia|LOC130645254	Xenia|LOC124444648
OG0004920	Hydractinia|LOC130645322	Xenia|LOC124444957
OG0004921	Hydractinia|LOC130644676	Xenia|LOC124442485
OG0004922	Hydractinia|LOC130644638	Xenia|LOC124447575
OG0004923	Hydractinia|LOC130644971	Xenia|LOC124443618
OG0004924	Hydractinia|LOC130644968	Xenia|LOC124441807
OG0004925	Hydractinia|LOC130644545	Xenia|LOC124441430
OG0004926	Hydractinia|LOC130645767	Xenia|LOC124444953
OG0004927	Hydractinia|LOC130644923	Xenia|LOC124444304
OG0004928	Hydractinia|LOC130645301	Xenia|LOC124441494
OG0004929	Hydractinia|LOC130644539	Xenia|LOC124443180
OG0004930	Hydractinia|LOC130613083	Xenia|LOC124438416
OG0004931	Hydractinia|LOC130612298	Xenia|LOC124446657
OG0004932	Hydractinia|LOC130613318	Xenia|LOC124439404
OG0004933	Hydractinia|LOC130662284	Xenia|LOC124455542
OG0004934	Hydractinia|LOC130612461	Xenia|LOC124452699
OG0004936	Hydractinia|LOC130612403	Xenia|LOC124452564
OG0004938	Hydractinia|LOC130613300	Xenia|LOC124438435
OG0004939	Hydractinia|LOC130662713	Xenia|LOC124435410
OG0004940	Hydractinia|LOC130662347	Xenia|LOC124458530
OG0004941	Hydractinia|LOC130647931	Xenia|LOC124455566
OG0004942	Hydractinia|LOC130647809	Xenia|LOC124459084
OG0004943	Hydractinia|LOC130662786	Xenia|LOC124439604
OG0004944	Hydractinia|LOC130662307	Xenia|LOC124457870
OG0004945	Hydractinia|LOC130613361	Xenia|LOC124439146
OG0004946	Hydractinia|LOC130647854	Xenia|LOC124456819
OG0004947	Hydractinia|LOC130646975	Xenia|LOC124449333
OG0004948	Hydractinia|LOC130647965	Xenia|LOC124446553
OG0004949	Hydractinia|LOC130647487	Xenia|LOC124433495
OG0004950	Hydractinia|LOC130622969	Xenia|LOC124447384
OG0004951	Hydractinia|LOC130622781	Xenia|LOC124434975
OG0004952	Hydractinia|LOC130621856	Xenia|LOC124442802
OG0004953	Hydractinia|LOC130621938	Xenia|LOC124437617
OG0004954	Hydractinia|LOC130621902	Xenia|LOC124440618
OG0004957	Hydractinia|LOC130622559	Xenia|LOC124437742
OG0004958	Hydractinia|LOC130622558	Xenia|LOC124440631
OG0004959	Hydractinia|LOC130621177	Xenia|LOC124439968
OG0004960	Hydractinia|LOC130622712	Xenia|LOC124459646
OG0004961	Hydractinia|LOC130622146	Xenia|LOC124439717
OG0004962	Hydractinia|LOC130622488	Xenia|LOC124443607
OG0004963	Hydractinia|LOC130622490	Xenia|LOC124438104
OG0004965	Hydractinia|LOC130635875	Xenia|LOC124446098
OG0004966	Hydractinia|LOC130635995	Xenia|LOC124445945
OG0004967	Hydractinia|LOC130636161	Xenia|LOC124446171
OG0004969	Hydractinia|LOC130636291	Xenia|LOC124446103
OG0004970	Hydractinia|LOC130636408	Xenia|LOC124446365
OG0004971	Hydractinia|LOC130636728	Xenia|LOC124447117
OG0004972	Hydractinia|LOC130636407	Xenia|LOC124442803
OG0004974	Hydractinia|LOC130625107	Xenia|LOC124434852
OG0004975	Hydractinia|LOC130626036	Xenia|LOC124434156
OG0004976	Hydractinia|LOC130626044	Xenia|LOC124434890
OG0004977	Hydractinia|LOC130626031	Xenia|LOC124435418
OG0004978	Hydractinia|LOC130625952	Xenia|LOC124435403
OG0004979	Hydractinia|LOC130625500	Xenia|LOC124433857
OG0004980	Hydractinia|LOC130625566	Xenia|LOC124433897
OG0004981	Hydractinia|LOC130626034	Xenia|LOC124434484
OG0004982	Hydractinia|LOC130625711	Xenia|LOC124434601
OG0004983	Hydractinia|LOC130625746	Xenia|LOC124434093
OG0004984	Hydractinia|LOC130625410	Xenia|LOC124450272
OG0004986	Hydractinia|LOC130636188	Xenia|LOC124445161
OG0004987	Hydractinia|LOC130635960	Xenia|LOC124447437
OG0004988	Hydractinia|LOC130635964	Xenia|LOC124446562
OG0004989	Hydractinia|LOC130635967	Xenia|LOC124445400
OG0004990	Hydractinia|LOC130635644	Xenia|LOC124447550
OG0004991	Hydractinia|LOC130635954	Xenia|LOC124447474
OG0004992	Hydractinia|LOC130635660	Xenia|LOC124446794
OG0004994	Hydractinia|LOC130636440	Xenia|LOC124445808
OG0004995	Hydractinia|LOC130636758	Xenia|LOC124445475
OG0004996	Hydractinia|LOC130636189	Xenia|LOC124446521
OG0004997	Hydractinia|LOC130636603	Xenia|LOC124446573
OG0004998	Hydractinia|LOC130635961	Xenia|LOC124446723
OG0004999	Hydractinia|LOC130635821	Xenia|LOC124453241
OG0005001	Hydractinia|LOC130636698	Xenia|LOC124446496
OG0005002	Hydractinia|LOC130635765	Xenia|LOC124446206
OG0005003	Hydractinia|LOC130636112	Xenia|LOC124445739
OG0005004	Hydractinia|LOC130624035	Xenia|LOC124434990
OG0005006	Hydractinia|LOC130635589	Xenia|LOC124456097
OG0005007	Hydractinia|LOC130635990	Xenia|LOC124446880
OG0005008	Hydractinia|LOC130623870	Xenia|LOC124434731
OG0005012	Hydractinia|LOC130624077	Xenia|LOC124441673
OG0005014	Hydractinia|LOC130628610	Xenia|LOC124442207
OG0005016	Hydractinia|LOC130629137	Xenia|LOC124452593
OG0005017	Hydractinia|LOC130629150	Xenia|LOC124450900
OG0005018	Hydractinia|LOC130630361	Xenia|LOC124455482
OG0005019	Hydractinia|LOC130629255	Xenia|LOC124452714
OG0005020	Hydractinia|LOC130628724	Xenia|LOC124453046
OG0005021	Hydractinia|LOC130628875	Xenia|LOC124453043
OG0005023	Hydractinia|LOC130628942	Xenia|LOC124452866
OG0005024	Hydractinia|LOC130628943	Xenia|LOC124453285
OG0005025	Hydractinia|LOC130629290	Xenia|LOC124436342
OG0005026	Hydractinia|LOC130628909	Xenia|LOC124453467
OG0005028	Hydractinia|LOC130629027	Xenia|LOC124453729
OG0005029	Hydractinia|LOC130629019	Xenia|LOC124453240
OG0005030	Hydractinia|LOC130628817	Xenia|LOC124436174
OG0005032	Hydractinia|LOC130628839	Xenia|LOC124452884
OG0005033	Hydractinia|LOC130613174	Xenia|LOC124438225
OG0005034	Hydractinia|LOC130662370	Xenia|LOC124444041
OG0005035	Hydractinia|LOC130662765	Xenia|LOC124442648
OG0005036	Hydractinia|LOC130613279	Xenia|LOC124439625
OG0005037	Hydractinia|LOC130662328	Xenia|LOC124439068
OG0005038	Hydractinia|LOC130612050	Xenia|LOC124438314
OG0005040	Hydractinia|LOC130662660	Xenia|LOC124433649
OG0005041	Hydractinia|LOC130662655	Xenia|LOC124438136
OG0005042	Hydractinia|LOC130628830	Xenia|LOC124453769
OG0005043	Hydractinia|LOC130629015	Xenia|LOC124453322
OG0005045	Hydractinia|LOC130628772	Xenia|LOC124453233
OG0005049	Hydractinia|LOC130641793	Xenia|LOC124452887
OG0005050	Hydractinia|LOC130640986	Xenia|LOC124453537
OG0005051	Hydractinia|LOC130612186	Xenia|LOC124438148
OG0005052	Hydractinia|LOC130662830	Xenia|LOC124455539
OG0005053	Hydractinia|LOC130612069	Xenia|LOC124454353
OG0005054	Hydractinia|LOC130662540	Xenia|LOC124451306
OG0005057	Hydractinia|LOC130613289	Xenia|LOC124438322
OG0005058	Hydractinia|LOC130612442	Xenia|LOC124442429
OG0005059	Hydractinia|LOC130656692	Xenia|LOC124441873
OG0005060	Hydractinia|LOC130656766	Xenia|LOC124441761
OG0005061	Hydractinia|LOC130656769	Xenia|LOC124442202
OG0005063	Hydractinia|LOC130656289	Xenia|LOC124442550
OG0005064	Hydractinia|LOC130656895	Xenia|LOC124442365
OG0005065	Hydractinia|LOC130656715	Xenia|LOC124450689
OG0005067	Hydractinia|LOC130656240	Xenia|LOC124441425
OG0005068	Hydractinia|LOC130657727	Xenia|LOC124452230
OG0005069	Hydractinia|LOC130657608	Xenia|LOC124435285
OG0005070	Hydractinia|LOC130657607	Xenia|LOC124445852
OG0005071	Hydractinia|LOC130656317	Xenia|LOC124446709
OG0005072	Hydractinia|LOC130658027	Xenia|LOC124441228
OG0005073	Hydractinia|LOC130656245	Xenia|LOC124441712
OG0005074	Hydractinia|LOC130625482	Xenia|LOC124435198
OG0005075	Hydractinia|LOC130628825	Xenia|LOC124452743
OG0005076	Hydractinia|LOC130628856	Xenia|LOC124453235
OG0005077	Hydractinia|LOC130624982	Xenia|LOC124435197
OG0005078	Hydractinia|LOC130629257	Xenia|LOC124453625
OG0005079	Hydractinia|LOC130628712	Xenia|LOC124453466
OG0005080	Hydractinia|LOC130612303	Xenia|LOC124438798
OG0005081	Hydractinia|LOC130662662	Xenia|LOC124439263
OG0005084	Hydractinia|LOC130630283	Xenia|LOC124440102
OG0005086	Hydractinia|LOC130630673	Xenia|LOC124452404
OG0005087	Hydractinia|LOC130630680	Xenia|LOC124439949
OG0005088	Hydractinia|LOC130630307	Xenia|LOC124436452
OG0005089	Hydractinia|LOC130630306	Xenia|LOC124449810
OG0005090	Hydractinia|LOC130630372	Xenia|LOC124444492
OG0005091	Hydractinia|LOC130630443	Xenia|LOC124444757
OG0005092	Hydractinia|LOC130630470	Xenia|LOC124438911
OG0005093	Hydractinia|LOC130636164	Xenia|LOC124447252
OG0005094	Hydractinia|LOC130636062	Xenia|LOC124444321
OG0005095	Hydractinia|LOC130636661	Xenia|LOC124445499
OG0005096	Hydractinia|LOC130636333	Xenia|LOC124445003
OG0005098	Hydractinia|LOC130635656	Xenia|LOC124447254
OG0005099	Hydractinia|LOC130636655	Xenia|LOC124445297
OG0005100	Hydractinia|LOC130636653	Xenia|LOC124445939
OG0005101	Hydractinia|LOC130636662	Xenia|LOC124446384
OG0005102	Hydractinia|LOC130635892	Xenia|LOC124445078
OG0005103	Hydractinia|LOC130636431	Xenia|LOC124446290
OG0005104	Hydractinia|LOC130635988	Xenia|LOC124446804
OG0005105	Hydractinia|LOC130645269	Xenia|LOC124441930
OG0005106	Hydractinia|LOC130628527	Xenia|LOC124452950
OG0005107	Hydractinia|LOC130633542	Xenia|LOC124454858
OG0005109	Hydractinia|LOC130647536	Xenia|LOC124433307
OG0005110	Hydractinia|LOC130645644	Xenia|LOC124454058
OG0005111	Hydractinia|LOC130646065	Xenia|LOC124457200
OG0005112	Hydractinia|LOC130645385	Xenia|LOC124459454
OG0005113	Hydractinia|LOC130612903	Xenia|LOC124439125
OG0005114	Hydractinia|LOC130662590	Xenia|LOC124438260
OG0005115	Hydractinia|LOC130662478	Xenia|LOC124438847
OG0005116	Hydractinia|LOC130662561	Xenia|LOC124439515
OG0005117	Hydractinia|LOC130662560	Xenia|LOC124454247
OG0005118	Hydractinia|LOC130662273	Xenia|LOC124438278
OG0005119	Hydractinia|LOC130612265	Xenia|LOC124438998
OG0005120	Hydractinia|LOC130612994	Xenia|LOC124451169
OG0005121	Hydractinia|LOC130612167	Xenia|LOC124452586
OG0005122	Hydractinia|LOC130636455	Xenia|LOC124445649
OG0005123	Hydractinia|LOC130612129	Xenia|LOC124433442
OG0005124	Hydractinia|LOC130648922	Xenia|LOC124447968
OG0005125	Hydractinia|LOC130648839	Xenia|LOC124439343
OG0005126	Hydractinia|LOC130648418	Xenia|LOC124448293
OG0005127	Hydractinia|LOC130648865	Xenia|LOC124449312
OG0005130	Hydractinia|LOC130613880	Xenia|LOC124436321
OG0005131	Hydractinia|LOC130613812	Xenia|LOC124437093
OG0005132	Hydractinia|LOC130614140	Xenia|LOC124437416
OG0005133	Hydractinia|LOC130614790	Xenia|LOC124437535
OG0005134	Hydractinia|LOC130614750	Xenia|LOC124436161
OG0005135	Hydractinia|LOC130614749	Xenia|LOC124436572
OG0005136	Hydractinia|LOC130614200	Xenia|LOC124437520
OG0005137	Hydractinia|LOC130613906	Xenia|LOC124436367
OG0005138	Hydractinia|LOC130614874	Xenia|LOC124437020
OG0005140	Hydractinia|LOC130614752	Xenia|LOC124447472
OG0005142	Hydractinia|LOC130656185	Xenia|LOC124441328
OG0005143	Hydractinia|LOC130656805	Xenia|LOC124442898
OG0005144	Hydractinia|LOC130656808	Xenia|LOC124452955
OG0005145	Hydractinia|LOC130656291	Xenia|LOC124438249
OG0005147	Hydractinia|LOC130657434	Xenia|LOC124441030
OG0005148	Hydractinia|LOC130656994	Xenia|LOC124442770
OG0005149	Hydractinia|LOC130656918	Xenia|LOC124441983
OG0005150	Hydractinia|LOC130657090	Xenia|LOC124439481
OG0005151	Hydractinia|LOC130657095	Xenia|LOC124442901
OG0005152	Hydractinia|LOC130656462	Xenia|LOC124450715
OG0005153	Hydractinia|LOC130657188	Xenia|LOC124441826
OG0005154	Hydractinia|LOC130656288	Xenia|LOC124442946
OG0005155	Hydractinia|LOC130656286	Xenia|LOC124434876
OG0005156	Hydractinia|LOC130657101	Xenia|LOC124439429
OG0005157	Hydractinia|LOC130657390	Xenia|LOC124441765
OG0005158	Hydractinia|LOC130657391	Xenia|LOC124433899
OG0005159	Hydractinia|LOC130657563	Xenia|LOC124441461
OG0005160	Hydractinia|LOC130657952	Xenia|LOC124445627
OG0005161	Hydractinia|LOC130657980	Xenia|LOC124446491
OG0005163	Hydractinia|LOC130636633	Xenia|LOC124445711
OG0005165	Hydractinia|LOC130636040	Xenia|LOC124447223
OG0005166	Hydractinia|LOC130635985	Xenia|LOC124446397
OG0005167	Hydractinia|LOC130636055	Xenia|LOC124447386
OG0005168	Hydractinia|LOC130635732	Xenia|LOC124445554
OG0005169	Hydractinia|LOC130635731	Xenia|LOC124438402
OG0005170	Hydractinia|LOC130636084	Xenia|LOC124452250
OG0005171	Hydractinia|LOC130635735	Xenia|LOC124446218
OG0005173	Hydractinia|LOC130654491	Xenia|LOC124447478
OG0005174	Hydractinia|LOC130654444	Xenia|LOC124438662
OG0005175	Hydractinia|LOC130655781	Xenia|LOC124439647
OG0005176	Hydractinia|LOC130654134	Xenia|LOC124451052
OG0005177	Hydractinia|LOC130655298	Xenia|LOC124445092
OG0005178	Hydractinia|LOC130655930	Xenia|LOC124443706
OG0005179	Hydractinia|LOC130654918	Xenia|LOC124447037
OG0005180	Hydractinia|LOC130654892	Xenia|LOC124451477
OG0005181	Hydractinia|LOC130655906	Xenia|LOC124438239
OG0005182	Hydractinia|LOC130654031	Xenia|LOC124445667
OG0005183	Hydractinia|LOC130654494	Xenia|LOC124446486
OG0005184	Hydractinia|LOC130655770	Xenia|LOC124439617
OG0005185	Hydractinia|LOC130655706	Xenia|LOC124438957
OG0005186	Hydractinia|LOC130654914	Xenia|LOC124445951
OG0005187	Hydractinia|LOC130654096	Xenia|LOC124447419
OG0005188	Hydractinia|LOC130655907	Xenia|LOC124438061
OG0005189	Hydractinia|LOC130654333	Xenia|LOC124445532
OG0005191	Hydractinia|LOC130625741	Xenia|LOC124435686
OG0005192	Hydractinia|LOC130624994	Xenia|LOC124434943
OG0005193	Hydractinia|LOC130625091	Xenia|LOC124433926
OG0005194	Hydractinia|LOC130625551	Xenia|LOC124433748
OG0005195	Hydractinia|LOC130624947	Xenia|LOC124434873
OG0005196	Hydractinia|LOC130625400	Xenia|LOC124434605
OG0005197	Hydractinia|LOC130626075	Xenia|LOC124435407
OG0005198	Hydractinia|LOC130626070	Xenia|LOC124434218
OG0005199	Hydractinia|LOC130625549	Xenia|LOC124434198
OG0005200	Hydractinia|LOC130625443	Xenia|LOC124434964
OG0005202	Hydractinia|LOC130644434	Xenia|LOC124446385
OG0005203	Hydractinia|LOC130644963	Xenia|LOC124450823
OG0005204	Hydractinia|LOC130644855	Xenia|LOC124444879
OG0005205	Hydractinia|LOC130645567	Xenia|LOC124449416
OG0005206	Hydractinia|LOC130645570	Xenia|LOC124444899
OG0005207	Hydractinia|LOC130644955	Xenia|LOC124443780
OG0005208	Hydractinia|LOC130645420	Xenia|LOC124443080
OG0005209	Hydractinia|LOC130645226	Xenia|LOC124445010
OG0005211	Hydractinia|LOC130645449	Xenia|LOC124442414
OG0005213	Hydractinia|LOC130645504	Xenia|LOC124452642
OG0005214	Hydractinia|LOC130645837	Xenia|LOC124453185
OG0005215	Hydractinia|LOC130646303	Xenia|LOC124456855
OG0005216	Hydractinia|LOC130645743	Xenia|LOC124459642
OG0005217	Hydractinia|LOC130644689	Xenia|LOC124443803
OG0005218	Hydractinia|LOC130645011	Xenia|LOC124442274
OG0005219	Hydractinia|LOC130645368	Xenia|LOC124433271
OG0005220	Hydractinia|LOC130644696	Xenia|LOC124445019
OG0005221	Hydractinia|LOC130645091	Xenia|LOC124443086
OG0005222	Hydractinia|LOC130645090	Xenia|LOC124441391
OG0005225	Hydractinia|LOC130612093	Xenia|LOC124438945
OG0005227	Hydractinia|LOC130614274	Xenia|LOC124434795
OG0005228	Hydractinia|LOC130612717	Xenia|LOC124438817
OG0005229	Hydractinia|LOC130662434	Xenia|LOC124438686
OG0005231	Hydractinia|LOC130628597	Xenia|LOC124452641
OG0005234	Hydractinia|LOC130645104	Xenia|LOC124444471
OG0005235	Hydractinia|LOC130645138	Xenia|LOC124443541
OG0005236	Hydractinia|LOC130645614	Xenia|LOC124444737
