Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_NematostellaProteins
OG0006117	Hydractinia|LOC130657962	Nematostella|LOC5508854
OG0006118	Hydractinia|LOC130657446	Nematostella|LOC5518924
OG0006119	Hydractinia|LOC130614702	Nematostella|LOC5503929
OG0006120	Hydractinia|LOC130629555	Nematostella|LOC5506309
OG0006121	Hydractinia|LOC130630580	Nematostella|LOC5514390
OG0006122	Hydractinia|LOC130622025	Nematostella|LOC5515543
OG0006123	Hydractinia|LOC130623665	Nematostella|LOC5502932
OG0006124	Hydractinia|LOC130623590	Nematostella|LOC116614423
OG0006125	Hydractinia|LOC130624208	Nematostella|LOC5516581
OG0006126	Hydractinia|LOC130623925	Nematostella|LOC5511066
OG0006127	Hydractinia|LOC130613075	Nematostella|LOC5510546
OG0006128	Hydractinia|LOC130662420	Nematostella|LOC5504076
OG0006130	Hydractinia|LOC130645314	Nematostella|LOC5502897
OG0006131	Hydractinia|LOC130644951	Nematostella|LOC5501467
OG0006132	Hydractinia|LOC130644397	Nematostella|LOC5509906
OG0006133	Hydractinia|LOC130645390	Nematostella|LOC5515463
OG0006134	Hydractinia|LOC130630449	Nematostella|LOC5518851
OG0006135	Hydractinia|LOC130631699	Nematostella|LOC5505639
OG0006136	Hydractinia|LOC130631783	Nematostella|LOC5514984
OG0006137	Hydractinia|LOC130631548	Nematostella|LOC5510183
OG0006138	Hydractinia|LOC130655108	Nematostella|LOC5501291
OG0006139	Hydractinia|LOC130654758	Nematostella|LOC5504984
OG0006140	Hydractinia|LOC130654756	Nematostella|LOC5522336
OG0006141	Hydractinia|LOC130654141	Nematostella|LOC5506059
OG0006142	Hydractinia|LOC130654759	Nematostella|LOC5522225
OG0006144	Hydractinia|LOC130613899	Nematostella|LOC5514108
OG0006145	Hydractinia|LOC130614655	Nematostella|LOC5521376
OG0006146	Hydractinia|LOC130621552	Nematostella|LOC5509696
OG0006147	Hydractinia|LOC130623881	Nematostella|LOC5512997
OG0006148	Hydractinia|LOC130645062	Nematostella|LOC116604161
OG0006149	Hydractinia|LOC130630550	Nematostella|LOC116614780
OG0006150	Hydractinia|LOC130629469	Nematostella|LOC5518238
OG0006151	Hydractinia|LOC130630375	Nematostella|LOC5510675
OG0006152	Hydractinia|LOC130630365	Nematostella|LOC5510909
OG0006153	Hydractinia|LOC130641763	Nematostella|LOC116604541
OG0006154	Hydractinia|LOC130641511	Nematostella|LOC5509852
OG0006155	Hydractinia|LOC130641240	Nematostella|LOC5518636
OG0006156	Hydractinia|LOC130641404	Nematostella|LOC5515490
OG0006158	Hydractinia|LOC130640903	Nematostella|LOC5504624
OG0006159	Hydractinia|LOC130640982	Nematostella|LOC5521856
OG0006160	Hydractinia|LOC130642013	Nematostella|LOC5517326
OG0006161	Hydractinia|LOC130641485	Nematostella|LOC5512746
OG0006162	Hydractinia|LOC130641358	Nematostella|LOC5515824
OG0006163	Hydractinia|LOC130642015	Nematostella|LOC5521150
OG0006164	Hydractinia|LOC130633510	Nematostella|LOC5509028
OG0006165	Hydractinia|LOC130647004	Nematostella|LOC5503034
OG0006166	Hydractinia|LOC130645086	Nematostella|LOC5510593
OG0006167	Hydractinia|LOC130647527	Nematostella|LOC5511214
OG0006168	Hydractinia|LOC130645790	Nematostella|LOC5517793
OG0006169	Hydractinia|LOC130633558	Nematostella|LOC5505999
OG0006170	Hydractinia|LOC130644162	Nematostella|LOC5503433
OG0006172	Hydractinia|LOC130645242	Nematostella|LOC5510442
OG0006173	Hydractinia|LOC130645759	Nematostella|LOC5509910
OG0006174	Hydractinia|LOC130645202	Nematostella|LOC5505115
OG0006175	Hydractinia|LOC130645193	Nematostella|LOC5501031
OG0006176	Hydractinia|LOC130645754	Nematostella|LOC5507478
OG0006177	Hydractinia|LOC130645192	Nematostella|LOC5503175
OG0006178	Hydractinia|LOC130644770	Nematostella|LOC5502636
OG0006179	Hydractinia|LOC130644772	Nematostella|LOC5511959
OG0006180	Hydractinia|LOC130644760	Nematostella|LOC5521040
OG0006181	Hydractinia|LOC130621910	Nematostella|LOC5505694
OG0006182	Hydractinia|LOC130622620	Nematostella|LOC5515602
OG0006183	Hydractinia|LOC130630334	Nematostella|LOC5517156
OG0006184	Hydractinia|LOC130629616	Nematostella|LOC5520509
OG0006185	Hydractinia|LOC130630542	Nematostella|LOC5517386
OG0006187	Hydractinia|LOC130630654	Nematostella|LOC5517414
OG0006188	Hydractinia|LOC130630652	Nematostella|LOC5521092
OG0006189	Hydractinia|LOC130630184	Nematostella|LOC5521664
OG0006190	Hydractinia|LOC130630185	Nematostella|LOC5520428
OG0006191	Hydractinia|LOC130629622	Nematostella|LOC5507512
OG0006192	Hydractinia|LOC130630538	Nematostella|LOC5516047
OG0006193	Hydractinia|LOC130654471	Nematostella|LOC5509872
OG0006194	Hydractinia|LOC130654146	Nematostella|LOC116604614
OG0006195	Hydractinia|LOC130653600	Nematostella|LOC116602029
OG0006196	Hydractinia|LOC130654217	Nematostella|LOC5522083
OG0006197	Hydractinia|LOC130654054	Nematostella|LOC5502348
OG0006198	Hydractinia|LOC130654314	Nematostella|LOC5509874
OG0006199	Hydractinia|LOC130628827	Nematostella|LOC5519970
OG0006200	Hydractinia|LOC130628578	Nematostella|LOC5502956
OG0006201	Hydractinia|LOC130613311	Nematostella|LOC5503225
OG0006203	Hydractinia|LOC130612432	Nematostella|LOC5515115
OG0006204	Hydractinia|LOC130656206	Nematostella|LOC5507856
OG0006205	Hydractinia|LOC130656656	Nematostella|LOC5511901
OG0006206	Hydractinia|LOC130657297	Nematostella|LOC5514883
OG0006207	Hydractinia|LOC130656669	Nematostella|LOC5520769
OG0006208	Hydractinia|LOC130656283	Nematostella|LOC5519007
OG0006209	Hydractinia|LOC130656282	Nematostella|LOC5513276
OG0006210	Hydractinia|LOC130649001	Nematostella|LOC5520557
OG0006211	Hydractinia|LOC130649533	Nematostella|LOC5509603
OG0006212	Hydractinia|LOC130649198	Nematostella|LOC5509534
OG0006213	Hydractinia|LOC130649039	Nematostella|LOC5503872
OG0006214	Hydractinia|LOC130648394	Nematostella|LOC5509535
OG0006215	Hydractinia|LOC130649651	Nematostella|LOC5515956
OG0006216	Hydractinia|LOC130649530	Nematostella|LOC5520555, Nematostella|LOC5520665
OG0006217	Hydractinia|LOC130621958	Nematostella|LOC5502529
OG0006219	Hydractinia|LOC130648987	Nematostella|LOC5502415
OG0006220	Hydractinia|LOC130648795	Nematostella|LOC5506397
OG0006221	Hydractinia|LOC130622275	Nematostella|LOC116614245
OG0006222	Hydractinia|LOC130641463	Nematostella|LOC5511225
OG0006223	Hydractinia|LOC130628819	Nematostella|LOC5509390
OG0006224	Hydractinia|LOC130658043	Nematostella|LOC116621125
OG0006225	Hydractinia|LOC130656401	Nematostella|LOC5514960
OG0006226	Hydractinia|LOC130629730	Nematostella|LOC5505759
OG0006227	Hydractinia|LOC130658033	Nematostella|LOC5516230
OG0006230	Hydractinia|LOC130641314, Hydractinia|LOC130644312	Nematostella|LOC5514163
OG0006231	Hydractinia|LOC130644304	Nematostella|LOC5517614
OG0006232	Hydractinia|LOC130641226	Nematostella|LOC5513055
OG0006233	Hydractinia|LOC130640765, Hydractinia|LOC130641140	Nematostella|LOC5518279
OG0006234	Hydractinia|LOC130657218	Nematostella|LOC5504183
OG0006235	Hydractinia|LOC130656498	Nematostella|LOC5514885
OG0006236	Hydractinia|LOC130656305	Nematostella|LOC5515998
OG0006237	Hydractinia|LOC130657594	Nematostella|LOC5518728
OG0006238	Hydractinia|LOC130656304	Nematostella|LOC5516005
OG0006239	Hydractinia|LOC130656508	Nematostella|LOC5507596
OG0006240	Hydractinia|LOC130656698	Nematostella|LOC5501939
OG0006241	Hydractinia|LOC130623701	Nematostella|LOC5513411
OG0006242	Hydractinia|LOC130623325	Nematostella|LOC5509303
OG0006243	Hydractinia|LOC130623859	Nematostella|LOC5509294
OG0006244	Hydractinia|LOC130623699	Nematostella|LOC5513128
OG0006245	Hydractinia|LOC130656644	Nematostella|LOC5500605
OG0006246	Hydractinia|LOC130657658	Nematostella|LOC5504085
OG0006247	Hydractinia|LOC130656514	Nematostella|LOC5520828
OG0006248	Hydractinia|LOC130657659	Nematostella|LOC5511838
OG0006249	Hydractinia|LOC130649487	Nematostella|LOC5505607
OG0006250	Hydractinia|LOC130648798	Nematostella|LOC5514953
OG0006251	Hydractinia|LOC130649418	Nematostella|LOC5510336
OG0006252	Hydractinia|LOC130648413	Nematostella|LOC5519781
OG0006253	Hydractinia|LOC130649103	Nematostella|LOC5509604
OG0006254	Hydractinia|LOC130649102	Nematostella|LOC5509658
OG0006255	Hydractinia|LOC130649473	Nematostella|LOC5506093
OG0006256	Hydractinia|LOC130630579	Nematostella|LOC5520369
OG0006257	Hydractinia|LOC130654768	Nematostella|LOC5498749
OG0006258	Hydractinia|LOC130654018	Nematostella|LOC5513528
OG0006259	Hydractinia|LOC130655005	Nematostella|LOC5506882
OG0006260	Hydractinia|LOC130655777	Nematostella|LOC5516443
OG0006261	Hydractinia|LOC130655009	Nematostella|LOC116614573
OG0006262	Hydractinia|LOC130624233	Nematostella|LOC5516531
OG0006263	Hydractinia|LOC130645531	Nematostella|LOC5501696
OG0006264	Hydractinia|LOC130645532	Nematostella|LOC5512844
OG0006265	Hydractinia|LOC130655324	Nematostella|LOC116620785
OG0006266	Hydractinia|LOC130655518	Nematostella|LOC5510250
OG0006267	Hydractinia|LOC130656080	Nematostella|LOC5515417
OG0006268	Hydractinia|LOC130653569	Nematostella|LOC5520802
OG0006269	Hydractinia|LOC130653578	Nematostella|LOC5513605
OG0006272	Hydractinia|LOC130624225	Nematostella|LOC116603361
OG0006273	Hydractinia|LOC130657733	Nematostella|LOC5516518
OG0006274	Hydractinia|LOC130624224	Nematostella|LOC116606599
OG0006275	Hydractinia|LOC130624220	Nematostella|LOC5511073
OG0006276	Hydractinia|LOC130657732	Nematostella|LOC5507308
OG0006277	Hydractinia|LOC130636836, Hydractinia|LOC130635597	Nematostella|LOC5517638
OG0006278	Hydractinia|LOC130621750	Nematostella|LOC5521224
OG0006280	Hydractinia|LOC130647388	Nematostella|LOC5502539
OG0006281	Hydractinia|LOC130647285	Nematostella|LOC5510402
OG0006282	Hydractinia|LOC130657054	Nematostella|LOC5512646
OG0006283	Hydractinia|LOC130655675	Nematostella|LOC5516511
OG0006284	Hydractinia|LOC130654417	Nematostella|LOC116618194
OG0006285	Hydractinia|LOC130654664	Nematostella|LOC5509505
OG0006286	Hydractinia|LOC130653946	Nematostella|LOC5513971
OG0006287	Hydractinia|LOC130655857	Nematostella|LOC5502613
OG0006288	Hydractinia|LOC130656039	Nematostella|LOC116608845
OG0006289	Hydractinia|LOC130656132	Nematostella|LOC5513040
OG0006290	Hydractinia|LOC130656445	Nematostella|LOC5507271
OG0006291	Hydractinia|LOC130656152	Nematostella|LOC5505050
OG0006292	Hydractinia|LOC130656155	Nematostella|LOC5514949
OG0006293	Hydractinia|LOC130612351, Hydractinia|LOC130662727	Nematostella|LOC5519903
OG0006294	Hydractinia|LOC130662539	Nematostella|LOC5504946
OG0006295	Hydractinia|LOC130612117	Nematostella|LOC5519318
OG0006296	Hydractinia|LOC130636745	Nematostella|LOC5502141
OG0006297	Hydractinia|LOC130636746	Nematostella|LOC5519885
OG0006298	Hydractinia|LOC130636743	Nematostella|LOC5502301
OG0006299	Hydractinia|LOC130636561	Nematostella|LOC5517272
OG0006300	Hydractinia|LOC130636371	Nematostella|LOC116619861
OG0006301	Hydractinia|LOC130635714	Nematostella|LOC5512408
OG0006302	Hydractinia|LOC130636368	Nematostella|LOC5522124
OG0006303	Hydractinia|LOC130644868	Nematostella|LOC5515083
OG0006304	Hydractinia|LOC130644869	Nematostella|LOC5510425
OG0006305	Hydractinia|LOC130622080	Nematostella|LOC5521620
OG0006306	Hydractinia|LOC130622740	Nematostella|LOC5505662
OG0006307	Hydractinia|LOC130621448	Nematostella|LOC5519264
OG0006308	Hydractinia|LOC130621109	Nematostella|LOC5512484
OG0006309	Hydractinia|LOC130621484	Nematostella|LOC5509091
OG0006310	Hydractinia|LOC130621956	Nematostella|LOC5515729
OG0006311	Hydractinia|LOC130647452	Nematostella|LOC5510642
OG0006312	Hydractinia|LOC130646540	Nematostella|LOC5505631
OG0006315	Hydractinia|LOC130645218	Nematostella|LOC5519390
OG0006316	Hydractinia|LOC130623310	Nematostella|LOC5509233
OG0006317	Hydractinia|LOC130623308	Nematostella|LOC5504237
OG0006318	Hydractinia|LOC130623700	Nematostella|LOC5508865
OG0006320	Hydractinia|LOC130623451	Nematostella|LOC116617838
OG0006321	Hydractinia|LOC130623950	Nematostella|LOC5502446, Nematostella|LOC5518569, Nematostella|LOC125573656
OG0006322	Hydractinia|LOC130622868	Nematostella|LOC5510956
OG0006323	Hydractinia|LOC130614058	Nematostella|LOC116618793
OG0006324	Hydractinia|LOC130613929	Nematostella|LOC5505873
OG0006325	Hydractinia|LOC130614059	Nematostella|LOC5513365
OG0006326	Hydractinia|LOC130613922	Nematostella|LOC5500935
OG0006327	Hydractinia|LOC130613915	Nematostella|LOC5508064
OG0006328	Hydractinia|LOC130614574	Nematostella|LOC5510544
OG0006329	Hydractinia|LOC130623243	Nematostella|LOC5521247
OG0006330	Hydractinia|LOC130622893	Nematostella|LOC5511601
OG0006331	Hydractinia|LOC130622891	Nematostella|LOC5516583
OG0006332	Hydractinia|LOC130624310	Nematostella|LOC5511311
OG0006333	Hydractinia|LOC130623387	Nematostella|LOC5519568
OG0006334	Hydractinia|LOC130624344	Nematostella|LOC5507565
OG0006335	Hydractinia|LOC130621869	Nematostella|LOC116610742
OG0006336	Hydractinia|LOC130621870	Nematostella|LOC5515530
OG0006337	Hydractinia|LOC130621521	Nematostella|LOC5508944
OG0006338	Hydractinia|LOC130624375	Nematostella|LOC5513758
OG0006339	Hydractinia|LOC130623769	Nematostella|LOC5509321
OG0006340	Hydractinia|LOC130623435	Nematostella|LOC5516115
OG0006341	Hydractinia|LOC130623292	Nematostella|LOC5512941
OG0006342	Hydractinia|LOC130624950	Nematostella|LOC5507691
OG0006343	Hydractinia|LOC130625481	Nematostella|LOC5516359
OG0006344	Hydractinia|LOC130614589	Nematostella|LOC5513412
OG0006346	Hydractinia|LOC130641749	Nematostella|LOC5501076
OG0006347	Hydractinia|LOC130641751	Nematostella|LOC5517898
OG0006348	Hydractinia|LOC130641755	Nematostella|LOC5521779
OG0006349	Hydractinia|LOC130641752	Nematostella|LOC5521781
OG0006350	Hydractinia|LOC130641866	Nematostella|LOC5510900, Nematostella|LOC5510903
OG0006351	Hydractinia|LOC130624309	Nematostella|LOC5511566
OG0006352	Hydractinia|LOC130647629	Nematostella|LOC116614205
OG0006353	Hydractinia|LOC130630659	Nematostella|LOC5509830
OG0006354	Hydractinia|LOC130630273	Nematostella|LOC5512611
OG0006355	Hydractinia|LOC130630642	Nematostella|LOC5520299
OG0006356	Hydractinia|LOC130630539	Nematostella|LOC5519055
OG0006357	Hydractinia|LOC130645515	Nematostella|LOC5503159
OG0006358	Hydractinia|LOC130645522	Nematostella|LOC5515025
OG0006359	Hydractinia|LOC130645517	Nematostella|LOC5510548
OG0006360	Hydractinia|LOC130645510	Nematostella|LOC5510386
OG0006361	Hydractinia|LOC130654262	Nematostella|LOC5513930
OG0006362	Hydractinia|LOC130654268	Nematostella|LOC5504019
OG0006363	Hydractinia|LOC130654120	Nematostella|LOC5519687
OG0006364	Hydractinia|LOC130654529	Nematostella|LOC5508845
OG0006365	Hydractinia|LOC130654267	Nematostella|LOC5506596
OG0006366	Hydractinia|LOC130654266	Nematostella|LOC5519712
OG0006367	Hydractinia|LOC130654121	Nematostella|LOC5511049
OG0006368	Hydractinia|LOC130635037	Nematostella|LOC5517656
OG0006369	Hydractinia|LOC130635053	Nematostella|LOC5517666
OG0006370	Hydractinia|LOC130636581, Hydractinia|LOC130635394	Nematostella|LOC5520355
OG0006371	Hydractinia|LOC130648714	Nematostella|LOC5511708
OG0006372	Hydractinia|LOC130648937	Nematostella|LOC5509649
OG0006373	Hydractinia|LOC130648840	Nematostella|LOC5501797
OG0006374	Hydractinia|LOC130648938	Nematostella|LOC5505614
OG0006375	Hydractinia|LOC130648715	Nematostella|LOC5502885
OG0006376	Hydractinia|LOC130649365	Nematostella|LOC5511707
OG0006377	Hydractinia|LOC130649046	Nematostella|LOC5520945
OG0006378	Hydractinia|LOC130648806	Nematostella|LOC5509544
OG0006379	Hydractinia|LOC130629715	Nematostella|LOC5519100
OG0006380	Hydractinia|LOC130630544	Nematostella|LOC5506263
OG0006381	Hydractinia|LOC130655947	Nematostella|LOC5517100
OG0006382	Hydractinia|LOC130654957	Nematostella|LOC5515253
OG0006383	Hydractinia|LOC130641740	Nematostella|LOC5514790
OG0006384	Hydractinia|LOC130641296	Nematostella|LOC5521239
OG0006385	Hydractinia|LOC130649117	Nematostella|LOC5511701
OG0006386	Hydractinia|LOC130648407	Nematostella|LOC5508297
OG0006388	Hydractinia|LOC130649248	Nematostella|LOC5514504
OG0006389	Hydractinia|LOC130648755	Nematostella|LOC5520252
OG0006390	Hydractinia|LOC130625985	Nematostella|LOC116612487
OG0006391	Hydractinia|LOC130626123	Nematostella|LOC5509805
OG0006392	Hydractinia|LOC130626146	Nematostella|LOC5502220
OG0006393	Hydractinia|LOC130625629, Hydractinia|LOC130626042	Nematostella|LOC5502741
OG0006394	Hydractinia|LOC130623747	Nematostella|LOC5522236
OG0006395	Hydractinia|LOC130644751	Nematostella|LOC5522005
OG0006396	Hydractinia|LOC130644752	Nematostella|LOC116609452
OG0006397	Hydractinia|LOC130657544	Nematostella|LOC5520816
OG0006398	Hydractinia|LOC130656867	Nematostella|LOC5509733
OG0006399	Hydractinia|LOC130656537	Nematostella|LOC5506160
OG0006400	Hydractinia|LOC130656620	Nematostella|LOC5511931
OG0006401	Hydractinia|LOC130656420	Nematostella|LOC5517056
OG0006402	Hydractinia|LOC130654538	Nematostella|LOC5517053
OG0006403	Hydractinia|LOC130654819	Nematostella|LOC5512432
OG0006404	Hydractinia|LOC130655671	Nematostella|LOC5519186
OG0006405	Hydractinia|LOC130655672	Nematostella|LOC5513604
OG0006408	Hydractinia|LOC130613246	Nematostella|LOC5510481
OG0006410	Hydractinia|LOC130647155	Nematostella|LOC5504189
OG0006411	Hydractinia|LOC130647154	Nematostella|LOC5508119
OG0006412	Hydractinia|LOC130656411	Nematostella|LOC5514923
OG0006413	Hydractinia|LOC130656413	Nematostella|LOC5514965
OG0006414	Hydractinia|LOC130657678	Nematostella|LOC5507872
OG0006415	Hydractinia|LOC130644847	Nematostella|LOC5512669
OG0006416	Hydractinia|LOC130623736	Nematostella|LOC5507553
OG0006417	Hydractinia|LOC130622877	Nematostella|LOC5501167
OG0006418	Hydractinia|LOC130629163	Nematostella|LOC5512581
OG0006419	Hydractinia|LOC130629164	Nematostella|LOC5507764
OG0006420	Hydractinia|LOC130622751	Nematostella|LOC5514810
OG0006421	Hydractinia|LOC130621743	Nematostella|LOC5521260
OG0006422	Hydractinia|LOC130621759	Nematostella|LOC5517873
OG0006423	Hydractinia|LOC130621564	Nematostella|LOC5508495
OG0006424	Hydractinia|LOC130622357	Nematostella|LOC5508762
OG0006425	Hydractinia|LOC130622779	Nematostella|LOC5517870
OG0006426	Hydractinia|LOC130614569	Nematostella|LOC5510863
OG0006427	Hydractinia|LOC130628857	Nematostella|LOC116611335
OG0006428	Hydractinia|LOC130636620	Nematostella|LOC5510249
OG0006429	Hydractinia|LOC130658035	Nematostella|LOC5506318
OG0006430	Hydractinia|LOC130657623	Nematostella|LOC5511976
OG0006431	Hydractinia|LOC130657642	Nematostella|LOC5512990
OG0006432	Hydractinia|LOC130642092	Nematostella|LOC5522188
OG0006433	Hydractinia|LOC130641089	Nematostella|LOC5512592
OG0006434	Hydractinia|LOC130641812	Nematostella|LOC116620826
OG0006435	Hydractinia|LOC130641026	Nematostella|LOC5512073
OG0006436	Hydractinia|LOC130614389	Nematostella|LOC5506280
OG0006437	Hydractinia|LOC130641816	Nematostella|LOC5503973
OG0006438	Hydractinia|LOC130613878	Nematostella|LOC5513380
OG0006439	Hydractinia|LOC130614379	Nematostella|LOC5512242
OG0006440	Hydractinia|LOC130614315	Nematostella|LOC5502651
OG0006441	Hydractinia|LOC130614388	Nematostella|LOC5512255
OG0006442	Hydractinia|LOC130613877	Nematostella|LOC5506846
OG0006443	Hydractinia|LOC130647579	Nematostella|LOC5518355
OG0006444	Hydractinia|LOC130647020	Nematostella|LOC5517545
OG0006445	Hydractinia|LOC130646988	Nematostella|LOC5511777
OG0006446	Hydractinia|LOC130647022	Nematostella|LOC116611784
OG0006447	Hydractinia|LOC130622862	Nematostella|LOC5507541
OG0006448	Hydractinia|LOC130623677	Nematostella|LOC5502387
OG0006449	Hydractinia|LOC130623922	Nematostella|LOC5521420
OG0006450	Hydractinia|LOC130623340	Nematostella|LOC5516520
OG0006451	Hydractinia|LOC130633839	Nematostella|LOC116601459
OG0006452	Hydractinia|LOC130655789	Nematostella|LOC5500914
OG0006453	Hydractinia|LOC130655785	Nematostella|LOC5518892
OG0006454	Hydractinia|LOC130656050	Nematostella|LOC5501086
OG0006455	Hydractinia|LOC130621142	Nematostella|LOC5521147
OG0006456	Hydractinia|LOC130622280	Nematostella|LOC5505666
OG0006457	Hydractinia|LOC130624327	Nematostella|LOC116614807
OG0006459	Hydractinia|LOC130614508	Nematostella|LOC5521470
OG0006460	Hydractinia|LOC130613841	Nematostella|LOC5508154
OG0006461	Hydractinia|LOC130642090	Nematostella|LOC5512775
OG0006462	Hydractinia|LOC130613352	Nematostella|LOC5501706
OG0006463	Hydractinia|LOC130613342	Nematostella|LOC5519998
OG0006464	Hydractinia|LOC130662378	Nematostella|LOC5515874
OG0006465	Hydractinia|LOC130662375	Nematostella|LOC5503019
OG0006466	Hydractinia|LOC130623321	Nematostella|LOC5511599
OG0006467	Hydractinia|LOC130623609	Nematostella|LOC5512878
OG0006468	Hydractinia|LOC130623475	Nematostella|LOC5515397
OG0006469	Hydractinia|LOC130624013	Nematostella|LOC5519912
OG0006470	Hydractinia|LOC130623603	Nematostella|LOC5512880
OG0006471	Hydractinia|LOC130614387	Nematostella|LOC116618794
OG0006472	Hydractinia|LOC130614382	Nematostella|LOC5513417
OG0006474	Hydractinia|LOC130613269	Nematostella|LOC116615067
OG0006475	Hydractinia|LOC130612206	Nematostella|LOC5500977, Nematostella|LOC5507066
OG0006476	Hydractinia|LOC130613268	Nematostella|LOC5507239
OG0006477	Hydractinia|LOC130662354	Nematostella|LOC5515177
OG0006478	Hydractinia|LOC130630617	Nematostella|LOC5507601
OG0006479	Hydractinia|LOC130630406	Nematostella|LOC5517122
OG0006480	Hydractinia|LOC130648064, Hydractinia|LOC130649961	Nematostella|LOC5505637
OG0006481	Hydractinia|LOC130624282	Nematostella|LOC5512872
OG0006482	Hydractinia|LOC130636251	Nematostella|LOC5502890
OG0006483	Hydractinia|LOC130636261	Nematostella|LOC5502184
OG0006484	Hydractinia|LOC130636266	Nematostella|LOC116619870
OG0006485	Hydractinia|LOC130636277	Nematostella|LOC5511004
OG0006486	Hydractinia|LOC130625031	Nematostella|LOC5520390
OG0006487	Hydractinia|LOC130625032	Nematostella|LOC116618996
OG0006488	Hydractinia|LOC130625030	Nematostella|LOC5520467
OG0006489	Hydractinia|LOC130629258	Nematostella|LOC5505223
OG0006490	Hydractinia|LOC130645381	Nematostella|LOC5520978
OG0006491	Hydractinia|LOC130645604	Nematostella|LOC5520403
OG0006492	Hydractinia|LOC130621731	Nematostella|LOC5521183
OG0006493	Hydractinia|LOC130622310	Nematostella|LOC5521174
OG0006496	Hydractinia|LOC130647497	Nematostella|LOC5504412
OG0006497	Hydractinia|LOC130622748	Nematostella|LOC5517487
OG0006498	Hydractinia|LOC130648946	Nematostella|LOC5520619
OG0006499	Hydractinia|LOC130648677	Nematostella|LOC5513507
OG0006500	Hydractinia|LOC130648680	Nematostella|LOC5502159
OG0006501	Hydractinia|LOC130648682	Nematostella|LOC5504083
OG0006502	Hydractinia|LOC130645361	Nematostella|LOC5505961
OG0006504	Hydractinia|LOC130630479	Nematostella|LOC5517427
OG0006505	Hydractinia|LOC130630478	Nematostella|LOC5514462
OG0006506	Hydractinia|LOC130630529	Nematostella|LOC5517485
OG0006507	Hydractinia|LOC130629654, Hydractinia|LOC130629685	Nematostella|LOC5502423
OG0006508	Hydractinia|LOC130654855	Nematostella|LOC5522376
OG0006509	Hydractinia|LOC130656007	Nematostella|LOC5514794
OG0006510	Hydractinia|LOC130655919	Nematostella|LOC5519612
OG0006512	Hydractinia|LOC130648722	Nematostella|LOC5511743
OG0006514	Hydractinia|LOC130630604	Nematostella|LOC5509837
OG0006515	Hydractinia|LOC130657703	Nematostella|LOC5513668
OG0006516	Hydractinia|LOC130657063	Nematostella|LOC5518881
OG0006517	Hydractinia|LOC130657705	Nematostella|LOC5506505
OG0006518	Hydractinia|LOC130641497	Nematostella|LOC5504242
OG0006519	Hydractinia|LOC130640651	Nematostella|LOC5521242
OG0006520	Hydractinia|LOC130642145	Nematostella|LOC5521717
OG0006521	Hydractinia|LOC130614608	Nematostella|LOC5519462
OG0006522	Hydractinia|LOC130657927	Nematostella|LOC5503049
OG0006525	Hydractinia|LOC130648980	Nematostella|LOC5520180
OG0006526	Hydractinia|LOC130656502	Nematostella|LOC5508012
OG0006527	Hydractinia|LOC130656490	Nematostella|LOC5520728
OG0006528	Hydractinia|LOC130656491	Nematostella|LOC5516057
OG0006529	Hydractinia|LOC130656503	Nematostella|LOC5502962
OG0006530	Hydractinia|LOC130647043	Nematostella|LOC5518430
OG0006531	Hydractinia|LOC130632013	Nematostella|LOC5517613
OG0006532	Hydractinia|LOC130645127	Nematostella|LOC5509868
OG0006533	Hydractinia|LOC130645123	Nematostella|LOC5513908
OG0006534	Hydractinia|LOC130645284	Nematostella|LOC5507106
OG0006536	Hydractinia|LOC130648869	Nematostella|LOC5520204
OG0006537	Hydractinia|LOC130648864	Nematostella|LOC5516873
OG0006539	Hydractinia|LOC130654718	Nematostella|LOC5514201
OG0006540	Hydractinia|LOC130654717	Nematostella|LOC5510022
OG0006541	Hydractinia|LOC130653867	Nematostella|LOC5520321
OG0006542	Hydractinia|LOC130656212	Nematostella|LOC5504311
OG0006543	Hydractinia|LOC130656213	Nematostella|LOC5514954
OG0006544	Hydractinia|LOC130628766	Nematostella|LOC5506487
OG0006545	Hydractinia|LOC130636296	Nematostella|LOC5516004
OG0006546	Hydractinia|LOC130614832	Nematostella|LOC5503476
OG0006547	Hydractinia|LOC130613888	Nematostella|LOC116604379
OG0006548	Hydractinia|LOC130614383	Nematostella|LOC5507267
OG0006549	Hydractinia|LOC130613893	Nematostella|LOC5510882
OG0006550	Hydractinia|LOC130614878	Nematostella|LOC5506848
OG0006551	Hydractinia|LOC130654884	Nematostella|LOC5510787
OG0006552	Hydractinia|LOC130654887	Nematostella|LOC5508260
OG0006553	Hydractinia|LOC130655279	Nematostella|LOC5510614
OG0006554	Hydractinia|LOC130654727	Nematostella|LOC5502149
OG0006556	Hydractinia|LOC130641771	Nematostella|LOC116604507
OG0006557	Hydractinia|LOC130625292	Nematostella|LOC5510684
OG0006558	Hydractinia|LOC130641671	Nematostella|LOC5513871
OG0006559	Hydractinia|LOC130622058	Nematostella|LOC116604499
OG0006560	Hydractinia|LOC130622464	Nematostella|LOC5521322
OG0006561	Hydractinia|LOC130621130	Nematostella|LOC5509428
OG0006562	Hydractinia|LOC130621592	Nematostella|LOC5514041
OG0006564	Hydractinia|LOC130613274	Nematostella|LOC5516198
OG0006565	Hydractinia|LOC130612113	Nematostella|LOC5509782
OG0006567	Hydractinia|LOC130613175	Nematostella|LOC5503784
