Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_HydraProteins
OG0005595	Hydractinia|LOC130647925	Hydra|LOC100201400
OG0005596	Hydractinia|LOC130647697	Hydra|LOC100198643
OG0005597	Hydractinia|LOC130647098	Hydra|LOC101238746
OG0005598	Hydractinia|LOC130647698	Hydra|LOC100203774
OG0005599	Hydractinia|LOC130647705	Hydra|LOC101237785
OG0005600	Hydractinia|LOC130647411	Hydra|LOC100199257
OG0005601	Hydractinia|LOC130647767	Hydra|LOC101237646
OG0005602	Hydractinia|LOC130648718	Hydra|LOC100207681
OG0005603	Hydractinia|LOC130640957	Hydra|LOC100200760
OG0005604	Hydractinia|LOC130640956	Hydra|LOC100209080
OG0005605	Hydractinia|LOC130641625	Hydra|LOC100213646
OG0005606	Hydractinia|LOC130641675	Hydra|LOC100201295
OG0005607	Hydractinia|LOC130662673	Hydra|LOC100203456
OG0005608	Hydractinia|LOC130641767	Hydra|LOC100198642
OG0005609	Hydractinia|LOC130640958	Hydra|LOC100211235
OG0005610	Hydractinia|LOC130641329	Hydra|LOC100204705
OG0005611	Hydractinia|LOC130642108	Hydra|LOC100198377
OG0005612	Hydractinia|LOC130640884	Hydra|LOC100215822
OG0005613	Hydractinia|LOC130641678	Hydra|LOC100208727
OG0005614	Hydractinia|LOC130629295	Hydra|LOC100199875
OG0005615	Hydractinia|LOC130628528	Hydra|LOC100213798
OG0005616	Hydractinia|LOC130628603	Hydra|LOC100197217
OG0005617	Hydractinia|LOC130628544	Hydra|LOC100212893
OG0005618	Hydractinia|LOC130629102	Hydra|LOC100201337
OG0005619	Hydractinia|LOC130624078	Hydra|LOC100209463
OG0005620	Hydractinia|LOC130623809	Hydra|LOC124816641
OG0005621	Hydractinia|LOC130623807	Hydra|LOC101241110
OG0005622	Hydractinia|LOC130623353	piwil1
OG0005623	Hydractinia|LOC130654418	Hydra|LOC100204978
OG0005624	Hydractinia|LOC130655633	Hydra|LOC100204457
OG0005625	Hydractinia|LOC130655969	Hydra|LOC100211180
OG0005626	Hydractinia|LOC130654142	Hydra|LOC100214624
OG0005627	Hydractinia|LOC130645045	lgr
OG0005628	Hydractinia|LOC130644724	Hydra|LOC100205434
OG0005629	Hydractinia|LOC130622172	Hydra|LOC100214677
OG0005630	Hydractinia|LOC130621757	Hydra|LOC100198502
OG0005631	Hydractinia|LOC130621226	Hydra|LOC100200226
OG0005632	Hydractinia|LOC130621623	Hydra|LOC100210186
OG0005633	Hydractinia|LOC130621737	Hydra|LOC100200352
OG0005634	Hydractinia|LOC130645303	Hydra|LOC100200095
OG0005635	Hydractinia|LOC130644798	Hydra|LOC101237622
OG0005636	Hydractinia|LOC130644596	Hydra|LOC101237979
OG0005637	Hydractinia|LOC130644383	Hydra|LOC100207031
OG0005638	Hydractinia|LOC130645378	Hydra|LOC100206258
OG0005639	Hydractinia|LOC130645374	Hydra|LOC100215772
OG0005640	Hydractinia|LOC130645036	Hydra|LOC100214475
OG0005641	Hydractinia|LOC130657691	Hydra|LOC100198859
OG0005642	Hydractinia|LOC130656898, Hydractinia|LOC130656989	Hydra|LOC100213429
OG0005643	Hydractinia|LOC130656335	Hydra|LOC100214324
OG0005644	Hydractinia|LOC130657816	Hydra|LOC100214171
OG0005645	Hydractinia|LOC130657245	Hydra|LOC100214280
OG0005646	Hydractinia|LOC130657621	Hydra|LOC100200493
OG0005647	Hydractinia|LOC130656119	Hydra|LOC100214681
OG0005649	Hydractinia|LOC130656163	Hydra|LOC124811451
OG0005650	Hydractinia|LOC130656529	Hydra|LOC100199161
OG0005651	Hydractinia|LOC130657972	Hydra|LOC100204966
OG0005652	Hydractinia|LOC130656980	Hydra|LOC100202254
OG0005653	Hydractinia|LOC130657964	Hydra|LOC101238372
OG0005654	Hydractinia|LOC130656632	Hydra|LOC101239518
OG0005655	Hydractinia|LOC130656628	Hydra|LOC100205037
OG0005656	Hydractinia|LOC130657989	Hydra|LOC100208831
OG0005657	Hydractinia|LOC130662421	Hydra|LOC100213921
OG0005659	Hydractinia|LOC130662410	Hydra|LOC100206578
OG0005660	Hydractinia|LOC130612530	Hydra|LOC100209908
OG0005661	Hydractinia|LOC130662408	Hydra|LOC100205217
OG0005663	Hydractinia|LOC130641601	Hydra|LOC100211738
OG0005664	Hydractinia|LOC130641584	Hydra|LOC100213341
OG0005665	Hydractinia|LOC130641607	Hydra|LOC100214875
OG0005666	Hydractinia|LOC130641260	Hydra|LOC100205052
OG0005667	Hydractinia|LOC130641573	Hydra|LOC100200164
OG0005668	Hydractinia|LOC130641263	Hydra|LOC105844441
OG0005669	Hydractinia|LOC130641906	Hydra|LOC100203283
OG0005670	Hydractinia|LOC130649217	Hydra|LOC100200909
OG0005671	Hydractinia|LOC130649216	Hydra|LOC100199673
OG0005672	Hydractinia|LOC130649593	Hydra|LOC100214454
OG0005673	Hydractinia|LOC130648765	Hydra|LOC100207369
OG0005674	Hydractinia|LOC130648953	Hydra|LOC100204679
OG0005675	Hydractinia|LOC130649474	Hydra|LOC100197501
OG0005676	Hydractinia|LOC130656814	Hydra|LOC105845197
OG0005677	Hydractinia|LOC130641517	Hydra|LOC100208284
OG0005678	Hydractinia|LOC130641316	Hydra|LOC100203441
OG0005679	Hydractinia|LOC130640845	Hydra|LOC100204981
OG0005680	Hydractinia|LOC130645365	Hydra|LOC100206342
OG0005681	Hydractinia|LOC130645296	Hydra|LOC100210504
OG0005682	Hydractinia|LOC130654173	Hydra|LOC100211917
OG0005683	Hydractinia|LOC130630257	Hydra|LOC100210556
OG0005684	Hydractinia|LOC130629537, Hydractinia|LOC130629809, Hydractinia|LOC130629501	Hydra|LOC100207802
OG0005685	Hydractinia|LOC130630025	Hydra|LOC100210228
OG0005686	Hydractinia|LOC130630530	Hydra|LOC100209059
OG0005687	Hydractinia|LOC130630434	Hydra|LOC100210208
OG0005688	Hydractinia|LOC130629465	Hydra|LOC100198300
OG0005690	Hydractinia|LOC130648850	Hydra|LOC100211447
OG0005691	Hydractinia|LOC130622408	Hydra|LOC100199855
OG0005692	Hydractinia|LOC130622409	Hydra|LOC100213904
OG0005693	Hydractinia|LOC130622413	Hydra|LOC101234869
OG0005694	Hydractinia|LOC130648393	Hydra|LOC100215391
OG0005695	Hydractinia|LOC130649422	Hydra|LOC100210588
OG0005696	Hydractinia|LOC130649610	Hydra|LOC100207559
OG0005697	Hydractinia|LOC130648809	Hydra|LOC100206017
OG0005699	Hydractinia|LOC130649421	Hydra|LOC100204626
OG0005700	Hydractinia|LOC130648824	Hydra|LOC100197944
OG0005701	Hydractinia|LOC130644271	Hydra|LOC100204155
OG0005702	Hydractinia|LOC130644627	Hydra|LOC100207279
OG0005703	Hydractinia|LOC130630435	Hydra|LOC105847501
OG0005704	Hydractinia|LOC130645542	Hydra|LOC100212697
OG0005705	Hydractinia|LOC130640859	Hydra|LOC100204654
OG0005706	Hydractinia|LOC130644359	Hydra|LOC100199979
OG0005707	Hydractinia|LOC130645748	Hydra|LOC100212013
OG0005708	Hydractinia|LOC130644776	Hydra|LOC105847954
OG0005709	Hydractinia|LOC130644763	Hydra|LOC100201982
OG0005710	Hydractinia|LOC130645277	Hydra|LOC100203785
OG0005712	Hydractinia|LOC130644612	Hydra|LOC101235941
OG0005714	Hydractinia|LOC130648982	Hydra|LOC100214470
OG0005715	Hydractinia|LOC130649220	Hydra|LOC100211063
OG0005716	Hydractinia|LOC130648847	Hydra|LOC100199319
OG0005717	Hydractinia|LOC130657154	Hydra|LOC100204113
OG0005718	Hydractinia|LOC130656249	Hydra|LOC101238547
OG0005719	Hydractinia|LOC130656340	Hydra|LOC100199341
OG0005720	Hydractinia|LOC130656604	Hydra|LOC100214569
OG0005722	Hydractinia|LOC130645872	Hydra|LOC100213141
OG0005723	Hydractinia|LOC130646625	Hydra|LOC100205226
OG0005724	Hydractinia|LOC130646345	Hydra|LOC100211830
OG0005725	Hydractinia|LOC130637091, Hydractinia|LOC130635816	Hydra|LOC101240632
OG0005726	Hydractinia|LOC130646409	Hydra|LOC101236972
OG0005727	Hydractinia|LOC130644995	Hydra|LOC100202235
OG0005728	Hydractinia|LOC130644211	Hydra|LOC105843462
OG0005729	Hydractinia|LOC130623710	Hydra|LOC105845591
OG0005731	Hydractinia|LOC130646204, Hydractinia|LOC130644210	Hydra|LOC100199068
OG0005732	Hydractinia|LOC130644180, Hydractinia|LOC130646179	Hydra|LOC100204896, Hydra|LOC100205577
OG0005733	Hydractinia|LOC130630236	Hydra|LOC100203453
OG0005734	Hydractinia|LOC130630235	Hydra|LOC101239048
OG0005735	Hydractinia|LOC130629458	Hydra|LOC101240001
OG0005736	Hydractinia|LOC130630316	Hydra|LOC100215541
OG0005737	Hydractinia|LOC130629460	Hydra|LOC105848279, Hydra|LOC105848285, Hydra|LOC101238649
OG0005738	Hydractinia|LOC130629462	Hydra|LOC100202153
OG0005740	Hydractinia|LOC130647849	Hydra|LOC101241310
OG0005741	Hydractinia|LOC130640001	Hydra|LOC100213683
OG0005742	Hydractinia|LOC130639916, Hydractinia|LOC130642839	Hydra|LOC100207552
OG0005743	Hydractinia|LOC130643069	Hydra|LOC100199759
OG0005744	Hydractinia|LOC130641711	Hydra|LOC100200309
OG0005745	Hydractinia|LOC130641863	Hydra|LOC100204239
OG0005746	Hydractinia|LOC130641861	Hydra|LOC101236651
OG0005747	Hydractinia|LOC130645354	Hydra|LOC100210985
OG0005748	Hydractinia|LOC130645638	Hydra|LOC101239314
OG0005749	Hydractinia|LOC130645072	Hydra|LOC100201078
OG0005750	Hydractinia|LOC130641252	Hydra|LOC100207336
OG0005751	Hydractinia|LOC130641255	Hydra|LOC100198542
OG0005752	Hydractinia|LOC130641253	Hydra|LOC100214037
OG0005754	Hydractinia|LOC130641571	Hydra|LOC100198795
OG0005755	Hydractinia|LOC130641229	Hydra|LOC100201234
OG0005756	Hydractinia|LOC130641080	Hydra|LOC100201765
OG0005757	Hydractinia|LOC130640683	Hydra|LOC124813210
OG0005759	Hydractinia|LOC130622657	Hydra|LOC100205648
OG0005760	Hydractinia|LOC130621967	Hydra|LOC100210937
OG0005761	Hydractinia|LOC130647919	Hydra|LOC100211087
OG0005762	Hydractinia|LOC130647921	Hydra|LOC105843531
OG0005763	Hydractinia|LOC130647396	Hydra|LOC101236545
OG0005764	Hydractinia|LOC130647402	Hydra|LOC101236349
OG0005765	Hydractinia|LOC130647439	Hydra|LOC100202852
OG0005766	Hydractinia|LOC130647404	Hydra|LOC100199802
OG0005767	Hydractinia|LOC130647915	Hydra|LOC101235772
OG0005768	Hydractinia|LOC130646994	Hydra|LOC101235342
OG0005769	Hydractinia|LOC130647441	Hydra|LOC100207039
OG0005770	Hydractinia|LOC130647021	Hydra|LOC100203884
OG0005771	Hydractinia|LOC130647908	Hydra|LOC100207686
OG0005772	Hydractinia|LOC130646955	Hydra|LOC100205379
OG0005773	Hydractinia|LOC130646968	Hydra|LOC105844489
OG0005774	Hydractinia|LOC130648837	Hydra|LOC100211838
OG0005775	Hydractinia|LOC130614842	Hydra|LOC101238976
OG0005776	Hydractinia|LOC130614159	Hydra|LOC101234826
OG0005777	Hydractinia|LOC130628950	Hydra|LOC105847316, Hydra|LOC100209021
OG0005778	Hydractinia|LOC130613952	Hydra|LOC100206486
OG0005779	Hydractinia|LOC130613954	Hydra|LOC100206981
OG0005780	Hydractinia|LOC130613698	Hydra|LOC100211771
OG0005781	Hydractinia|LOC130614162	Hydra|LOC100209020
OG0005782	Hydractinia|LOC130645189	Hydra|LOC101236291, Hydra|LOC101238636
OG0005783	Hydractinia|LOC130613836	Hydra|LOC100199325
OG0005784	Hydractinia|LOC130614619	Hydra|LOC100197674
OG0005785	Hydractinia|LOC130644775	Hydra|LOC124816377
OG0005786	Hydractinia|LOC130614626	Hydra|LOC100215239
OG0005787	Hydractinia|LOC130614800	Hydra|LOC100211968
OG0005788	Hydractinia|LOC130636643	Hydra|LOC100197588
OG0005789	Hydractinia|LOC130614441	Hydra|LOC100204411
OG0005790	Hydractinia|LOC130614038	Hydra|LOC100208547
OG0005791	Hydractinia|LOC130614334	Hydra|LOC100213166
OG0005792	Hydractinia|LOC130614345	Hydra|LOC101239277
OG0005793	Hydractinia|LOC130614476	Hydra|LOC101239697
OG0005794	Hydractinia|LOC130614008	Hydra|LOC100199617
OG0005795	Hydractinia|LOC130614856	Hydra|LOC100205615
OG0005796	Hydractinia|LOC130662280	Hydra|LOC100208997
OG0005799	Hydractinia|LOC130662659	Hydra|LOC100197762
OG0005802	Hydractinia|LOC130628755	Hydra|LOC100214544
OG0005803	Hydractinia|LOC130628756	Hydra|LOC101234824
OG0005804	Hydractinia|LOC130623568	Hydra|LOC100203035
OG0005805	Hydractinia|LOC130622860	Hydra|LOC100211211
OG0005806	Hydractinia|LOC130624194	Hydra|LOC101239976, Hydra|LOC100200656
OG0005807	Hydractinia|LOC130623728	Hydra|LOC100199849
OG0005808	Hydractinia|LOC130623725	Hydra|LOC100206096
OG0005809	Hydractinia|LOC130623727	Hydra|LOC100203914
OG0005810	Hydractinia|LOC130625816	Hydra|LOC100210201
OG0005811	Hydractinia|LOC130625110	Hydra|LOC124819284
OG0005812	Hydractinia|LOC130626171	Hydra|LOC100212342
OG0005813	Hydractinia|LOC130625660	Hydra|LOC100215311
OG0005814	Hydractinia|LOC130625363	Hydra|LOC100206014
OG0005815	Hydractinia|LOC130623908	Hydra|LOC100210231
OG0005816	Hydractinia|LOC130624112	Hydra|LOC100201326
OG0005817	Hydractinia|LOC130649507	Hydra|LOC100210875
OG0005818	Hydractinia|LOC130648896	Hydra|LOC100205695
OG0005821	Hydractinia|LOC130649095, Hydractinia|LOC130649256	Hydra|LOC100211697, Hydra|LOC105846237
OG0005822	Hydractinia|LOC130656353	Hydra|LOC100203646
OG0005823	Hydractinia|LOC130656350	Hydra|LOC100207375
OG0005824	Hydractinia|LOC130656346	Hydra|LOC100205438
OG0005825	Hydractinia|LOC130656396	Hydra|LOC100202750
OG0005827	Hydractinia|LOC130646950	Hydra|LOC100212617
OG0005828	Hydractinia|LOC130647471	Hydra|LOC100209939
OG0005829	Hydractinia|LOC130647010	Hydra|LOC100215902
OG0005830	Hydractinia|LOC130647935	Hydra|LOC105844905
OG0005831	Hydractinia|LOC130647623	Hydra|LOC100203261
OG0005832	Hydractinia|LOC130647189	Hydra|LOC100215473
OG0005833	Hydractinia|LOC130647830	Hydra|LOC100198204
OG0005834	Hydractinia|LOC130647318, Hydractinia|LOC130648125	Hydra|LOC100209555
OG0005835	Hydractinia|LOC130647374	Hydra|LOC100197122
OG0005836	Hydractinia|LOC130641680	Hydra|LOC100202285
OG0005837	Hydractinia|LOC130641887	Hydra|LOC100207865
OG0005838	Hydractinia|LOC130641330	Hydra|LOC100211186
OG0005839	Hydractinia|LOC130641377	Hydra|LOC100203097
OG0005840	Hydractinia|LOC130642102	Hydra|LOC100210622
OG0005841	Hydractinia|LOC130641890	Hydra|LOC100212018
OG0005842	Hydractinia|LOC130641000	Hydra|LOC105844590
OG0005843	Hydractinia|LOC130640965	Hydra|LOC100201566
OG0005844	Hydractinia|LOC130642251	Hydra|LOC124812631
OG0005845	Hydractinia|LOC130657966	Hydra|LOC101239078
OG0005846	Hydractinia|LOC130657963	Hydra|LOC100205405, Hydra|LOC100201764
OG0005847	Hydractinia|LOC130657870	Hydra|LOC105848335
OG0005848	Hydractinia|LOC130656010	Hydra|LOC100203860
OG0005849	Hydractinia|LOC130656328	Hydra|LOC100200262
OG0005850	Hydractinia|LOC130656188	Hydra|LOC101239940
OG0005851	Hydractinia|LOC130656192	Hydra|LOC100210639
OG0005852	Hydractinia|LOC130656200	Hydra|LOC100204848
OG0005853	Hydractinia|LOC130656231	Hydra|LOC100202837
OG0005854	Hydractinia|LOC130657436	Hydra|LOC101237664
OG0005855	Hydractinia|LOC130654860	Hydra|LOC100215990
OG0005856	Hydractinia|LOC130654152	Hydra|LOC100206317
OG0005857	Hydractinia|LOC130655720	Hydra|LOC100199185
OG0005859	Hydractinia|LOC130629280	Hydra|LOC100197891
OG0005860	Hydractinia|LOC130655242	Hydra|LOC100208446
OG0005861	Hydractinia|LOC130640887	Hydra|LOC101235407
OG0005862	Hydractinia|LOC130612402	Hydra|LOC101238394
OG0005863	Hydractinia|LOC130662350	Hydra|LOC100200280
OG0005864	Hydractinia|LOC130641621	Hydra|LOC100208388
OG0005865	Hydractinia|LOC130640863	Hydra|LOC100211328
OG0005866	Hydractinia|LOC130662277	Hydra|LOC100207261
OG0005867	Hydractinia|LOC130640907	Hydra|LOC100212062
OG0005869	Hydractinia|LOC130641562	Hydra|LOC100197993
OG0005870	Hydractinia|LOC130640915	Hydra|LOC105849645
OG0005871	Hydractinia|LOC130640861	Hydra|LOC100209365
OG0005872	Hydractinia|LOC130641421	Hydra|LOC100208062
OG0005873	Hydractinia|LOC130657443	Hydra|LOC101235320
OG0005874	Hydractinia|LOC130657310	Hydra|LOC100213493
OG0005875	Hydractinia|LOC130656235	Hydra|LOC100215765
OG0005877	Hydractinia|LOC130657445	Hydra|LOC100213496
OG0005878	Hydractinia|LOC130624018	Hydra|LOC100215936
OG0005879	Hydractinia|LOC130624020	Hydra|LOC124816458
OG0005880	Hydractinia|LOC130623920	Hydra|LOC100199751
OG0005881	Hydractinia|LOC130623311	Hydra|LOC100199518
OG0005882	Hydractinia|LOC130622031	Hydra|LOC100197448
OG0005883	Hydractinia|LOC130621136	Hydra|LOC101239796
OG0005884	Hydractinia|LOC130621144	Hydra|LOC100203371
OG0005885	Hydractinia|LOC130622528	Hydra|LOC100206502
OG0005886	Hydractinia|LOC130647742	Hydra|LOC100203888
OG0005887	Hydractinia|LOC130623501	Hydra|LOC105844957
OG0005888	Hydractinia|LOC130623445	Hydra|LOC100213926
OG0005889	Hydractinia|LOC130623449	Hydra|LOC100204268
OG0005890	Hydractinia|LOC130623450	Hydra|LOC100203074
OG0005891	Hydractinia|LOC130636738	Hydra|LOC100215233
OG0005892	Hydractinia|LOC130636676	Hydra|LOC100200184
OG0005893	Hydractinia|LOC130636422	Hydra|LOC100200459
OG0005894	Hydractinia|LOC130636297	Hydra|LOC100197109
OG0005895	Hydractinia|LOC130636300	Hydra|LOC100206898
OG0005896	Hydractinia|LOC130636675	Hydra|LOC105844305
OG0005897	Hydractinia|LOC130630032	Hydra|LOC101241202
OG0005899	Hydractinia|LOC130654808	Hydra|LOC100208519
OG0005901	Hydractinia|LOC130647479	Hydra|LOC100208928
OG0005902	Hydractinia|LOC130647647	Hydra|LOC100213056
OG0005903	Hydractinia|LOC130647729	Hydra|LOC100214317
OG0005905	Hydractinia|LOC130646925	Hydra|LOC100203102
OG0005906	Hydractinia|LOC130636707	Hydra|LOC101235736
OG0005907	Hydractinia|LOC130654709	Hydra|LOC101238131
OG0005908	Hydractinia|LOC130654022	Hydra|LOC100204514
OG0005909	Hydractinia|LOC130655721	Hydra|LOC101240357
OG0005910	Hydractinia|LOC130656049	Hydra|LOC100197921
OG0005911	Hydractinia|LOC130654138	Hydra|LOC100197152
OG0005912	Hydractinia|LOC130654710	Hydra|LOC100211135
OG0005913	Hydractinia|LOC130655285	Hydra|LOC100200155
OG0005914	Hydractinia|LOC130654445	Hydra|LOC100211839
OG0005915	Hydractinia|LOC130654692	Hydra|LOC100206344
OG0005916	Hydractinia|LOC130654609	Hydra|LOC100210408
OG0005917	Hydractinia|LOC130654613	Hydra|LOC100200846
OG0005918	Hydractinia|LOC130655588	Hydra|LOC100205727
OG0005919	Hydractinia|LOC130655299	Hydra|LOC100198049
OG0005920	Hydractinia|LOC130655662	Hydra|LOC100206380
OG0005921	Hydractinia|LOC130655666	Hydra|LOC100209290
OG0005923	Hydractinia|LOC130645428	Hydra|LOC100204675
OG0005924	Hydractinia|LOC130645434	Hydra|LOC100201458
OG0005926	Hydractinia|LOC130645433	Hydra|LOC101238202
OG0005927	Hydractinia|LOC130644234	Hydra|LOC101239880
OG0005928	Hydractinia|LOC130645424	Hydra|LOC100213308
OG0005929	Hydractinia|LOC130662302	Hydra|LOC100197014
OG0005930	Hydractinia|LOC130612920	Hydra|LOC100211824
OG0005931	Hydractinia|LOC130662483	Hydra|LOC100209514
OG0005932	Hydractinia|LOC130612495	Hydra|LOC100198712
OG0005933	Hydractinia|LOC130612067	Hydra|LOC100197472
OG0005934	Hydractinia|LOC130612725	Hydra|LOC101237477
OG0005935	Hydractinia|LOC130662654	Hydra|LOC100198755
OG0005936	Hydractinia|LOC130662411	Hydra|LOC100198688
OG0005937	Hydractinia|LOC130662340	Hydra|LOC100204904
OG0005938	Hydractinia|LOC130625282	Hydra|LOC100200952
OG0005939	Hydractinia|LOC130625515	Hydra|LOC100197068
OG0005940	Hydractinia|LOC130626199	Hydra|LOC100208922
OG0005941	Hydractinia|LOC130641384	Hydra|LOC100202801
OG0005942	Hydractinia|LOC130641791	Hydra|LOC100209244
OG0005943	Hydractinia|LOC130641428	Hydra|LOC100197103
OG0005945	Hydractinia|LOC130612909	Hydra|LOC100198790
OG0005946	Hydractinia|LOC130645048	Hydra|LOC100214560
OG0005948	Hydractinia|LOC130630414	Hydra|LOC100215977
OG0005950	Hydractinia|LOC130655101	Hydra|LOC100200563
OG0005951	Hydractinia|LOC130656070	Hydra|LOC100205934
OG0005955	Hydractinia|LOC130657395	Hydra|LOC100204985
OG0005956	Hydractinia|LOC130657683	Hydra|LOC100203527
OG0005957	Hydractinia|LOC130657555	Hydra|LOC100207519
OG0005958	Hydractinia|LOC130657526	Hydra|LOC100204276
OG0005959	Hydractinia|LOC130657673	Hydra|LOC100215338
OG0005960	Hydractinia|LOC130657710	Hydra|LOC100197910
OG0005961	Hydractinia|LOC130657706	Hydra|LOC100200252
OG0005962	Hydractinia|LOC130623492	Hydra|LOC100209819
OG0005963	Hydractinia|LOC130622908	Hydra|LOC101238546
OG0005964	Hydractinia|LOC130623560	Hydra|LOC100214100
OG0005965	Hydractinia|LOC130623555	Hydra|LOC105845146
OG0005966	Hydractinia|LOC130624273	Hydra|LOC100201496
OG0005967	Hydractinia|LOC130623564	Hydra|LOC100214906
OG0005968	Hydractinia|LOC130623782	Hydra|LOC100208955
OG0005969	Hydractinia|LOC130624295	Hydra|LOC100199494
OG0005970	Hydractinia|LOC130614730	Hydra|LOC100207346
OG0005971	Hydractinia|LOC130614329	Hydra|LOC100202785
OG0005972	Hydractinia|LOC130614127	Hydra|LOC101236897
OG0005973	Hydractinia|LOC130613829, Hydractinia|LOC130613828	Hydra|LOC100208285
OG0005974	Hydractinia|LOC130645561	Hydra|LOC100209741
OG0005975	Hydractinia|LOC130645251	Hydra|LOC100213444
OG0005976	Hydractinia|LOC130656208	Hydra|LOC101240885
OG0005977	Hydractinia|LOC130656210	Hydra|LOC100200083
OG0005978	Hydractinia|LOC130656191	Hydra|LOC100211848
OG0005979	Hydractinia|LOC130656485	Hydra|LOC100200080
OG0005980	Hydractinia|LOC130656221	Hydra|LOC100199620
OG0005981	Hydractinia|LOC130656241	Hydra|LOC100201608
OG0005982	Hydractinia|LOC130657388	Hydra|LOC100192244
OG0005983	Hydractinia|LOC130657399	Hydra|LOC100215799
OG0005984	Hydractinia|LOC130657671	Hydra|LOC100197180
OG0005985	Hydractinia|LOC130656593	Hydra|LOC100207301
OG0005986	Hydractinia|LOC130657005	Hydra|LOC100197286
OG0005987	Hydractinia|LOC130644588	Hydra|LOC100201369
OG0005989	Hydractinia|LOC130629782	Hydra|LOC100211878
OG0005990	Hydractinia|LOC130645121	Hydra|LOC100199460
OG0005991	Hydractinia|LOC130644464	Hydra|LOC100214482
OG0005992	Hydractinia|LOC130612252	Hydra|LOC100198798
OG0005993	Hydractinia|LOC130612451	Hydra|LOC100206581
OG0005994	Hydractinia|LOC130613061	Hydra|LOC100212027
OG0005995	Hydractinia|LOC130612169	Hydra|LOC101240789
OG0005997	Hydractinia|LOC130629279	Hydra|LOC100203681
OG0005998	Hydractinia|LOC130629285	Hydra|LOC100208338
OG0005999	Hydractinia|LOC130614739	Hydra|LOC100214061
OG0006000	Hydractinia|LOC130645113	Hydra|LOC101239410
OG0006001	Hydractinia|LOC130654279	Hydra|LOC100211821
OG0006002	Hydractinia|LOC130655522	Hydra|LOC101240941
OG0006003	Hydractinia|LOC130623472	Hydra|LOC100206534
OG0006004	Hydractinia|LOC130644561	Hydra|LOC100197638
OG0006005	Hydractinia|LOC130645061	Hydra|LOC100206713
OG0006006	Hydractinia|LOC130645248	Hydra|LOC100209165
OG0006007	Hydractinia|LOC130645249	Hydra|LOC100200273
OG0006008	Hydractinia|LOC130645566	Hydra|LOC100215829
OG0006009	Hydractinia|LOC130625360	Hydra|LOC100200299
OG0006010	Hydractinia|LOC130625021	Hydra|LOC100202589
OG0006011	Hydractinia|LOC130625688	Hydra|LOC100206203
OG0006012	Hydractinia|LOC130626140	Hydra|LOC100207790
OG0006013	Hydractinia|LOC130647940	Hydra|LOC100202596
OG0006014	Hydractinia|LOC130646941	Hydra|LOC100212766
OG0006015	Hydractinia|LOC130647394	Hydra|LOC124818397
OG0006016	Hydractinia|LOC130655082	Hydra|LOC100214413
OG0006017	Hydractinia|LOC130655081	Hydra|LOC100205356
OG0006018	Hydractinia|LOC130654816	Hydra|LOC100199956
OG0006019	Hydractinia|LOC130641464	Hydra|LOC100209228
OG0006020	Hydractinia|LOC130646957	Hydra|LOC100197376
OG0006021	Hydractinia|LOC130646978	Hydra|LOC100212437
OG0006022	Hydractinia|LOC130646979	Hydra|LOC101235794
OG0006023	Hydractinia|LOC130646976	Hydra|LOC100207412
OG0006024	Hydractinia|LOC130641462	Hydra|LOC100207609
OG0006025	Hydractinia|LOC130641459	Hydra|LOC101238823
OG0006026	Hydractinia|LOC130655895	Hydra|LOC100201029
OG0006027	Hydractinia|LOC130655489	Hydra|LOC100198735
OG0006028	Hydractinia|LOC130655493	Hydra|LOC100211792
OG0006029	Hydractinia|LOC130646841	Hydra|LOC100202899
OG0006030	Hydractinia|LOC130644532	Hydra|LOC100201218
OG0006031	Hydractinia|LOC130645821, Hydractinia|LOC130645711	Hydra|LOC101240025
OG0006032	Hydractinia|LOC130645228	Hydra|LOC100211263
OG0006033	Hydractinia|LOC130644168, Hydractinia|LOC130646163	Hydra|LOC105849675
OG0006034	Hydractinia|LOC130645578	Hydra|LOC100213346
OG0006035	Hydractinia|LOC130645579	Hydra|LOC101237374
OG0006036	Hydractinia|LOC130644321	Hydra|LOC100198494
OG0006037	Hydractinia|LOC130644314	Hydra|LOC105850835
OG0006038	Hydractinia|LOC130645718, Hydractinia|LOC130645826	Hydra|LOC100205754
OG0006039	Hydractinia|LOC130636021	Hydra|LOC100197474
OG0006040	Hydractinia|LOC130636471	Hydra|LOC101240432
OG0006041	Hydractinia|LOC130636592	Hydra|LOC100210324
OG0006042	Hydractinia|LOC130636579	Hydra|LOC100202490
OG0006043	Hydractinia|LOC130636473	Hydra|LOC100210160
OG0006044	Hydractinia|LOC130635675	Hydra|LOC100205986
OG0006045	Hydractinia|LOC130641837	Hydra|LOC101237954
OG0006046	Hydractinia|LOC130640822, Hydractinia|LOC130641195	Hydra|LOC100210373
OG0006048	Hydractinia|LOC130645469	Hydra|LOC100198162
OG0006049	Hydractinia|LOC130641830	Hydra|LOC100205297
OG0006051	Hydractinia|LOC130645853	Hydra|LOC100198745
OG0006052	Hydractinia|LOC130645707	Hydra|LOC100199322
OG0006053	Hydractinia|LOC130645717	Hydra|LOC105843188
OG0006054	Hydractinia|LOC130649351	Hydra|LOC101241576
OG0006055	Hydractinia|LOC130612486	Hydra|LOC101238528
OG0006056	Hydractinia|LOC130662332	Hydra|LOC101241064
OG0006057	Hydractinia|LOC130613107	Hydra|LOC100214791
OG0006058	Hydractinia|LOC130612638	Hydra|LOC100207974
