Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_ClytiaProteins
OG0004164	Hydractinia|LOC130655553	Clytia|LOC_039858
OG0004165	Hydractinia|LOC130622359	Clytia|LOC_039942
OG0004166	Hydractinia|LOC130623410	Clytia|LOC_039976
OG0004167	Hydractinia|LOC130662363	Clytia|LOC_039990
OG0004168	Hydractinia|LOC130653727	Clytia|LOC_040068, Clytia|LOC_040042
OG0004169	Hydractinia|LOC130662715	Clytia|LOC_040146, Clytia|LOC_040147
OG0004170	Hydractinia|LOC130612935	Clytia|LOC_040152
OG0004171	Hydractinia|LOC130621556	Clytia|LOC_040245
OG0004172	Hydractinia|LOC130621614	Clytia|LOC_040278
OG0004173	Hydractinia|LOC130655040	Clytia|LOC_040361
OG0004174	Hydractinia|LOC130654666	Clytia|LOC_040367
OG0004175	Hydractinia|LOC130641975	Clytia|LOC_040410
OG0004176	Hydractinia|LOC130622456	Clytia|LOC_040432, Clytia|LOC_044047
OG0004177	Hydractinia|LOC130641778, Hydractinia|LOC130641777	Clytia|LOC_040454
OG0004178	Hydractinia|LOC130642095, Hydractinia|LOC130642093, Hydractinia|LOC130642094	Clytia|LOC_040455
OG0004179	Hydractinia|LOC130641481	Clytia|LOC_040461, Clytia|LOC_040460
OG0004180	Hydractinia|LOC130630101	Clytia|LOC_040567
OG0004181	Hydractinia|LOC130625857	Clytia|LOC_040581
OG0004182	Hydractinia|LOC130614738	Clytia|LOC_040616
OG0004183	Hydractinia|LOC130636438	Clytia|LOC_040676, Clytia|LOC_040690
OG0004184	Hydractinia|LOC130612652	Clytia|LOC_040996, Clytia|LOC_040973
OG0004185	Hydractinia|LOC130612296	Clytia|LOC_040980, Clytia|LOC_040979
OG0004186	Hydractinia|LOC130641781	Clytia|LOC_041149, Clytia|LOC_041148
OG0004187	Hydractinia|LOC130649300	Clytia|LOC_041160
OG0004188	Hydractinia|LOC130649521, Hydractinia|LOC130649520	Clytia|LOC_041168
OG0004189	Hydractinia|LOC130648961	Clytia|LOC_041171
OG0004190	Hydractinia|LOC130645100	Clytia|LOC_041292
OG0004191	Hydractinia|LOC130648848	Clytia|LOC_041298
OG0004192	Hydractinia|LOC130649432	Clytia|LOC_041304
OG0004193	Hydractinia|LOC130635844, Hydractinia|LOC130648936	Clytia|LOC_041331, Clytia|LOC_041305, Clytia|LOC_041349
OG0004194	Hydractinia|LOC130649517, Hydractinia|LOC130649518	Clytia|LOC_041318
OG0004195	Hydractinia|LOC130648836	Clytia|LOC_041324
OG0004196	Hydractinia|LOC130634312	Clytia|LOC_041354
OG0004197	Hydractinia|LOC130625404	Clytia|LOC_041424
OG0004198	Hydractinia|LOC130625842, Hydractinia|LOC130625841	Clytia|LOC_041434
OG0004199	Hydractinia|LOC130625958	Clytia|LOC_041454
OG0004200	Hydractinia|LOC130624991	Clytia|LOC_041484, Clytia|LOC_041483
OG0004201	Hydractinia|LOC130641347, Hydractinia|LOC130644351	Clytia|LOC_041555
OG0004202	Hydractinia|LOC130654675	Clytia|LOC_041561
OG0004203	Hydractinia|LOC130654371	Clytia|LOC_041564
OG0004204	Hydractinia|LOC130654744	Clytia|LOC_041579, Clytia|LOC_041567
OG0004205	Hydractinia|LOC130654852	Clytia|LOC_041580
OG0004206	Hydractinia|LOC130622719, Hydractinia|LOC130622718	Clytia|LOC_041703
OG0004207	Hydractinia|LOC130621590	Clytia|LOC_041710, Clytia|LOC_041709
OG0004208	Hydractinia|LOC130622216, Hydractinia|LOC130621934	Clytia|LOC_041814
OG0004209	Hydractinia|LOC130656602	Clytia|LOC_041918
OG0004210	Hydractinia|LOC130647748	Clytia|LOC_041921
OG0004211	Hydractinia|LOC130624323	Clytia|LOC_041923
OG0004212	Hydractinia|LOC130622885, Hydractinia|LOC130622886, Hydractinia|LOC130630323, Hydractinia|LOC130621973, Hydractinia|LOC130622677	Clytia|LOC_041956
OG0004213	Hydractinia|LOC130613650	Clytia|LOC_041974
OG0004214	Hydractinia|LOC130613768	Clytia|LOC_041982, Clytia|LOC_041997
OG0004215	Hydractinia|LOC130613770	Clytia|LOC_041983
OG0004216	Hydractinia|LOC130614692	Clytia|LOC_041995
OG0004217	Hydractinia|LOC130653804	Clytia|LOC_042082
OG0004218	Hydractinia|LOC130612147	Clytia|LOC_042097, Clytia|LOC_042085
OG0004219	Hydractinia|LOC130654351	Clytia|LOC_042138
OG0004220	Hydractinia|LOC130654230	Clytia|LOC_042139, Clytia|LOC_042140
OG0004221	Hydractinia|LOC130654281, Hydractinia|LOC130654302	Clytia|LOC_042154
OG0004222	Hydractinia|LOC130625492	Clytia|LOC_042222, Clytia|LOC_042191
OG0004223	Hydractinia|LOC130625375	Clytia|LOC_042202
OG0004224	Hydractinia|LOC130656331	Clytia|LOC_042244
OG0004225	Hydractinia|LOC130656179, Hydractinia|LOC130656178	Clytia|LOC_042263, Clytia|LOC_042251
OG0004226	Hydractinia|LOC130614053, Hydractinia|LOC130614051	Clytia|LOC_042266
OG0004227	Hydractinia|LOC130641936, Hydractinia|LOC130638537	Clytia|LOC_042396
OG0004228	Hydractinia|LOC130631408	Clytia|LOC_042418, Clytia|LOC_042417
OG0004229	Hydractinia|LOC130625305	Clytia|LOC_042451
OG0004230	Hydractinia|LOC130630400	Clytia|LOC_042459
OG0004231	Hydractinia|LOC130629490, Hydractinia|LOC130629477	Clytia|LOC_042470
OG0004232	Hydractinia|LOC130648055, Hydractinia|LOC130649876	Clytia|LOC_042522
OG0004233	Hydractinia|LOC130636619, Hydractinia|LOC130635420	Clytia|LOC_042535
OG0004234	Hydractinia|LOC130642314, Hydractinia|LOC130639216	Clytia|LOC_042544
OG0004235	Hydractinia|LOC130642727, Hydractinia|LOC130639773	Clytia|LOC_042552
OG0004236	Hydractinia|LOC130625004	Clytia|LOC_042660, Clytia|LOC_042675
OG0004237	Hydractinia|LOC130662703	Clytia|LOC_042715
OG0004238	Hydractinia|LOC130625311	Clytia|LOC_042750
OG0004239	Hydractinia|LOC130636445	Clytia|LOC_042857, Clytia|LOC_042850
OG0004240	Hydractinia|LOC130654340	Clytia|LOC_042915, Clytia|LOC_042886
OG0004241	Hydractinia|LOC130622005	Clytia|LOC_042895, Clytia|LOC_042920
OG0004242	Hydractinia|LOC130622127	Clytia|LOC_042929
OG0004243	Hydractinia|LOC130635829	Clytia|LOC_042976
OG0004244	Hydractinia|LOC130641117, Hydractinia|LOC130640741	Clytia|LOC_042990
OG0004245	Hydractinia|LOC130648077, Hydractinia|LOC130648131	Clytia|LOC_043103
OG0004246	Hydractinia|LOC130641103, Hydractinia|LOC130640725	Clytia|LOC_043146
OG0004247	Hydractinia|LOC130640837, Hydractinia|LOC130641208	Clytia|LOC_043154
OG0004248	Hydractinia|LOC130624041	Clytia|LOC_043209
OG0004249	Hydractinia|LOC130622902	Clytia|LOC_043228
OG0004250	Hydractinia|LOC130662308, Hydractinia|LOC130622933	Clytia|LOC_043249
OG0004251	Hydractinia|LOC130644391	Clytia|LOC_043266
OG0004252	Hydractinia|LOC130644642	Clytia|LOC_043273
OG0004253	Hydractinia|LOC130629346, Hydractinia|LOC130629446	Clytia|LOC_043291
OG0004254	Hydractinia|LOC130655486	Clytia|LOC_043338
OG0004255	Hydractinia|LOC130645217	Clytia|LOC_043352
OG0004256	Hydractinia|LOC130622188	Clytia|LOC_043394
OG0004257	Hydractinia|LOC130653881	Clytia|LOC_043433
OG0004258	Hydractinia|LOC130653883	Clytia|LOC_043441, Clytia|LOC_043434
OG0004259	Hydractinia|LOC130654174	Clytia|LOC_043442
OG0004260	Hydractinia|LOC130644840	Clytia|LOC_043518, Clytia|LOC_043562
OG0004261	Hydractinia|LOC130645556	Clytia|LOC_043520
OG0004262	Hydractinia|LOC130614585	Clytia|LOC_043596
OG0004263	Hydractinia|LOC130624961	Clytia|LOC_043695
OG0004264	Hydractinia|LOC130654246	Clytia|LOC_043838
OG0004265	Hydractinia|LOC130622015	Clytia|LOC_043882, Clytia|LOC_044613
OG0004266	Hydractinia|LOC130628803	Clytia|LOC_043897
OG0004267	Hydractinia|LOC130628964	Clytia|LOC_043899
OG0004268	Hydractinia|LOC130644498	Clytia|LOC_043910
OG0004269	Hydractinia|LOC130649301, Hydractinia|LOC130649249, Hydractinia|LOC130649298, Hydractinia|LOC130649297, Hydractinia|LOC130649296	Clytia|LOC_043930
OG0004270	Hydractinia|LOC130621437	Clytia|LOC_044103, Clytia|LOC_044053
OG0004271	Hydractinia|LOC130629643, Hydractinia|LOC130629674	Clytia|LOC_044113
OG0004272	Hydractinia|LOC130612407	Clytia|LOC_044136
OG0004274	Hydractinia|LOC130621767	Clytia|LOC_044145
OG0004275	Hydractinia|LOC130614848	Clytia|LOC_044160
OG0004277	Hydractinia|LOC130644467	Clytia|LOC_044336, Clytia|LOC_044281
OG0004278	Hydractinia|LOC130644472	Clytia|LOC_044292
OG0004279	Hydractinia|LOC130644542	Clytia|LOC_044295
OG0004280	Hydractinia|LOC130644196, Hydractinia|LOC130646194	Clytia|LOC_044323
OG0004281	Hydractinia|LOC130644175, Hydractinia|LOC130646134	Clytia|LOC_044330
OG0004282	Hydractinia|LOC130644777	Clytia|LOC_044341
OG0004283	Hydractinia|LOC130644703	Clytia|LOC_044349, Clytia|LOC_044348
OG0004284	Hydractinia|LOC130644707	Clytia|LOC_044350
OG0004285	Hydractinia|LOC130645222	Clytia|LOC_044364
OG0004286	Hydractinia|LOC130640853	Clytia|LOC_044519, Clytia|LOC_044520
OG0004287	Hydractinia|LOC130641150, Hydractinia|LOC130640770	Clytia|LOC_044527
OG0004288	Hydractinia|LOC130641148, Hydractinia|LOC130640767	Clytia|LOC_044530
OG0004289	Hydractinia|LOC130641145, Hydractinia|LOC130640769	Clytia|LOC_044566
OG0004290	Hydractinia|LOC130641373	Clytia|LOC_044586
OG0004291	Hydractinia|LOC130622595	Clytia|LOC_044616
OG0004292	Hydractinia|LOC130642396, Hydractinia|LOC130639363	Clytia|LOC_044727
OG0004293	Hydractinia|LOC130624355	Clytia|LOC_045692
OG0004294	Hydractinia|LOC130662526	Clytia|LOC_044794
OG0004295	Hydractinia|LOC130612520	Clytia|LOC_044835, Clytia|LOC_044832
OG0004296	Hydractinia|LOC130640759, Hydractinia|LOC130641136	Clytia|LOC_044883
OG0004297	Hydractinia|LOC130629065, Hydractinia|LOC130629131	Clytia|LOC_044944
OG0004298	Hydractinia|LOC130641556, Hydractinia|LOC130644548	Clytia|LOC_044986
OG0004299	Hydractinia|LOC130625860, Hydractinia|LOC130625469, Hydractinia|LOC130626024, Hydractinia|LOC130625704, Hydractinia|LOC130624952	Clytia|LOC_045083
OG0004300	Hydractinia|LOC130636719	Clytia|LOC_045086
OG0004301	Hydractinia|LOC130635582, Hydractinia|LOC130635530	Clytia|LOC_045091
OG0004302	Hydractinia|LOC130612515, Hydractinia|LOC130612510	Clytia|LOC_045148
OG0004303	Hydractinia|LOC130645183, Hydractinia|LOC130645185	Clytia|LOC_045178
OG0004304	Hydractinia|LOC130645651, Hydractinia|LOC130645884	Clytia|LOC_045182
OG0004305	Hydractinia|LOC130645603	Clytia|LOC_045185
OG0004306	Hydractinia|LOC130613760	Clytia|LOC_045271, Clytia|LOC_045215
OG0004307	Hydractinia|LOC130614886	Clytia|LOC_045218
OG0004308	Hydractinia|LOC130613755	Clytia|LOC_045219
OG0004309	Hydractinia|LOC130649111, Hydractinia|LOC130649110	Clytia|LOC_045275
OG0004310	Hydractinia|LOC130614888	Clytia|LOC_045282
OG0004311	Hydractinia|LOC130647658, Hydractinia|LOC130647664	Clytia|LOC_045296
OG0004312	Hydractinia|LOC130647277, Hydractinia|LOC130648316	Clytia|LOC_045408
OG0004313	Hydractinia|LOC130648302, Hydractinia|LOC130647734	Clytia|LOC_045418
OG0004314	Hydractinia|LOC130629788	Clytia|LOC_045559
OG0004315	Hydractinia|LOC130640878	Clytia|LOC_045620, Clytia|LOC_045629, Clytia|LOC_045630
OG0004316	Hydractinia|LOC130646904, Hydractinia|LOC130647225	Clytia|LOC_045754
OG0004317	Hydractinia|LOC130646959	Clytia|LOC_045763, Clytia|LOC_045795
OG0004318	Hydractinia|LOC130646963	Clytia|LOC_045772
OG0004319	Hydractinia|LOC130647714, Hydractinia|LOC130647713	Clytia|LOC_045811
OG0004320	Hydractinia|LOC130614881	Clytia|LOC_045845
OG0004534	Hydractinia|LOC130647633	Clytia|LOC_000001
OG0004535	Hydractinia|LOC130647637	Clytia|LOC_000003
OG0004536	Hydractinia|LOC130647640	Clytia|LOC_000005
OG0004537	Hydractinia|LOC130647639	Clytia|LOC_000006
OG0004538	Hydractinia|LOC130647127	Clytia|LOC_000008
OG0004539	Hydractinia|LOC130647608	Clytia|LOC_000009
OG0004540	Hydractinia|LOC130647754	Clytia|LOC_000011
OG0004541	Hydractinia|LOC130647015	Clytia|LOC_000019
OG0004542	Hydractinia|LOC130648239	Clytia|LOC_000026
OG0004543	Hydractinia|LOC130647535	Clytia|LOC_000033
OG0004544	Hydractinia|LOC130647018	Clytia|LOC_000117, Clytia|LOC_000034
OG0004545	Hydractinia|LOC130647616	Clytia|LOC_000037
OG0004546	Hydractinia|LOC130647619	Clytia|LOC_000038
OG0004548	Hydractinia|LOC130614610	Clytia|LOC_045231, Clytia|LOC_000045, Clytia|LOC_033594
OG0004549	Hydractinia|LOC130646954	Clytia|LOC_000046
OG0004550	Hydractinia|LOC130647292	Clytia|LOC_000049
OG0004551	Hydractinia|LOC130647483	Clytia|LOC_000051
OG0004552	Hydractinia|LOC130647482	Clytia|LOC_000053
OG0004553	Hydractinia|LOC130647011	Clytia|LOC_000062
OG0004554	Hydractinia|LOC130647343	Clytia|LOC_000064
OG0004555	Hydractinia|LOC130647012	Clytia|LOC_000069
OG0004556	Hydractinia|LOC130647474	Clytia|LOC_000070, Clytia|LOC_000145
OG0004558	Hydractinia|LOC130647634	Clytia|LOC_000078
OG0004559	Hydractinia|LOC130647635	Clytia|LOC_000079
OG0004560	Hydractinia|LOC130647631	Clytia|LOC_000082
OG0004561	Hydractinia|LOC130647607	Clytia|LOC_000088
OG0004562	Hydractinia|LOC130646981	Clytia|LOC_000098
OG0004563	Hydractinia|LOC130647749	Clytia|LOC_000099
OG0004564	Hydractinia|LOC130647178	Clytia|LOC_000104
OG0004565	Hydractinia|LOC130647702	Clytia|LOC_000105
OG0004566	Hydractinia|LOC130647024	Clytia|LOC_000107
OG0004567	Hydractinia|LOC130647804	Clytia|LOC_000108
OG0004568	Hydractinia|LOC130647920	Clytia|LOC_000118
OG0004569	Hydractinia|LOC130647620	Clytia|LOC_000122
OG0004570	Hydractinia|LOC130647941	Clytia|LOC_000128
OG0004571	Hydractinia|LOC130647498	Clytia|LOC_000141
OG0004572	Hydractinia|LOC130647653	Clytia|LOC_000142
OG0004573	Hydractinia|LOC130647014	Clytia|LOC_000143
OG0004575	Hydractinia|LOC130647463	Clytia|LOC_000244
OG0004576	Hydractinia|LOC130629045, Hydractinia|LOC130647838	Clytia|LOC_000248
OG0004577	Hydractinia|LOC130647466	Clytia|LOC_000249
OG0004578	Hydractinia|LOC130612907	Clytia|LOC_000263, Clytia|LOC_023940, Clytia|LOC_018935
OG0004579	Hydractinia|LOC130640882	Clytia|LOC_000269
OG0004580	Hydractinia|LOC130641831	Clytia|LOC_000270
OG0004581	Hydractinia|LOC130642020	Clytia|LOC_000281
OG0004582	Hydractinia|LOC130642022	Clytia|LOC_000282
OG0004583	Hydractinia|LOC130641893	Clytia|LOC_000283
OG0004584	Hydractinia|LOC130621792	Clytia|LOC_000285
OG0004585	Hydractinia|LOC130621705	Clytia|LOC_000297
OG0004586	Hydractinia|LOC130622394	Clytia|LOC_000300
OG0004587	Hydractinia|LOC130622393	Clytia|LOC_000301
OG0004588	Hydractinia|LOC130622391	Clytia|LOC_000303
OG0004589	Hydractinia|LOC130622640	Clytia|LOC_000309
OG0004590	Hydractinia|LOC130641318	Clytia|LOC_000318
OG0004591	Hydractinia|LOC130641786	Clytia|LOC_000325
OG0004592	Hydractinia|LOC130641780	Clytia|LOC_000326
OG0004593	Hydractinia|LOC130640894	Clytia|LOC_000328
OG0004594	Hydractinia|LOC130642036	Clytia|LOC_000331
OG0004595	Hydractinia|LOC130622722	Clytia|LOC_000337
OG0004596	Hydractinia|LOC130621464	Clytia|LOC_000344
OG0004597	Hydractinia|LOC130622392	Clytia|LOC_000350
OG0004598	Hydractinia|LOC130621574	Clytia|LOC_000358
OG0004599	Hydractinia|LOC130640895	Clytia|LOC_000377
OG0004600	Hydractinia|LOC130622272	Clytia|LOC_000409
OG0004601	Hydractinia|LOC130654806	Clytia|LOC_000438
OG0004602	Hydractinia|LOC130654544	Clytia|LOC_000440
OG0004603	Hydractinia|LOC130654001	Clytia|LOC_000442
OG0004604	Hydractinia|LOC130654954	Clytia|LOC_000444
OG0004605	Hydractinia|LOC130654172	Clytia|LOC_000448
OG0004606	Hydractinia|LOC130654496	Clytia|LOC_000449
OG0004607	Hydractinia|LOC130655311	Clytia|LOC_000455
OG0004608	Hydractinia|LOC130655807	Clytia|LOC_000457
OG0004609	Hydractinia|LOC130648782	Clytia|LOC_000459, Clytia|LOC_000507, Clytia|LOC_029232
OG0004610	Hydractinia|LOC130655514	Clytia|LOC_000473
OG0004611	Hydractinia|LOC130654798	Clytia|LOC_000484
OG0004612	Hydractinia|LOC130654782	Clytia|LOC_000487
OG0004614	Hydractinia|LOC130653640	Clytia|LOC_000513
OG0004615	Hydractinia|LOC130654280	Clytia|LOC_000515
OG0004616	Hydractinia|LOC130653693	Clytia|LOC_000521
OG0004617	Hydractinia|LOC130654896	Clytia|LOC_000539
OG0004618	Hydractinia|LOC130654588	Clytia|LOC_000548
OG0004619	Hydractinia|LOC130644398	Clytia|LOC_000555
OG0004620	Hydractinia|LOC130654580	Clytia|LOC_000571
OG0004621	Hydractinia|LOC130653752	Clytia|LOC_000573
OG0004622	Hydractinia|LOC130654934	Clytia|LOC_000579
OG0004623	Hydractinia|LOC130654799	Clytia|LOC_000581
OG0004624	Hydractinia|LOC130655991	Clytia|LOC_000582
OG0004625	Hydractinia|LOC130655992	Clytia|LOC_000584
OG0004626	Hydractinia|LOC130654990	Clytia|LOC_000586
OG0004627	Hydractinia|LOC130654992	Clytia|LOC_000587
OG0004628	Hydractinia|LOC130655680	Clytia|LOC_000596
OG0004629	Hydractinia|LOC130653744	Clytia|LOC_000597
OG0004630	Hydractinia|LOC130653757	Clytia|LOC_000598
OG0004631	Hydractinia|LOC130653742	Clytia|LOC_000662, Clytia|LOC_000599
OG0004632	Hydractinia|LOC130653741	Clytia|LOC_000600
OG0004633	Hydractinia|LOC130655562	Clytia|LOC_000603
OG0004634	Hydractinia|LOC130654785	Clytia|LOC_000605
OG0004636	Hydractinia|LOC130655862	Clytia|LOC_000607
OG0004637	Hydractinia|LOC130655830	Clytia|LOC_031858, Clytia|LOC_000613
OG0004638	Hydractinia|LOC130655687	Clytia|LOC_000615
OG0004639	Hydractinia|LOC130654122	Clytia|LOC_000618
OG0004640	Hydractinia|LOC130654368	Clytia|LOC_000619
OG0004641	Hydractinia|LOC130655156	Clytia|LOC_000621
OG0004642	Hydractinia|LOC130654077	Clytia|LOC_000623
OG0004643	Hydractinia|LOC130655543	Clytia|LOC_000632
OG0004644	Hydractinia|LOC130653584	Clytia|LOC_000633
OG0004645	Hydractinia|LOC130655993	Clytia|LOC_000636
OG0004646	Hydractinia|LOC130654114	Clytia|LOC_000642
OG0004647	Hydractinia|LOC130654993	Clytia|LOC_000644
OG0004648	Hydractinia|LOC130655679	Clytia|LOC_000652
OG0004649	Hydractinia|LOC130655682	Clytia|LOC_000656
OG0004650	Hydractinia|LOC130653746	Clytia|LOC_000658
OG0004651	Hydractinia|LOC130653761	Clytia|LOC_000659
OG0004652	Hydractinia|LOC130653737	Clytia|LOC_000660
OG0004653	Hydractinia|LOC130655556	Clytia|LOC_000665
OG0004654	Hydractinia|LOC130655561	Clytia|LOC_000666
OG0004655	Hydractinia|LOC130654863	Clytia|LOC_000667
OG0004656	Hydractinia|LOC130655423	Clytia|LOC_000668
OG0004657	Hydractinia|LOC130654723	Clytia|LOC_010233
OG0004657	Hydractinia|LOC130654722	Clytia|LOC_000678
OG0004658	Hydractinia|LOC130655994	Clytia|LOC_000687
OG0004659	Hydractinia|LOC130644432	Clytia|LOC_000735
OG0004660	Hydractinia|LOC130645103	Clytia|LOC_000750
OG0004661	Hydractinia|LOC130645785	Clytia|LOC_000754
OG0004662	Hydractinia|LOC130648821	Clytia|LOC_000765
OG0004663	Hydractinia|LOC130644287	Clytia|LOC_000770
OG0004664	Hydractinia|LOC130646111	Clytia|LOC_000779
OG0004665	Hydractinia|LOC130623955	Clytia|LOC_032389, Clytia|LOC_000812, Clytia|LOC_039965, Clytia|LOC_041095
OG0004667	Hydractinia|LOC130641417	Clytia|LOC_000816
OG0004668	Hydractinia|LOC130656201	Clytia|LOC_000819
OG0004669	Hydractinia|LOC130657985	Clytia|LOC_000820
OG0004670	Hydractinia|LOC130657345	Clytia|LOC_000823
OG0004671	Hydractinia|LOC130656292	Clytia|LOC_000825
OG0004672	Hydractinia|LOC130657967	Clytia|LOC_000830
OG0004673	Hydractinia|LOC130657020	Clytia|LOC_000831
OG0004674	Hydractinia|LOC130657018	Clytia|LOC_000832
OG0004675	Hydractinia|LOC130656387	Clytia|LOC_000835
OG0004676	Hydractinia|LOC130656380	Clytia|LOC_000836
OG0004677	Hydractinia|LOC130656586	Clytia|LOC_000840
OG0004678	Hydractinia|LOC130656870	Clytia|LOC_000841
OG0004679	Hydractinia|LOC130656721	Clytia|LOC_000842
OG0004680	Hydractinia|LOC130656495	Clytia|LOC_000845
OG0004681	Hydractinia|LOC130656796	Clytia|LOC_000847
OG0004682	Hydractinia|LOC130657040	Clytia|LOC_000848
OG0004683	Hydractinia|LOC130657983	Clytia|LOC_000856
OG0004684	Hydractinia|LOC130657077	Clytia|LOC_000857
OG0004685	Hydractinia|LOC130657625	Clytia|LOC_000862
OG0004686	Hydractinia|LOC130657275	Clytia|LOC_000865
OG0004687	Hydractinia|LOC130657276	Clytia|LOC_000866
OG0004688	Hydractinia|LOC130657988	Clytia|LOC_000868
OG0004689	Hydractinia|LOC130657968	Clytia|LOC_000875
OG0004690	Hydractinia|LOC130657986	Clytia|LOC_000897
OG0004691	Hydractinia|LOC130636220	Clytia|LOC_000932
OG0004692	Hydractinia|LOC130654571	Clytia|LOC_000943
OG0004693	Hydractinia|LOC130655496	Clytia|LOC_000945
OG0004694	Hydractinia|LOC130655724	Clytia|LOC_000963
OG0004695	Hydractinia|LOC130655027	Clytia|LOC_000965
OG0004696	Hydractinia|LOC130653621	Clytia|LOC_000973
OG0004697	Hydractinia|LOC130654011	Clytia|LOC_000979
OG0004698	Hydractinia|LOC130653997	Clytia|LOC_000981, Clytia|LOC_001014
OG0004699	Hydractinia|LOC130653998	Clytia|LOC_000982
OG0004700	Hydractinia|LOC130654572	Clytia|LOC_000984
OG0004701	Hydractinia|LOC130653926	Clytia|LOC_000986
OG0004702	Hydractinia|LOC130655498, Hydractinia|LOC130655492	Clytia|LOC_000988
OG0004704	Hydractinia|LOC130653882	Clytia|LOC_001005
OG0004705	Hydractinia|LOC130656042	Clytia|LOC_001007
OG0004706	Hydractinia|LOC130653996	Clytia|LOC_001015
OG0004707	Hydractinia|LOC130654006	Clytia|LOC_001017
OG0004709	Hydractinia|LOC130655536	Clytia|LOC_001061
OG0004710	Hydractinia|LOC130614639	Clytia|LOC_001075
OG0004711	Hydractinia|LOC130613730	Clytia|LOC_001077
OG0004712	Hydractinia|LOC130614296	Clytia|LOC_001079
OG0004713	Hydractinia|LOC130614504	Clytia|LOC_001082
OG0004714	Hydractinia|LOC130613981	Clytia|LOC_001083
OG0004715	Hydractinia|LOC130614806	Clytia|LOC_001084
OG0004716	Hydractinia|LOC130614372	Clytia|LOC_001093
OG0004717	Hydractinia|LOC130613781	Clytia|LOC_001094
OG0004718	Hydractinia|LOC130614885	Clytia|LOC_001099
OG0004719	Hydractinia|LOC130613717	Clytia|LOC_001100
OG0004722	Hydractinia|LOC130614835	Clytia|LOC_001112
OG0004723	Hydractinia|LOC130614360	Clytia|LOC_001124
OG0004724	Hydractinia|LOC130621102	Clytia|LOC_038100, Clytia|LOC_016428, Clytia|LOC_039045, Clytia|LOC_001127
OG0004725	Hydractinia|LOC130635818, Hydractinia|LOC130622651	Clytia|LOC_001159
OG0004726	Hydractinia|LOC130636051	Clytia|LOC_001180
OG0004727	Hydractinia|LOC130636460	Clytia|LOC_001182
OG0004728	Hydractinia|LOC130636272	Clytia|LOC_001185
OG0004729	Hydractinia|LOC130636540	Clytia|LOC_001186
OG0004730	Hydractinia|LOC130636557	Clytia|LOC_001190
OG0004731	Hydractinia|LOC130636710	Clytia|LOC_001213
OG0004732	Hydractinia|LOC130635958	Clytia|LOC_001219
OG0004733	Hydractinia|LOC130635879	Clytia|LOC_001230
OG0004734	Hydractinia|LOC130636174	Clytia|LOC_001233
OG0004735	Hydractinia|LOC130636627	Clytia|LOC_001310
OG0004736	Hydractinia|LOC130636515	Clytia|LOC_001311
OG0004737	Hydractinia|LOC130635872, Hydractinia|LOC130635876	Clytia|LOC_001348, Clytia|LOC_001315
OG0004738	Hydractinia|LOC130636621	Clytia|LOC_001343
OG0004739	Hydractinia|LOC130636617	Clytia|LOC_001344
OG0004741	Hydractinia|LOC130636623	Clytia|LOC_001383
OG0004742	Hydractinia|LOC130623668, Hydractinia|LOC130649043, Hydractinia|LOC130649041	Clytia|LOC_001396
OG0004743	Hydractinia|LOC130622649	Clytia|LOC_001411
OG0004744	Hydractinia|LOC130622656	Clytia|LOC_001412
OG0004745	Hydractinia|LOC130622594	Clytia|LOC_001415
OG0004746	Hydractinia|LOC130621890	Clytia|LOC_001417
OG0004747	Hydractinia|LOC130622774	Clytia|LOC_001431
OG0004748	Hydractinia|LOC130622492	Clytia|LOC_001440
OG0004749	Hydractinia|LOC130622667	Clytia|LOC_001442
OG0004750	Hydractinia|LOC130621880	Clytia|LOC_001445
OG0004751	Hydractinia|LOC130622675	Clytia|LOC_001447
OG0004752	Hydractinia|LOC130622051	Clytia|LOC_001468
OG0004753	Hydractinia|LOC130621433	Clytia|LOC_001469
OG0004754	Hydractinia|LOC130621755	Clytia|LOC_001474
OG0004755	Hydractinia|LOC130622499	Clytia|LOC_001477
OG0004756	Hydractinia|LOC130622498	Clytia|LOC_001520
OG0004757	Hydractinia|LOC130624983	Clytia|LOC_001526
OG0004758	Hydractinia|LOC130625590	Clytia|LOC_001527
OG0004759	Hydractinia|LOC130641344	Clytia|LOC_001533
OG0004760	Hydractinia|LOC130641487	Clytia|LOC_001534
OG0004761	Hydractinia|LOC130641414	Clytia|LOC_001536
OG0004762	Hydractinia|LOC130641227	Clytia|LOC_001538
OG0004763	Hydractinia|LOC130641367	Clytia|LOC_001540
OG0004764	Hydractinia|LOC130641876	Clytia|LOC_001542
OG0004765	Hydractinia|LOC130625564	Clytia|LOC_001554
OG0004766	Hydractinia|LOC130625962	Clytia|LOC_001556
OG0004767	Hydractinia|LOC130625594	Clytia|LOC_001558
OG0004768	Hydractinia|LOC130641003	Clytia|LOC_001565
OG0004769	Hydractinia|LOC130641368	Clytia|LOC_001568
OG0004770	Hydractinia|LOC130641137, Hydractinia|LOC130640762	Clytia|LOC_001571
OG0004771	Hydractinia|LOC130640980	Clytia|LOC_001574
OG0004774	Hydractinia|LOC130626197	Clytia|LOC_009475, Clytia|LOC_001620
OG0004775	Hydractinia|LOC130625817	Clytia|LOC_001623
OG0004776	Hydractinia|LOC130625601	Clytia|LOC_001630
OG0004777	Hydractinia|LOC130625567	Clytia|LOC_001631
OG0004778	Hydractinia|LOC130625719	Clytia|LOC_001639
