Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydractiniaProteins
OG0005542	Xenia|LOC124454078	Hydractinia|LOC130645525
OG0005543	Xenia|LOC124443857	Hydractinia|LOC130645397
OG0005544	Xenia|LOC124443794	Hydractinia|LOC130645353
OG0005545	Xenia|LOC124443749	Hydractinia|LOC130645040
OG0005546	Xenia|LOC124439176	Hydractinia|LOC130655976
OG0005547	Xenia|LOC124445387	Hydractinia|LOC130655745
OG0005548	Xenia|LOC124446430	Hydractinia|LOC130654103
OG0005549	Xenia|LOC124438740	Hydractinia|LOC130654866
OG0005550	Xenia|LOC124445064	Hydractinia|LOC130655751
OG0005551	Xenia|LOC124446431	Hydractinia|LOC130654100
OG0005552	Xenia|LOC124439184	Hydractinia|LOC130654102
OG0005554	Xenia|LOC124443277	Hydractinia|LOC130621170
OG0005555	Xenia|LOC124439971	Hydractinia|LOC130622400
OG0005556	Xenia|LOC124433507	Hydractinia|LOC130622489
OG0005557	Xenia|LOC124440634	Hydractinia|LOC130621942
OG0005558	Xenia|LOC124450393	Hydractinia|LOC130654537
OG0005560	Xenia|LOC124445224	Hydractinia|LOC130653932
OG0005561	Xenia|LOC124451492	Hydractinia|LOC130654970
OG0005562	Xenia|LOC124439049	Hydractinia|LOC130654972
OG0005563	Xenia|LOC124443971	Hydractinia|LOC130655896
OG0005564	Xenia|LOC124452940	Hydractinia|LOC130614661
OG0005565	Xenia|LOC124436973	Hydractinia|LOC130613402
OG0005566	Xenia|LOC124433417	Hydractinia|LOC130647369
OG0005567	Xenia|LOC124453002	Hydractinia|LOC130647052
OG0005568	Xenia|LOC124433468	Hydractinia|LOC130647503
OG0005569	Xenia|LOC124433509	Hydractinia|LOC130647055
OG0005570	Xenia|LOC124452802	Hydractinia|LOC130647051
OG0005571	Xenia|LOC124453622	Hydractinia|LOC130626166
OG0005572	Xenia|LOC124452718	Hydractinia|LOC130629071
OG0005573	Xenia|LOC124453042	Hydractinia|LOC130628840
OG0005574	Xenia|LOC124452682	Hydractinia|LOC130628969
OG0005575	Xenia|LOC124453234	Hydractinia|LOC130628968
OG0005576	Xenia|LOC124454082	Hydractinia|LOC130612405
OG0005577	Xenia|LOC124438417	Hydractinia|LOC130612221
OG0005578	Xenia|LOC124438121	Hydractinia|LOC130612702
OG0005579	Xenia|LOC124457962	Hydractinia|LOC130662376
OG0005580	Xenia|LOC124439241	Hydractinia|LOC130662448
OG0005581	Xenia|LOC124452605	Hydractinia|LOC130662865
OG0005582	Xenia|LOC124438717	Hydractinia|LOC130612390
OG0005583	Xenia|LOC124444950	Hydractinia|LOC130644639
OG0005585	Xenia|LOC124441874	Hydractinia|LOC130645088
OG0005586	Xenia|LOC124440392	Hydractinia|LOC130644313
OG0005587	Xenia|LOC124453299	Hydractinia|LOC130641037
OG0005588	Xenia|LOC124444506	Hydractinia|LOC130641654
OG0005589	Xenia|LOC124453398	Hydractinia|LOC130642066
OG0005590	Xenia|LOC124444123	Hydractinia|LOC130642062
OG0005591	Xenia|LOC124458019	Hydractinia|LOC130647652
OG0005592	Xenia|LOC124448156	Hydractinia|LOC130647096
OG0005593	Xenia|LOC124433506	Hydractinia|LOC130647955
OG0005594	Xenia|LOC124459623	Hydractinia|LOC130647926
OG0005595	Xenia|LOC124447687	Hydractinia|LOC130647925
OG0005596	Xenia|LOC124452861	Hydractinia|LOC130647697
OG0005597	Xenia|LOC124433888	Hydractinia|LOC130647098
OG0005598	Xenia|LOC124453052	Hydractinia|LOC130647698
OG0005599	Xenia|LOC124433518	Hydractinia|LOC130647705
OG0005600	Xenia|LOC124459201	Hydractinia|LOC130647411
OG0005601	Xenia|LOC124442818	Hydractinia|LOC130647767
OG0005602	Xenia|LOC124447724	Hydractinia|LOC130648718
OG0005603	Xenia|LOC124452816	Hydractinia|LOC130640957
OG0005604	Xenia|LOC124452854	Hydractinia|LOC130640956
OG0005605	Xenia|LOC124453311	Hydractinia|LOC130641625
OG0005606	Xenia|LOC124453757	Hydractinia|LOC130641675
OG0005607	Xenia|LOC124438370	Hydractinia|LOC130662673
OG0005608	Xenia|LOC124452942	Hydractinia|LOC130641767
OG0005609	Xenia|LOC124453648	Hydractinia|LOC130640958
OG0005610	Xenia|LOC124444742	Hydractinia|LOC130641329
OG0005611	Xenia|LOC124444750	Hydractinia|LOC130642108
OG0005612	Xenia|LOC124452892	Hydractinia|LOC130640884
OG0005613	Xenia|LOC124452381	Hydractinia|LOC130641678
OG0005614	Xenia|LOC124445579	Hydractinia|LOC130629295
OG0005615	Xenia|LOC124452686	Hydractinia|LOC130628528
OG0005616	Xenia|LOC124453693	Hydractinia|LOC130628603
OG0005617	Xenia|LOC124452862	Hydractinia|LOC130628544
OG0005618	Xenia|LOC124438524	Hydractinia|LOC130629102
OG0005619	Xenia|LOC124443674	Hydractinia|LOC130624078
OG0005620	Xenia|LOC124434788	Hydractinia|LOC130623809
OG0005621	Xenia|LOC124434931	Hydractinia|LOC130623807
OG0005622	Xenia|LOC124434560	Hydractinia|LOC130623353
OG0005623	Xenia|LOC124445795	Hydractinia|LOC130654418
OG0005624	Xenia|LOC124452981	Hydractinia|LOC130655633
OG0005625	Xenia|LOC124445558	Hydractinia|LOC130655969
OG0005626	Xenia|LOC124446640	Hydractinia|LOC130654142
OG0005627	Xenia|LOC124454103	Hydractinia|LOC130645045
OG0005628	Xenia|LOC124444532	Hydractinia|LOC130644724
OG0005629	Xenia|LOC124440833	Hydractinia|LOC130622172
OG0005630	Xenia|LOC124438341	Hydractinia|LOC130621757
OG0005631	Xenia|LOC124433411	Hydractinia|LOC130621226
OG0005633	Xenia|LOC124435359	Hydractinia|LOC130621737
OG0005634	Xenia|LOC124443891	Hydractinia|LOC130645303
OG0005635	Xenia|LOC124447844	Hydractinia|LOC130644798
OG0005636	Xenia|LOC124444018	Hydractinia|LOC130644596
OG0005637	Xenia|LOC124443789	Hydractinia|LOC130644383
OG0005638	Xenia|LOC124443859	Hydractinia|LOC130645378
OG0005639	Xenia|LOC124444057	Hydractinia|LOC130645374
OG0005640	Xenia|LOC124442544	Hydractinia|LOC130645036
OG0005641	Xenia|LOC124443213	Hydractinia|LOC130657691
OG0005643	Xenia|LOC124442418	Hydractinia|LOC130656335
OG0005644	Xenia|LOC124443401	Hydractinia|LOC130657816
OG0005645	Xenia|LOC124454371	Hydractinia|LOC130657245
OG0005646	Xenia|LOC124441837	Hydractinia|LOC130657621
OG0005647	Xenia|LOC124442784	Hydractinia|LOC130656119
OG0005649	Xenia|LOC124443772	Hydractinia|LOC130656163
OG0005650	Xenia|LOC124451055	Hydractinia|LOC130656529
OG0005651	Xenia|LOC124441816	Hydractinia|LOC130657972
OG0005652	Xenia|LOC124450240	Hydractinia|LOC130656980
OG0005653	Xenia|LOC124441416	Hydractinia|LOC130657964
OG0005654	Xenia|LOC124442446	Hydractinia|LOC130656632
OG0005655	Xenia|LOC124442791	Hydractinia|LOC130656628
OG0005656	Xenia|LOC124441957	Hydractinia|LOC130657989
OG0005657	Xenia|LOC124439216	Hydractinia|LOC130662421
OG0005659	Xenia|LOC124449622	Hydractinia|LOC130662410
OG0005660	Xenia|LOC124454340	Hydractinia|LOC130612530
OG0005663	Xenia|LOC124443737	Hydractinia|LOC130641601
OG0005664	Xenia|LOC124452987	Hydractinia|LOC130641584
OG0005665	Xenia|LOC124444141	Hydractinia|LOC130641607
OG0005666	Xenia|LOC124443813	Hydractinia|LOC130641260
OG0005667	Xenia|LOC124452819	Hydractinia|LOC130641573
OG0005668	Xenia|LOC124453554	Hydractinia|LOC130641263
OG0005669	Xenia|LOC124453162	Hydractinia|LOC130641906
OG0005670	Xenia|LOC124447629	Hydractinia|LOC130649217
OG0005671	Xenia|LOC124448000	Hydractinia|LOC130649216
OG0005672	Xenia|LOC124449477	Hydractinia|LOC130649593
OG0005673	Xenia|LOC124448178	Hydractinia|LOC130648765
OG0005674	Xenia|LOC124449332	Hydractinia|LOC130648953
OG0005675	Xenia|LOC124448480	Hydractinia|LOC130649474
OG0005676	Xenia|LOC124443406	Hydractinia|LOC130656814
OG0005677	Xenia|LOC124452808	Hydractinia|LOC130641517
OG0005678	Xenia|LOC124453146	Hydractinia|LOC130641316
OG0005679	Xenia|LOC124453605	Hydractinia|LOC130640845
OG0005680	Xenia|LOC124443630	Hydractinia|LOC130645365
OG0005681	Xenia|LOC124442312	Hydractinia|LOC130645296
OG0005682	Xenia|LOC124443692	Hydractinia|LOC130654173
OG0005683	Xenia|LOC124442700	Hydractinia|LOC130630257
OG0005685	Xenia|LOC124443308	Hydractinia|LOC130630025
OG0005686	Xenia|LOC124444932	Hydractinia|LOC130630530
OG0005687	Xenia|LOC124453725	Hydractinia|LOC130630434
OG0005688	Xenia|LOC124452990	Hydractinia|LOC130629465
OG0005690	Xenia|LOC124440423	Hydractinia|LOC130648850
OG0005691	Xenia|LOC124452384	Hydractinia|LOC130622408
OG0005692	Xenia|LOC124439886	Hydractinia|LOC130622409
OG0005693	Xenia|LOC124440328	Hydractinia|LOC130622413
OG0005694	Xenia|LOC124447902	Hydractinia|LOC130648393
OG0005695	Xenia|LOC124455515	Hydractinia|LOC130649422
OG0005696	Xenia|LOC124448062	Hydractinia|LOC130649610
OG0005697	Xenia|LOC124449479	Hydractinia|LOC130648809
OG0005698	Xenia|LOC124443111	Hydractinia|LOC130656173
OG0005699	Xenia|LOC124449586	Hydractinia|LOC130649421
OG0005700	Xenia|LOC124442507	Hydractinia|LOC130648824
OG0005701	Xenia|LOC124444705	Hydractinia|LOC130644271
OG0005702	Xenia|LOC124442547	Hydractinia|LOC130644627
OG0005703	Xenia|LOC124449581	Hydractinia|LOC130630435
OG0005704	Xenia|LOC124442261	Hydractinia|LOC130645542
OG0005705	Xenia|LOC124452941	Hydractinia|LOC130640859
OG0005706	Xenia|LOC124444424	Hydractinia|LOC130644359
OG0005707	Xenia|LOC124443881	Hydractinia|LOC130645748
OG0005708	Xenia|LOC124444432	Hydractinia|LOC130644776
OG0005709	Xenia|LOC124444427	Hydractinia|LOC130644763
OG0005710	Xenia|LOC124441796	Hydractinia|LOC130645277
OG0005712	Xenia|LOC124443961	Hydractinia|LOC130644612
OG0005714	Xenia|LOC124455385	Hydractinia|LOC130648982
OG0005715	Xenia|LOC124447800	Hydractinia|LOC130649220
OG0005716	Xenia|LOC124447701	Hydractinia|LOC130648847
OG0005717	Xenia|LOC124453037	Hydractinia|LOC130657154
OG0005718	Xenia|LOC124441232	Hydractinia|LOC130656249
OG0005719	Xenia|LOC124441516	Hydractinia|LOC130656340
OG0005720	Xenia|LOC124444298	Hydractinia|LOC130656604
OG0005722	Xenia|LOC124456979	Hydractinia|LOC130645872
OG0005723	Xenia|LOC124448971	Hydractinia|LOC130646625
OG0005724	Xenia|LOC124433571	Hydractinia|LOC130646345
OG0005726	Xenia|LOC124456231	Hydractinia|LOC130646409
OG0005727	Xenia|LOC124443083	Hydractinia|LOC130644995
OG0005728	Xenia|LOC124444839	Hydractinia|LOC130644211
OG0005729	Xenia|LOC124441877	Hydractinia|LOC130623710
OG0005731	Xenia|LOC124454458	Hydractinia|LOC130646204, Hydractinia|LOC130644210
OG0005733	Xenia|LOC124445115	Hydractinia|LOC130630236
OG0005734	Xenia|LOC124440004	Hydractinia|LOC130630235
OG0005735	Xenia|LOC124433686	Hydractinia|LOC130629458
OG0005736	Xenia|LOC124437688	Hydractinia|LOC130630316
OG0005738	Xenia|LOC124446642	Hydractinia|LOC130629462
OG0005740	Xenia|LOC124448854	Hydractinia|LOC130647849
OG0005741	Xenia|LOC124458240	Hydractinia|LOC130640001
OG0005743	Xenia|LOC124433566	Hydractinia|LOC130643069
OG0005744	Xenia|LOC124452988	Hydractinia|LOC130641711
OG0005745	Xenia|LOC124452513	Hydractinia|LOC130641863
OG0005746	Xenia|LOC124452934	Hydractinia|LOC130641861
OG0005747	Xenia|LOC124445017	Hydractinia|LOC130645354
OG0005748	Xenia|LOC124445016	Hydractinia|LOC130645638
OG0005749	Xenia|LOC124453662	Hydractinia|LOC130645072
OG0005750	Xenia|LOC124444104	Hydractinia|LOC130641252
OG0005751	Xenia|LOC124446557	Hydractinia|LOC130641255
OG0005752	Xenia|LOC124443670	Hydractinia|LOC130641253
OG0005754	Xenia|LOC124441308	Hydractinia|LOC130641571
OG0005755	Xenia|LOC124444748	Hydractinia|LOC130641229
OG0005756	Xenia|LOC124453566	Hydractinia|LOC130641080
OG0005757	Xenia|LOC124441137	Hydractinia|LOC130640683
OG0005758	Xenia|LOC124434879	Hydractinia|LOC130622046
OG0005759	Xenia|LOC124439855	Hydractinia|LOC130622657
OG0005760	Xenia|LOC124440572	Hydractinia|LOC130621967
OG0005761	Xenia|LOC124447023	Hydractinia|LOC130647919
OG0005762	Xenia|LOC124459542	Hydractinia|LOC130647921
OG0005763	Xenia|LOC124456933	Hydractinia|LOC130647396
OG0005764	Xenia|LOC124459490	Hydractinia|LOC130647402
OG0005765	Xenia|LOC124459541	Hydractinia|LOC130647439
OG0005766	Xenia|LOC124459446	Hydractinia|LOC130647404
OG0005767	Xenia|LOC124451282	Hydractinia|LOC130647915
OG0005768	Xenia|LOC124445512	Hydractinia|LOC130646994
OG0005769	Xenia|LOC124447778	Hydractinia|LOC130647441
OG0005771	Xenia|LOC124433323	Hydractinia|LOC130647908
OG0005772	Xenia|LOC124459637	Hydractinia|LOC130646955
OG0005773	Xenia|LOC124435047	Hydractinia|LOC130646968
OG0005774	Xenia|LOC124447991	Hydractinia|LOC130648837
OG0005775	Xenia|LOC124443704	Hydractinia|LOC130614842
OG0005776	Xenia|LOC124436840	Hydractinia|LOC130614159
OG0005777	Xenia|LOC124445041	Hydractinia|LOC130628950
OG0005778	Xenia|LOC124437594	Hydractinia|LOC130613952
OG0005779	Xenia|LOC124437595	Hydractinia|LOC130613954
OG0005780	Xenia|LOC124437819	Hydractinia|LOC130613698
OG0005781	Xenia|LOC124453302	Hydractinia|LOC130614162
OG0005783	Xenia|LOC124436053	Hydractinia|LOC130613836
OG0005784	Xenia|LOC124436752	Hydractinia|LOC130614619
OG0005786	Xenia|LOC124436466	Hydractinia|LOC130614626
OG0005787	Xenia|LOC124437134	Hydractinia|LOC130614800
OG0005789	Xenia|LOC124436959	Hydractinia|LOC130614441
OG0005790	Xenia|LOC124437525	Hydractinia|LOC130614038
OG0005791	Xenia|LOC124436862	Hydractinia|LOC130614334
OG0005792	Xenia|LOC124437426	Hydractinia|LOC130614345
OG0005793	Xenia|LOC124437623	Hydractinia|LOC130614476
OG0005794	Xenia|LOC124450366	Hydractinia|LOC130614008
OG0005795	Xenia|LOC124438036	Hydractinia|LOC130614856
OG0005796	Xenia|LOC124455706	Hydractinia|LOC130662280
OG0005799	Xenia|LOC124438953	Hydractinia|LOC130662659
OG0005802	Xenia|LOC124453472	Hydractinia|LOC130628755
OG0005803	Xenia|LOC124433769	Hydractinia|LOC130628756
OG0005804	Xenia|LOC124434331	Hydractinia|LOC130623568
OG0005805	Xenia|LOC124455498	Hydractinia|LOC130622860
OG0005807	Xenia|LOC124434925	Hydractinia|LOC130623728
OG0005808	Xenia|LOC124434909	Hydractinia|LOC130623725
OG0005809	Xenia|LOC124436394	Hydractinia|LOC130623727
OG0005810	Xenia|LOC124434204	Hydractinia|LOC130625816
OG0005812	Xenia|LOC124435420	Hydractinia|LOC130626171
OG0005813	Xenia|LOC124445744	Hydractinia|LOC130625660
OG0005814	Xenia|LOC124434611	Hydractinia|LOC130625363
OG0005816	Xenia|LOC124434078	Hydractinia|LOC130624112
OG0005817	Xenia|LOC124448906	Hydractinia|LOC130649507
OG0005818	Xenia|LOC124442715	Hydractinia|LOC130648896
OG0005819	Xenia|LOC124456505	Hydractinia|LOC130648927
OG0005822	Xenia|LOC124441890	Hydractinia|LOC130656353
OG0005823	Xenia|LOC124451938	Hydractinia|LOC130656350
OG0005824	Xenia|LOC124442675	Hydractinia|LOC130656346
OG0005825	Xenia|LOC124441154	Hydractinia|LOC130656396
OG0005827	Xenia|LOC124433504	Hydractinia|LOC130646950
OG0005828	Xenia|LOC124458437	Hydractinia|LOC130647471
OG0005829	Xenia|LOC124459644	Hydractinia|LOC130647010
OG0005830	Xenia|LOC124457725	Hydractinia|LOC130647935
OG0005831	Xenia|LOC124451503	Hydractinia|LOC130647623
OG0005832	Xenia|LOC124455269	Hydractinia|LOC130647189
OG0005833	Xenia|LOC124453019	Hydractinia|LOC130647830
OG0005835	Xenia|LOC124455528	Hydractinia|LOC130647374
OG0005836	Xenia|LOC124452388	Hydractinia|LOC130641680
OG0005837	Xenia|LOC124444108	Hydractinia|LOC130641887
OG0005838	Xenia|LOC124453201	Hydractinia|LOC130641330
OG0005839	Xenia|LOC124452929	Hydractinia|LOC130641377
OG0005840	Xenia|LOC124444107	Hydractinia|LOC130642102
OG0005841	Xenia|LOC124444268	Hydractinia|LOC130641890
OG0005842	Xenia|LOC124444142	Hydractinia|LOC130641000
OG0005843	Xenia|LOC124442300	Hydractinia|LOC130640965
OG0005844	Xenia|LOC124434749	Hydractinia|LOC130642251
OG0005845	Xenia|LOC124442506	Hydractinia|LOC130657966
OG0005847	Xenia|LOC124433858	Hydractinia|LOC130657870
OG0005848	Xenia|LOC124442714	Hydractinia|LOC130656010
OG0005849	Xenia|LOC124441714	Hydractinia|LOC130656328
OG0005850	Xenia|LOC124441101	Hydractinia|LOC130656188
OG0005851	Xenia|LOC124455312	Hydractinia|LOC130656192
OG0005852	Xenia|LOC124441113	Hydractinia|LOC130656200
OG0005853	Xenia|LOC124443096	Hydractinia|LOC130656231
OG0005854	Xenia|LOC124441136	Hydractinia|LOC130657436
OG0005855	Xenia|LOC124446738	Hydractinia|LOC130654860
OG0005856	Xenia|LOC124447187	Hydractinia|LOC130654152
OG0005857	Xenia|LOC124438088	Hydractinia|LOC130655720
OG0005859	Xenia|LOC124452918	Hydractinia|LOC130629280
OG0005860	Xenia|LOC124441348	Hydractinia|LOC130655242
OG0005861	Xenia|LOC124452439	Hydractinia|LOC130640887
OG0005862	Xenia|LOC124444353	Hydractinia|LOC130612402
OG0005863	Xenia|LOC124439163	Hydractinia|LOC130662350
OG0005864	Xenia|LOC124452565	Hydractinia|LOC130641621
OG0005865	Xenia|LOC124453611	Hydractinia|LOC130640863
OG0005866	Xenia|LOC124454250	Hydractinia|LOC130662277
OG0005867	Xenia|LOC124444777	Hydractinia|LOC130640907
OG0005868	Xenia|LOC124435098	Hydractinia|LOC130642348
OG0005869	Xenia|LOC124453295	Hydractinia|LOC130641562
OG0005870	Xenia|LOC124444780	Hydractinia|LOC130640915
OG0005871	Xenia|LOC124453181	Hydractinia|LOC130640861
OG0005872	Xenia|LOC124444487	Hydractinia|LOC130641421
OG0005873	Xenia|LOC124442204	Hydractinia|LOC130657443
OG0005874	Xenia|LOC124441218	Hydractinia|LOC130657310
OG0005875	Xenia|LOC124436823	Hydractinia|LOC130656235
OG0005877	Xenia|LOC124438506	Hydractinia|LOC130657445
OG0005878	Xenia|LOC124433792	Hydractinia|LOC130624018
OG0005879	Xenia|LOC124442745	Hydractinia|LOC130624020
OG0005880	Xenia|LOC124434411	Hydractinia|LOC130623920
OG0005881	Xenia|LOC124434936	Hydractinia|LOC130623311
OG0005882	Xenia|LOC124440343	Hydractinia|LOC130622031
OG0005883	Xenia|LOC124437036	Hydractinia|LOC130621136
OG0005884	Xenia|LOC124456276	Hydractinia|LOC130621144
OG0005885	Xenia|LOC124442280	Hydractinia|LOC130622528
OG0005886	Xenia|LOC124450178	Hydractinia|LOC130647742
OG0005887	Xenia|LOC124435293	Hydractinia|LOC130623501
OG0005888	Xenia|LOC124433673	Hydractinia|LOC130623445
OG0005889	Xenia|LOC124434691	Hydractinia|LOC130623449
OG0005890	Xenia|LOC124458011	Hydractinia|LOC130623450
OG0005891	Xenia|LOC124446814	Hydractinia|LOC130636738
OG0005892	Xenia|LOC124445777	Hydractinia|LOC130636676
OG0005893	Xenia|LOC124446442	Hydractinia|LOC130636422
OG0005894	Xenia|LOC124445910	Hydractinia|LOC130636297
OG0005895	Xenia|LOC124445380	Hydractinia|LOC130636300
OG0005896	Xenia|LOC124444848	Hydractinia|LOC130636675
OG0005897	Xenia|LOC124444527	Hydractinia|LOC130630032
OG0005899	Xenia|LOC124445305	Hydractinia|LOC130654808
OG0005901	Xenia|LOC124459555	Hydractinia|LOC130647479
OG0005902	Xenia|LOC124459538	Hydractinia|LOC130647647
OG0005903	Xenia|LOC124457869	Hydractinia|LOC130647729
OG0005905	Xenia|LOC124451816	Hydractinia|LOC130646925
OG0005906	Xenia|LOC124438244	Hydractinia|LOC130636707
OG0005907	Xenia|LOC124446019	Hydractinia|LOC130654709
OG0005908	Xenia|LOC124446281	Hydractinia|LOC130654022
OG0005909	Xenia|LOC124443647	Hydractinia|LOC130655721
OG0005910	Xenia|LOC124442278	Hydractinia|LOC130656049
OG0005911	Xenia|LOC124450357	Hydractinia|LOC130654138
OG0005912	Xenia|LOC124447237	Hydractinia|LOC130654710
OG0005913	Xenia|LOC124443926	Hydractinia|LOC130655285
OG0005914	Xenia|LOC124433735	Hydractinia|LOC130654445
OG0005915	Xenia|LOC124451042	Hydractinia|LOC130654692
OG0005916	Xenia|LOC124445500	Hydractinia|LOC130654609
OG0005917	Xenia|LOC124447497	Hydractinia|LOC130654613
OG0005918	Xenia|LOC124447493	Hydractinia|LOC130655588
OG0005919	Xenia|LOC124453324	Hydractinia|LOC130655299
OG0005921	Xenia|LOC124445290	Hydractinia|LOC130655666
OG0005923	Xenia|LOC124443089	Hydractinia|LOC130645428
OG0005924	Xenia|LOC124441931	Hydractinia|LOC130645434
OG0005925	Xenia|LOC124442341	Hydractinia|LOC130646177, Hydractinia|LOC130644179
OG0005926	Xenia|LOC124443088	Hydractinia|LOC130645433
OG0005927	Xenia|LOC124442330	Hydractinia|LOC130644234
OG0005928	Xenia|LOC124440930	Hydractinia|LOC130645424
OG0005929	Xenia|LOC124451029	Hydractinia|LOC130662302
OG0005930	Xenia|LOC124439096	Hydractinia|LOC130612920
OG0005931	Xenia|LOC124455481	Hydractinia|LOC130662483
OG0005932	Xenia|LOC124459603	Hydractinia|LOC130612495
OG0005933	Xenia|LOC124454524	Hydractinia|LOC130612067
OG0005934	Xenia|LOC124439258	Hydractinia|LOC130612725
OG0005935	Xenia|LOC124452125	Hydractinia|LOC130662654
OG0005936	Xenia|LOC124448451	Hydractinia|LOC130662411
OG0005937	Xenia|LOC124454590	Hydractinia|LOC130662340
OG0005938	Xenia|LOC124434145	Hydractinia|LOC130625282
OG0005939	Xenia|LOC124434199	Hydractinia|LOC130625515
OG0005940	Xenia|LOC124434887	Hydractinia|LOC130626199
OG0005941	Xenia|LOC124436915	Hydractinia|LOC130641384
OG0005942	Xenia|LOC124444134	Hydractinia|LOC130641791
OG0005943	Xenia|LOC124444393	Hydractinia|LOC130641428
OG0005945	Xenia|LOC124439092	Hydractinia|LOC130612909
OG0005946	Xenia|LOC124439470	Hydractinia|LOC130645048
OG0005948	Xenia|LOC124448638	Hydractinia|LOC130630414
OG0005950	Xenia|LOC124446244	Hydractinia|LOC130655101
OG0005951	Xenia|LOC124435786	Hydractinia|LOC130656070
OG0005952	Xenia|LOC124442422	Hydractinia|LOC130657441
OG0005955	Xenia|LOC124441281	Hydractinia|LOC130657395
OG0005956	Xenia|LOC124441050	Hydractinia|LOC130657683
OG0005957	Xenia|LOC124443051	Hydractinia|LOC130657555
OG0005958	Xenia|LOC124446973	Hydractinia|LOC130657526
OG0005959	Xenia|LOC124441046	Hydractinia|LOC130657673
OG0005960	Xenia|LOC124442742	Hydractinia|LOC130657710
OG0005961	Xenia|LOC124441479	Hydractinia|LOC130657706
OG0005962	Xenia|LOC124434951	Hydractinia|LOC130623492
OG0005963	Xenia|LOC124433959	Hydractinia|LOC130622908
OG0005964	Xenia|LOC124435371	Hydractinia|LOC130623560
OG0005965	Xenia|LOC124435055	Hydractinia|LOC130623555
OG0005966	Xenia|LOC124434151	Hydractinia|LOC130624273
OG0005967	Xenia|LOC124435088	Hydractinia|LOC130623564
OG0005968	Xenia|LOC124434746	Hydractinia|LOC130623782
OG0005969	Xenia|LOC124446765	Hydractinia|LOC130624295
OG0005970	Xenia|LOC124436864	Hydractinia|LOC130614730
OG0005971	Xenia|LOC124436573	Hydractinia|LOC130614329
OG0005972	Xenia|LOC124459050	Hydractinia|LOC130614127
OG0005974	Xenia|LOC124442289	Hydractinia|LOC130645561
OG0005975	Xenia|LOC124443550	Hydractinia|LOC130645251
OG0005976	Xenia|LOC124443049	Hydractinia|LOC130656208
OG0005977	Xenia|LOC124442744	Hydractinia|LOC130656210
OG0005978	Xenia|LOC124443209	Hydractinia|LOC130656191
OG0005979	Xenia|LOC124442277	Hydractinia|LOC130656485
OG0005980	Xenia|LOC124443057	Hydractinia|LOC130656221
OG0005981	Xenia|LOC124452789	Hydractinia|LOC130656241
OG0005982	Xenia|LOC124453136	Hydractinia|LOC130657388
OG0005983	Xenia|LOC124452253	Hydractinia|LOC130657399
OG0005984	Xenia|LOC124442647	Hydractinia|LOC130657671
OG0005985	Xenia|LOC124441827	Hydractinia|LOC130656593
OG0005986	Xenia|LOC124443515	Hydractinia|LOC130657005
OG0005987	Xenia|LOC124442288	Hydractinia|LOC130644588
OG0005988	Xenia|LOC124442196	Hydractinia|LOC130645888, Hydractinia|LOC130645657
OG0005989	Xenia|LOC124451425	Hydractinia|LOC130629782
OG0005990	Xenia|LOC124442497	Hydractinia|LOC130645121
OG0005991	Xenia|LOC124445090	Hydractinia|LOC130644464
OG0005992	Xenia|LOC124439553	Hydractinia|LOC130612252
OG0005993	Xenia|LOC124443709	Hydractinia|LOC130612451
OG0005994	Xenia|LOC124438319	Hydractinia|LOC130613061
OG0005995	Xenia|LOC124439172	Hydractinia|LOC130612169
OG0005997	Xenia|LOC124453331	Hydractinia|LOC130629279
OG0005998	Xenia|LOC124436563	Hydractinia|LOC130629285
OG0006000	Xenia|LOC124433310	Hydractinia|LOC130645113
OG0006001	Xenia|LOC124447414	Hydractinia|LOC130654279
OG0006002	Xenia|LOC124445741	Hydractinia|LOC130655522
OG0006003	Xenia|LOC124434868	Hydractinia|LOC130623472
OG0006004	Xenia|LOC124443945	Hydractinia|LOC130644561
OG0006005	Xenia|LOC124444352	Hydractinia|LOC130645061
OG0006006	Xenia|LOC124444414	Hydractinia|LOC130645248
OG0006007	Xenia|LOC124444413	Hydractinia|LOC130645249
OG0006008	Xenia|LOC124444186	Hydractinia|LOC130645566
OG0006009	Xenia|LOC124434878	Hydractinia|LOC130625360
OG0006010	Xenia|LOC124434193	Hydractinia|LOC130625021
OG0006011	Xenia|LOC124435399	Hydractinia|LOC130625688
OG0006012	Xenia|LOC124435524	Hydractinia|LOC130626140
OG0006013	Xenia|LOC124433364	Hydractinia|LOC130647940
OG0006014	Xenia|LOC124447758	Hydractinia|LOC130646941
OG0006015	Xenia|LOC124450776	Hydractinia|LOC130647394
OG0006016	Xenia|LOC124434514	Hydractinia|LOC130655082
OG0006017	Xenia|LOC124446269	Hydractinia|LOC130655081
OG0006018	Xenia|LOC124443687	Hydractinia|LOC130654816
OG0006019	Xenia|LOC124444929	Hydractinia|LOC130641464
OG0006020	Xenia|LOC124451507	Hydractinia|LOC130646957
OG0006021	Xenia|LOC124459579	Hydractinia|LOC130646978
OG0006022	Xenia|LOC124458833	Hydractinia|LOC130646979
OG0006023	Xenia|LOC124459599	Hydractinia|LOC130646976
OG0006024	Xenia|LOC124457394	Hydractinia|LOC130641462
OG0006025	Xenia|LOC124444473	Hydractinia|LOC130641459
OG0006026	Xenia|LOC124446722	Hydractinia|LOC130655895
OG0006027	Xenia|LOC124446434	Hydractinia|LOC130655489
