Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydraProteins
OG0005813	Xenia|LOC124445744	Hydra|LOC100215311
OG0005814	Xenia|LOC124434611	Hydra|LOC100206014
OG0005816	Xenia|LOC124434078	Hydra|LOC100201326
OG0005817	Xenia|LOC124448906	Hydra|LOC100210875
OG0005818	Xenia|LOC124442715	Hydra|LOC100205695
OG0005822	Xenia|LOC124441890	Hydra|LOC100203646
OG0005823	Xenia|LOC124451938	Hydra|LOC100207375
OG0005824	Xenia|LOC124442675	Hydra|LOC100205438
OG0005825	Xenia|LOC124441154	Hydra|LOC100202750
OG0005827	Xenia|LOC124433504	Hydra|LOC100212617
OG0005828	Xenia|LOC124458437	Hydra|LOC100209939
OG0005829	Xenia|LOC124459644	Hydra|LOC100215902
OG0005830	Xenia|LOC124457725	Hydra|LOC105844905
OG0005831	Xenia|LOC124451503	Hydra|LOC100203261
OG0005832	Xenia|LOC124455269	Hydra|LOC100215473
OG0005833	Xenia|LOC124453019	Hydra|LOC100198204
OG0005835	Xenia|LOC124455528	Hydra|LOC100197122
OG0005836	Xenia|LOC124452388	Hydra|LOC100202285
OG0005837	Xenia|LOC124444108	Hydra|LOC100207865
OG0005838	Xenia|LOC124453201	Hydra|LOC100211186
OG0005839	Xenia|LOC124452929	Hydra|LOC100203097
OG0005840	Xenia|LOC124444107	Hydra|LOC100210622
OG0005841	Xenia|LOC124444268	Hydra|LOC100212018
OG0005842	Xenia|LOC124444142	Hydra|LOC105844590
OG0005843	Xenia|LOC124442300	Hydra|LOC100201566
OG0005844	Xenia|LOC124434749	Hydra|LOC124812631
OG0005845	Xenia|LOC124442506	Hydra|LOC101239078
OG0005847	Xenia|LOC124433858	Hydra|LOC105848335
OG0005848	Xenia|LOC124442714	Hydra|LOC100203860
OG0005849	Xenia|LOC124441714	Hydra|LOC100200262
OG0005850	Xenia|LOC124441101	Hydra|LOC101239940
OG0005851	Xenia|LOC124455312	Hydra|LOC100210639
OG0005852	Xenia|LOC124441113	Hydra|LOC100204848
OG0005853	Xenia|LOC124443096	Hydra|LOC100202837
OG0005854	Xenia|LOC124441136	Hydra|LOC101237664
OG0005855	Xenia|LOC124446738	Hydra|LOC100215990
OG0005856	Xenia|LOC124447187	Hydra|LOC100206317
OG0005857	Xenia|LOC124438088	Hydra|LOC100199185
OG0005859	Xenia|LOC124452918	Hydra|LOC100197891
OG0005860	Xenia|LOC124441348	Hydra|LOC100208446
OG0005861	Xenia|LOC124452439	Hydra|LOC101235407
OG0005862	Xenia|LOC124444353	Hydra|LOC101238394
OG0005863	Xenia|LOC124439163	Hydra|LOC100200280
OG0005864	Xenia|LOC124452565	Hydra|LOC100208388
OG0005865	Xenia|LOC124453611	Hydra|LOC100211328
OG0005866	Xenia|LOC124454250	Hydra|LOC100207261
OG0005867	Xenia|LOC124444777	Hydra|LOC100212062
OG0005869	Xenia|LOC124453295	Hydra|LOC100197993
OG0005870	Xenia|LOC124444780	Hydra|LOC105849645
OG0005871	Xenia|LOC124453181	Hydra|LOC100209365
OG0005872	Xenia|LOC124444487	Hydra|LOC100208062
OG0005873	Xenia|LOC124442204	Hydra|LOC101235320
OG0005874	Xenia|LOC124441218	Hydra|LOC100213493
OG0005875	Xenia|LOC124436823	Hydra|LOC100215765
OG0005877	Xenia|LOC124438506	Hydra|LOC100213496
OG0005878	Xenia|LOC124433792	Hydra|LOC100215936
OG0005879	Xenia|LOC124442745	Hydra|LOC124816458
OG0005880	Xenia|LOC124434411	Hydra|LOC100199751
OG0005881	Xenia|LOC124434936	Hydra|LOC100199518
OG0005882	Xenia|LOC124440343	Hydra|LOC100197448
OG0005883	Xenia|LOC124437036	Hydra|LOC101239796
OG0005884	Xenia|LOC124456276	Hydra|LOC100203371
OG0005885	Xenia|LOC124442280	Hydra|LOC100206502
OG0005886	Xenia|LOC124450178	Hydra|LOC100203888
OG0005887	Xenia|LOC124435293	Hydra|LOC105844957
OG0005888	Xenia|LOC124433673	Hydra|LOC100213926
OG0005889	Xenia|LOC124434691	Hydra|LOC100204268
OG0005890	Xenia|LOC124458011	Hydra|LOC100203074
OG0005891	Xenia|LOC124446814	Hydra|LOC100215233
OG0005892	Xenia|LOC124445777	Hydra|LOC100200184
OG0005893	Xenia|LOC124446442	Hydra|LOC100200459
OG0005894	Xenia|LOC124445910	Hydra|LOC100197109
OG0005895	Xenia|LOC124445380	Hydra|LOC100206898
OG0005896	Xenia|LOC124444848	Hydra|LOC105844305
OG0005897	Xenia|LOC124444527	Hydra|LOC101241202
OG0005899	Xenia|LOC124445305	Hydra|LOC100208519
OG0005901	Xenia|LOC124459555	Hydra|LOC100208928
OG0005902	Xenia|LOC124459538	Hydra|LOC100213056
OG0005903	Xenia|LOC124457869	Hydra|LOC100214317
OG0005905	Xenia|LOC124451816	Hydra|LOC100203102
OG0005906	Xenia|LOC124438244	Hydra|LOC101235736
OG0005907	Xenia|LOC124446019	Hydra|LOC101238131
OG0005908	Xenia|LOC124446281	Hydra|LOC100204514
OG0005909	Xenia|LOC124443647	Hydra|LOC101240357
OG0005910	Xenia|LOC124442278	Hydra|LOC100197921
OG0005911	Xenia|LOC124450357	Hydra|LOC100197152
OG0005912	Xenia|LOC124447237	Hydra|LOC100211135
OG0005913	Xenia|LOC124443926	Hydra|LOC100200155
OG0005914	Xenia|LOC124433735	Hydra|LOC100211839
OG0005915	Xenia|LOC124451042	Hydra|LOC100206344
OG0005916	Xenia|LOC124445500	Hydra|LOC100210408
OG0005917	Xenia|LOC124447497	Hydra|LOC100200846
OG0005918	Xenia|LOC124447493	Hydra|LOC100205727
OG0005919	Xenia|LOC124453324	Hydra|LOC100198049
OG0005921	Xenia|LOC124445290	Hydra|LOC100209290
OG0005923	Xenia|LOC124443089	Hydra|LOC100204675
OG0005924	Xenia|LOC124441931	Hydra|LOC100201458
OG0005926	Xenia|LOC124443088	Hydra|LOC101238202
OG0005927	Xenia|LOC124442330	Hydra|LOC101239880
OG0005928	Xenia|LOC124440930	Hydra|LOC100213308
OG0005929	Xenia|LOC124451029	Hydra|LOC100197014
OG0005930	Xenia|LOC124439096	Hydra|LOC100211824
OG0005931	Xenia|LOC124455481	Hydra|LOC100209514
OG0005932	Xenia|LOC124459603	Hydra|LOC100198712
OG0005933	Xenia|LOC124454524	Hydra|LOC100197472
OG0005934	Xenia|LOC124439258	Hydra|LOC101237477
OG0005935	Xenia|LOC124452125	Hydra|LOC100198755
OG0005936	Xenia|LOC124448451	Hydra|LOC100198688
OG0005937	Xenia|LOC124454590	Hydra|LOC100204904
OG0005938	Xenia|LOC124434145	Hydra|LOC100200952
OG0005939	Xenia|LOC124434199	Hydra|LOC100197068
OG0005940	Xenia|LOC124434887	Hydra|LOC100208922
OG0005941	Xenia|LOC124436915	Hydra|LOC100202801
OG0005942	Xenia|LOC124444134	Hydra|LOC100209244
OG0005943	Xenia|LOC124444393	Hydra|LOC100197103
OG0005945	Xenia|LOC124439092	Hydra|LOC100198790
OG0005946	Xenia|LOC124439470	Hydra|LOC100214560
OG0005948	Xenia|LOC124448638	Hydra|LOC100215977
OG0005950	Xenia|LOC124446244	Hydra|LOC100200563
OG0005951	Xenia|LOC124435786	Hydra|LOC100205934
OG0005955	Xenia|LOC124441281	Hydra|LOC100204985
OG0005956	Xenia|LOC124441050	Hydra|LOC100203527
OG0005957	Xenia|LOC124443051	Hydra|LOC100207519
OG0005958	Xenia|LOC124446973	Hydra|LOC100204276
OG0005959	Xenia|LOC124441046	Hydra|LOC100215338
OG0005960	Xenia|LOC124442742	Hydra|LOC100197910
OG0005961	Xenia|LOC124441479	Hydra|LOC100200252
OG0005962	Xenia|LOC124434951	Hydra|LOC100209819
OG0005963	Xenia|LOC124433959	Hydra|LOC101238546
OG0005964	Xenia|LOC124435371	Hydra|LOC100214100
OG0005965	Xenia|LOC124435055	Hydra|LOC105845146
OG0005966	Xenia|LOC124434151	Hydra|LOC100201496
OG0005967	Xenia|LOC124435088	Hydra|LOC100214906
OG0005968	Xenia|LOC124434746	Hydra|LOC100208955
OG0005969	Xenia|LOC124446765	Hydra|LOC100199494
OG0005970	Xenia|LOC124436864	Hydra|LOC100207346
OG0005971	Xenia|LOC124436573	Hydra|LOC100202785
OG0005972	Xenia|LOC124459050	Hydra|LOC101236897
OG0005974	Xenia|LOC124442289	Hydra|LOC100209741
OG0005975	Xenia|LOC124443550	Hydra|LOC100213444
OG0005976	Xenia|LOC124443049	Hydra|LOC101240885
OG0005977	Xenia|LOC124442744	Hydra|LOC100200083
OG0005978	Xenia|LOC124443209	Hydra|LOC100211848
OG0005979	Xenia|LOC124442277	Hydra|LOC100200080
OG0005980	Xenia|LOC124443057	Hydra|LOC100199620
OG0005981	Xenia|LOC124452789	Hydra|LOC100201608
OG0005982	Xenia|LOC124453136	Hydra|LOC100192244
OG0005983	Xenia|LOC124452253	Hydra|LOC100215799
OG0005984	Xenia|LOC124442647	Hydra|LOC100197180
OG0005985	Xenia|LOC124441827	Hydra|LOC100207301
OG0005986	Xenia|LOC124443515	Hydra|LOC100197286
OG0005987	Xenia|LOC124442288	Hydra|LOC100201369
OG0005989	Xenia|LOC124451425	Hydra|LOC100211878
OG0005990	Xenia|LOC124442497	Hydra|LOC100199460
OG0005991	Xenia|LOC124445090	Hydra|LOC100214482
OG0005992	Xenia|LOC124439553	Hydra|LOC100198798
OG0005993	Xenia|LOC124443709	Hydra|LOC100206581
OG0005994	Xenia|LOC124438319	Hydra|LOC100212027
OG0005995	Xenia|LOC124439172	Hydra|LOC101240789
OG0005997	Xenia|LOC124453331	Hydra|LOC100203681
OG0005998	Xenia|LOC124436563	Hydra|LOC100208338
OG0006000	Xenia|LOC124433310	Hydra|LOC101239410
OG0006001	Xenia|LOC124447414	Hydra|LOC100211821
OG0006002	Xenia|LOC124445741	Hydra|LOC101240941
OG0006003	Xenia|LOC124434868	Hydra|LOC100206534
OG0006004	Xenia|LOC124443945	Hydra|LOC100197638
OG0006005	Xenia|LOC124444352	Hydra|LOC100206713
OG0006006	Xenia|LOC124444414	Hydra|LOC100209165
OG0006007	Xenia|LOC124444413	Hydra|LOC100200273
OG0006008	Xenia|LOC124444186	Hydra|LOC100215829
OG0006009	Xenia|LOC124434878	Hydra|LOC100200299
OG0006010	Xenia|LOC124434193	Hydra|LOC100202589
OG0006011	Xenia|LOC124435399	Hydra|LOC100206203
OG0006012	Xenia|LOC124435524	Hydra|LOC100207790
OG0006013	Xenia|LOC124433364	Hydra|LOC100202596
OG0006014	Xenia|LOC124447758	Hydra|LOC100212766
OG0006015	Xenia|LOC124450776	Hydra|LOC124818397
OG0006016	Xenia|LOC124434514	Hydra|LOC100214413
OG0006017	Xenia|LOC124446269	Hydra|LOC100205356
OG0006018	Xenia|LOC124443687	Hydra|LOC100199956
OG0006019	Xenia|LOC124444929	Hydra|LOC100209228
OG0006020	Xenia|LOC124451507	Hydra|LOC100197376
OG0006021	Xenia|LOC124459579	Hydra|LOC100212437
OG0006022	Xenia|LOC124458833	Hydra|LOC101235794
OG0006023	Xenia|LOC124459599	Hydra|LOC100207412
OG0006024	Xenia|LOC124457394	Hydra|LOC100207609
OG0006025	Xenia|LOC124444473	Hydra|LOC101238823
OG0006026	Xenia|LOC124446722	Hydra|LOC100201029
OG0006027	Xenia|LOC124446434	Hydra|LOC100198735
OG0006028	Xenia|LOC124445642	Hydra|LOC100211792
OG0006029	Xenia|LOC124455117	Hydra|LOC100202899
OG0006030	Xenia|LOC124440962	Hydra|LOC100201218
OG0006032	Xenia|LOC124441179	Hydra|LOC100211263
OG0006033	Xenia|LOC124444719	Hydra|LOC105849675
OG0006034	Xenia|LOC124439479	Hydra|LOC100213346
OG0006035	Xenia|LOC124442306	Hydra|LOC101237374
OG0006036	Xenia|LOC124441472	Hydra|LOC100198494
OG0006037	Xenia|LOC124444020	Hydra|LOC105850835
OG0006039	Xenia|LOC124434889	Hydra|LOC100197474
OG0006040	Xenia|LOC124445772	Hydra|LOC101240432
OG0006041	Xenia|LOC124445824	Hydra|LOC100210324
OG0006042	Xenia|LOC124441729	Hydra|LOC100202490
OG0006043	Xenia|LOC124445639	Hydra|LOC100210160
OG0006044	Xenia|LOC124439087	Hydra|LOC100205986
OG0006045	Xenia|LOC124453685	Hydra|LOC101237954
OG0006048	Xenia|LOC124442217	Hydra|LOC100198162
OG0006049	Xenia|LOC124452732	Hydra|LOC100205297
OG0006051	Xenia|LOC124447804	Hydra|LOC100198745
OG0006052	Xenia|LOC124458644	Hydra|LOC100199322
OG0006053	Xenia|LOC124458596	Hydra|LOC105843188
OG0006054	Xenia|LOC124448332	Hydra|LOC101241576
OG0006056	Xenia|LOC124454322	Hydra|LOC101241064
OG0006057	Xenia|LOC124440060	Hydra|LOC100214791
OG0006058	Xenia|LOC124438498	Hydra|LOC100207974
OG0006059	Xenia|LOC124446077	Hydra|LOC105847189
OG0006061	Xenia|LOC124434984	Hydra|LOC100201172
OG0006062	Xenia|LOC124434550	Hydra|LOC101236736
OG0006064	Xenia|LOC124434976	Hydra|LOC100200315
OG0006065	Xenia|LOC124445264	Hydra|LOC100215133
OG0006066	Xenia|LOC124447164	Hydra|LOC100198476
OG0006067	Xenia|LOC124445962	Hydra|LOC100208241
OG0006068	Xenia|LOC124446417	Hydra|LOC101238884
OG0006069	Xenia|LOC124445953	Hydra|LOC100203089
OG0006070	Xenia|LOC124445427	Hydra|LOC101238115
OG0006071	Xenia|LOC124451993	Hydra|LOC100209743
OG0006072	Xenia|LOC124447494	Hydra|LOC100206129
OG0006073	Xenia|LOC124445072	Hydra|LOC101239554
OG0006074	Xenia|LOC124452853	Hydra|LOC100200892
OG0006075	Xenia|LOC124445901	Hydra|LOC100215348
OG0006076	Xenia|LOC124445801	Hydra|LOC100205716
OG0006079	Xenia|LOC124449686	Hydra|LOC100211172
OG0006080	Xenia|LOC124452414	Hydra|LOC100212302
OG0006081	Xenia|LOC124452737	Hydra|LOC100199716
OG0006082	Xenia|LOC124448470	Hydra|LOC100211784
OG0006084	Xenia|LOC124445898	Hydra|LOC100209343
OG0006085	Xenia|LOC124446646	Hydra|LOC100211895
OG0006086	Xenia|LOC124459476	Hydra|LOC100197731
OG0006087	Xenia|LOC124450999	Hydra|LOC100197688
OG0006088	Xenia|LOC124439850	Hydra|LOC100212258
OG0006089	Xenia|LOC124445975	Hydra|LOC100202999
OG0006090	Xenia|LOC124447412	Hydra|LOC100199738
OG0006091	Xenia|LOC124445172	Hydra|LOC100215426
OG0006092	Xenia|LOC124451045	Hydra|LOC100214952
OG0006093	Xenia|LOC124439848	Hydra|LOC100200963
OG0006094	Xenia|LOC124458496	Hydra|LOC101236092
OG0006095	Xenia|LOC124448454	Hydra|LOC100206792
OG0006096	Xenia|LOC124448457	Hydra|LOC100206389
OG0006097	Xenia|LOC124434455	Hydra|LOC100215823
OG0006098	Xenia|LOC124434490	Hydra|LOC100198148
OG0006099	Xenia|LOC124457263	Hydra|LOC100202564
OG0006100	Xenia|LOC124445033	Hydra|LOC100206421
OG0006101	Xenia|LOC124439276	Hydra|LOC100203922
OG0006102	Xenia|LOC124438854	Hydra|LOC100198441
OG0006103	Xenia|LOC124454671	Hydra|LOC101234743
OG0006104	Xenia|LOC124453003	Hydra|LOC100205823
OG0006105	Xenia|LOC124439233	Hydra|LOC100213235
OG0006106	Xenia|LOC124439512	Hydra|LOC100213315
OG0006107	Xenia|LOC124441117	Hydra|LOC101238916
OG0006108	Xenia|LOC124439987	Hydra|LOC100210625
OG0006109	Xenia|LOC124440667	Hydra|LOC100203252
OG0006110	Xenia|LOC124439510	Hydra|LOC100208667
OG0006111	Xenia|LOC124448921	Hydra|LOC100202736
OG0006112	Xenia|LOC124447617	Hydra|LOC100212896
OG0006113	Xenia|LOC124437628	Hydra|LOC100215581
OG0006114	Xenia|LOC124437030	Hydra|LOC100215148
OG0006115	Xenia|LOC124437834	Hydra|LOC100205632
OG0006116	Xenia|LOC124437269	Hydra|LOC100200489
OG0006117	Xenia|LOC124441278	Hydra|LOC100213376
OG0006118	Xenia|LOC124441489	Hydra|LOC100198075
OG0006119	Xenia|LOC124434170	Hydra|LOC100198778
OG0006120	Xenia|LOC124435749	Hydra|LOC100201760
OG0006121	Xenia|LOC124444686	Hydra|LOC101241060
OG0006122	Xenia|LOC124440009	Hydra|LOC100212252
OG0006123	Xenia|LOC124435092	Hydra|LOC100198384
OG0006124	Xenia|LOC124433809	Hydra|LOC100210907
OG0006125	Xenia|LOC124433932	Hydra|LOC100211142
OG0006126	Xenia|LOC124451925	Hydra|LOC100206478
OG0006127	Xenia|LOC124457481	Hydra|LOC100202061
OG0006128	Xenia|LOC124451103	Hydra|LOC100209617
OG0006130	Xenia|LOC124448369	Hydra|LOC100197802
OG0006131	Xenia|LOC124442724	Hydra|LOC100200534
OG0006132	Xenia|LOC124441298	Hydra|LOC100209633
OG0006133	Xenia|LOC124445256	Hydra|LOC100198323
OG0006134	Xenia|LOC124433260	Hydra|LOC100213563
OG0006136	Xenia|LOC124440005	Hydra|LOC101239321
OG0006137	Xenia|LOC124459595	Hydra|LOC100211834
OG0006138	Xenia|LOC124438989	Hydra|LOC100201097
OG0006139	Xenia|LOC124439496	Hydra|LOC100210679
OG0006140	Xenia|LOC124439484	Hydra|LOC105846215
OG0006141	Xenia|LOC124447405	Hydra|LOC101238459
OG0006142	Xenia|LOC124438604	Hydra|LOC100214258
OG0006144	Xenia|LOC124441817	Hydra|LOC100210831
OG0006145	Xenia|LOC124447259	Hydra|LOC100201905
OG0006146	Xenia|LOC124439162	Hydra|LOC100205270
OG0006147	Xenia|LOC124442760	Hydra|LOC100204922
OG0006148	Xenia|LOC124443974	Hydra|LOC100207468
OG0006149	Xenia|LOC124456198	Hydra|LOC101236616
OG0006150	Xenia|LOC124444677	Hydra|LOC101238455
OG0006151	Xenia|LOC124437809	Hydra|LOC100198762
OG0006152	Xenia|LOC124451833	Hydra|LOC100200523
OG0006153	Xenia|LOC124453028	Hydra|LOC100205936
OG0006154	Xenia|LOC124436360	Hydra|LOC100206660
OG0006155	Xenia|LOC124450986	Hydra|LOC100198973
OG0006156	Xenia|LOC124453306	Hydra|LOC100207358
OG0006158	Xenia|LOC124435029	Hydra|LOC100204758
OG0006159	Xenia|LOC124453617	Hydra|LOC100211925
OG0006161	Xenia|LOC124434109	Hydra|LOC100208542
OG0006162	Xenia|LOC124452630	Hydra|LOC100208000
OG0006163	Xenia|LOC124453640	Hydra|LOC101238737
OG0006164	Xenia|LOC124452537	Hydra|LOC100210427
OG0006165	Xenia|LOC124450677	Hydra|LOC101235394
OG0006166	Xenia|LOC124441353	Hydra|LOC101239699
OG0006167	Xenia|LOC124456154	Hydra|LOC101236080
OG0006168	Xenia|LOC124459572	Hydra|LOC101238046
OG0006169	Xenia|LOC124456170	Hydra|LOC105850724
OG0006170	Xenia|LOC124433784	Hydra|LOC100199317
OG0006172	Xenia|LOC124443038	Hydra|LOC100201609
OG0006173	Xenia|LOC124442589	Hydra|LOC100207629
OG0006174	Xenia|LOC124442625	Hydra|LOC100212278
OG0006175	Xenia|LOC124443249	Hydra|LOC100215881
OG0006176	Xenia|LOC124440913	Hydra|LOC100212477
OG0006177	Xenia|LOC124442631	Hydra|LOC105846721
OG0006178	Xenia|LOC124443592	Hydra|LOC105850867
OG0006179	Xenia|LOC124442747	Hydra|LOC100211346
OG0006180	Xenia|LOC124444214	Hydra|LOC100213437
OG0006181	Xenia|LOC124456269	Hydra|LOC100209130
OG0006182	Xenia|LOC124440759	Hydra|LOC100204486
OG0006183	Xenia|LOC124433346	Hydra|LOC101240051
OG0006184	Xenia|LOC124447972	Hydra|LOC100209134
OG0006185	Xenia|LOC124438976	Hydra|LOC100211036
OG0006187	Xenia|LOC124442017	Hydra|LOC100200456
OG0006188	Xenia|LOC124440301	Hydra|LOC100215978
OG0006189	Xenia|LOC124453165	Hydra|LOC100205848
OG0006190	Xenia|LOC124440134	Hydra|LOC100200111
OG0006191	Xenia|LOC124434549	Hydra|LOC101236869
OG0006192	Xenia|LOC124443104	Hydra|LOC100204041
OG0006193	Xenia|LOC124446917	Hydra|LOC100207562
OG0006194	Xenia|LOC124446547	Hydra|LOC100213121
OG0006195	Xenia|LOC124433338	Hydra|LOC100208044
OG0006196	Xenia|LOC124445393	Hydra|LOC100210123
OG0006197	Xenia|LOC124439067	Hydra|LOC100199026
OG0006198	Xenia|LOC124438436	Hydra|LOC100202971
OG0006199	Xenia|LOC124452602	Hydra|LOC100211473
OG0006200	Xenia|LOC124452734	Hydra|LOC101241588
OG0006201	Xenia|LOC124459217	Hydra|LOC100205524
OG0006203	Xenia|LOC124454081	Hydra|LOC100214136
OG0006204	Xenia|LOC124441772	Hydra|LOC100199383
OG0006205	Xenia|LOC124442977	Hydra|LOC100213887
OG0006206	Xenia|LOC124442788	Hydra|LOC100198164
OG0006207	Xenia|LOC124443031	Hydra|LOC100215175
OG0006208	Xenia|LOC124441713	Hydra|LOC101241639
OG0006209	Xenia|LOC124443624	Hydra|LOC100206393
OG0006210	Xenia|LOC124457932	Hydra|LOC105845602
OG0006211	Xenia|LOC124447921	Hydra|LOC100210298
OG0006212	Xenia|LOC124449849	Hydra|LOC100202047
OG0006213	Xenia|LOC124448466	Hydra|LOC100199663
OG0006214	Xenia|LOC124447515	ecd
OG0006215	Xenia|LOC124452939	Hydra|LOC100197415
OG0006217	Xenia|LOC124439827	Hydra|LOC100212727
OG0006219	Xenia|LOC124449588	Hydra|LOC101239894
OG0006220	Xenia|LOC124448355	Hydra|LOC100210037
OG0006221	Xenia|LOC124446903	Hydra|LOC100208792
OG0006222	Xenia|LOC124443702	Hydra|LOC101236590
OG0006223	Xenia|LOC124452649	Hydra|LOC100205568
OG0006225	Xenia|LOC124441978	Hydra|LOC100209249
OG0006226	Xenia|LOC124451882	Hydra|LOC101235404
OG0006227	Xenia|LOC124439105	Hydra|LOC100211293
OG0006231	Xenia|LOC124433524	Hydra|LOC100199081
OG0006232	Xenia|LOC124433773	Hydra|LOC100201756
OG0006234	Xenia|LOC124441286	Hydra|LOC100206028
OG0006235	Xenia|LOC124442790	Hydra|LOC100201178
OG0006236	Xenia|LOC124441755	Hydra|LOC101238567
OG0006237	Xenia|LOC124444621	Hydra|LOC100203843
OG0006238	Xenia|LOC124443500	Hydra|LOC100214612
OG0006239	Xenia|LOC124442851	Hydra|LOC100209171
OG0006240	Xenia|LOC124453675	Hydra|LOC101236408
OG0006241	Xenia|LOC124437431	Hydra|LOC124816658
OG0006242	Xenia|LOC124435313	Hydra|LOC101239895
OG0006243	Xenia|LOC124435713	Hydra|LOC100214984
OG0006244	Xenia|LOC124436154	Hydra|LOC101234591
OG0006245	Xenia|LOC124441267	Hydra|LOC100215128
OG0006246	Xenia|LOC124452600	Hydra|LOC100211490
OG0006247	Xenia|LOC124441730	Hydra|LOC100211537
OG0006248	Xenia|LOC124443109	Hydra|LOC105847710
OG0006249	Xenia|LOC124449415	Hydra|LOC100201462
OG0006250	Xenia|LOC124441836	Hydra|LOC105845510
OG0006251	Xenia|LOC124441691	Hydra|LOC105847469
OG0006252	Xenia|LOC124453202	Hydra|LOC100199176
OG0006253	Xenia|LOC124448406	Hydra|LOC100201622
OG0006254	Xenia|LOC124447720	Hydra|LOC100209007
OG0006255	Xenia|LOC124449430	Hydra|LOC100215841
OG0006256	Xenia|LOC124433537	Hydra|LOC100204292
OG0006257	Xenia|LOC124447315	Hydra|LOC101240901
OG0006258	Xenia|LOC124447505	Hydra|LOC100208772
OG0006259	Xenia|LOC124449559	Hydra|LOC100200645
OG0006260	Xenia|LOC124447124	Hydra|LOC101235091
OG0006261	Xenia|LOC124453152	Hydra|LOC100207807
OG0006262	Xenia|LOC124434738	Hydra|LOC100214023
OG0006263	Xenia|LOC124441674	Hydra|LOC100213299
OG0006264	Xenia|LOC124442410	Hydra|LOC100211327
OG0006265	Xenia|LOC124443182	Hydra|LOC100211789
OG0006266	Xenia|LOC124446566	Hydra|LOC100205236
OG0006267	Xenia|LOC124446920	Hydra|LOC100210543
OG0006268	Xenia|LOC124446324	Hydra|LOC100212966
OG0006269	Xenia|LOC124446073	Hydra|LOC100205631
OG0006272	Xenia|LOC124435433	Hydra|LOC100211777
OG0006273	Xenia|LOC124442314	Hydra|LOC105844177
OG0006274	Xenia|LOC124435506	Hydra|LOC100213864
OG0006275	Xenia|LOC124435259	Hydra|LOC100213566
OG0006276	Xenia|LOC124436142	Hydra|LOC100201146
OG0006278	Xenia|LOC124440602	Hydra|LOC101234559
OG0006280	Xenia|LOC124433272	Hydra|LOC100200912
OG0006281	Xenia|LOC124452497	Hydra|LOC100213999
OG0006282	Xenia|LOC124451482	Hydra|LOC100197646
OG0006283	Xenia|LOC124445502	Hydra|LOC105844890
OG0006284	Xenia|LOC124447097	Hydra|LOC101235827
OG0006285	Xenia|LOC124445520	Hydra|LOC100203357
OG0006286	Xenia|LOC124444654	Hydra|LOC100200823
OG0006287	Xenia|LOC124438704	Hydra|LOC100210841
OG0006289	Xenia|LOC124442456	Hydra|LOC105848964
OG0006290	Xenia|LOC124452382	Hydra|LOC100201992
OG0006291	Xenia|LOC124441173	Hydra|LOC100204766
OG0006292	Xenia|LOC124441830	Hydra|LOC100203543
OG0006294	Xenia|LOC124448772	Hydra|LOC100206412
OG0006295	Xenia|LOC124437956	Hydra|LOC100205201
OG0006296	Xenia|LOC124447045	Hydra|LOC100210554
OG0006297	Xenia|LOC124457982	Hydra|LOC100199637
OG0006298	Xenia|LOC124445480	Hydra|LOC100215995
OG0006299	Xenia|LOC124447583	Hydra|LOC100211221
OG0006300	Xenia|LOC124445734	Hydra|LOC100205449
OG0006301	Xenia|LOC124446159	Hydra|LOC100209077
OG0006302	Xenia|LOC124456034	Hydra|LOC100197055
OG0006303	Xenia|LOC124443483	Hydra|LOC100206510
OG0006304	Xenia|LOC124441525	Hydra|LOC105843168
OG0006305	Xenia|LOC124439998	Hydra|LOC101234408
OG0006306	Xenia|LOC124439897	Hydra|LOC100215397
OG0006307	Xenia|LOC124447541	Hydra|LOC100211577
OG0006308	Xenia|LOC124446639	Hydra|LOC100212689
OG0006309	Xenia|LOC124440121	Hydra|LOC101237804
OG0006310	Xenia|LOC124456124	Hydra|LOC101238385
OG0006311	Xenia|LOC124442075	Hydra|LOC100200676
OG0006312	Xenia|LOC124458131	Hydra|LOC100198098
OG0006315	Xenia|LOC124459014	Hydra|LOC101241796
OG0006316	Xenia|LOC124433951	Hydra|LOC100202053
OG0006317	Xenia|LOC124453104	Hydra|LOC100213412
OG0006318	Xenia|LOC124434234	Hydra|LOC100215976
OG0006320	Xenia|LOC124434065	Hydra|LOC100213002
OG0006322	Xenia|LOC124441229	Hydra|LOC101237531
OG0006323	Xenia|LOC124436801	Hydra|LOC100200758
OG0006324	Xenia|LOC124437818	Hydra|LOC100214237
OG0006325	Xenia|LOC124437337	Hydra|LOC100208664
OG0006326	Xenia|LOC124437424	Hydra|LOC100206518
OG0006327	Xenia|LOC124436340	Hydra|LOC101237426
OG0006328	Xenia|LOC124457483	Hydra|LOC100204683
OG0006330	Xenia|LOC124434698	Hydra|LOC100202023
OG0006331	Xenia|LOC124435504	Hydra|LOC100203277
OG0006332	Xenia|LOC124434832	Hydra|LOC100205377
OG0006333	Xenia|LOC124435044	Hydra|LOC100212202
OG0006335	Xenia|LOC124439238	Hydra|LOC100209432
OG0006336	Xenia|LOC124439992	Hydra|LOC100206275
OG0006337	Xenia|LOC124454668	Hydra|LOC101240794
OG0006338	Xenia|LOC124435437	Hydra|LOC100202951
OG0006339	Xenia|LOC124450323	Hydra|LOC100213124
OG0006340	Xenia|LOC124434740	Hydra|LOC100208846
OG0006341	Xenia|LOC124434300	Hydra|LOC101234335
