Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_HydractiniaProteins
OG0004556	Nematostella|LOC5522306	Hydractinia|LOC130647474
OG0004558	Nematostella|LOC5508092	Hydractinia|LOC130647634
OG0004559	Nematostella|LOC5508651	Hydractinia|LOC130647635
OG0004560	Nematostella|LOC5505260	Hydractinia|LOC130647631
OG0004561	Nematostella|LOC116615633	Hydractinia|LOC130647607
OG0004562	Nematostella|LOC5510185	Hydractinia|LOC130646981
OG0004563	Nematostella|LOC5502718	Hydractinia|LOC130647749
OG0004564	Nematostella|LOC5505268	Hydractinia|LOC130647178
OG0004565	Nematostella|LOC5511416	Hydractinia|LOC130647702
OG0004566	Nematostella|LOC5507709	Hydractinia|LOC130647024
OG0004567	Nematostella|LOC5504411	Hydractinia|LOC130647804
OG0004568	Nematostella|LOC5504056	Hydractinia|LOC130647920
OG0004569	Nematostella|LOC5511236	Hydractinia|LOC130647620
OG0004570	Nematostella|LOC5508105	Hydractinia|LOC130647941
OG0004571	Nematostella|LOC5502968	Hydractinia|LOC130647498
OG0004572	Nematostella|LOC5501380	Hydractinia|LOC130647653
OG0004573	Nematostella|LOC5500843	Hydractinia|LOC130647014
OG0004575	Nematostella|LOC5519681	Hydractinia|LOC130647463
OG0004577	Nematostella|LOC5504405	Hydractinia|LOC130647466
OG0004578	Nematostella|LOC116619385	Hydractinia|LOC130612907
OG0004579	Nematostella|LOC5514837	Hydractinia|LOC130640882
OG0004580	Nematostella|LOC5521312	Hydractinia|LOC130641831
OG0004581	Nematostella|LOC5504252	Hydractinia|LOC130642020
OG0004582	Nematostella|LOC5514111	Hydractinia|LOC130642022
OG0004583	Nematostella|LOC5509383	Hydractinia|LOC130641893
OG0004584	Nematostella|LOC5514853	Hydractinia|LOC130621792
OG0004585	Nematostella|LOC5515774	Hydractinia|LOC130621705
OG0004586	Nematostella|LOC5514870	Hydractinia|LOC130622394
OG0004587	Nematostella|LOC5507475	Hydractinia|LOC130622393
OG0004588	Nematostella|LOC5509135	Hydractinia|LOC130622391
OG0004589	Nematostella|LOC5516828	Hydractinia|LOC130622640
OG0004590	Nematostella|LOC5508943	Hydractinia|LOC130641318
OG0004591	Nematostella|LOC5515504	Hydractinia|LOC130641786
OG0004592	Nematostella|LOC116615990	Hydractinia|LOC130641780
OG0004593	Nematostella|LOC5508800	Hydractinia|LOC130640894
OG0004594	Nematostella|LOC5509129	Hydractinia|LOC130642036
OG0004595	Nematostella|LOC5514855	Hydractinia|LOC130622722
OG0004596	Nematostella|LOC5516815	Hydractinia|LOC130621464
OG0004597	Nematostella|LOC5525268	Hydractinia|LOC130622392
OG0004598	Nematostella|LOC5519001	Hydractinia|LOC130621574
OG0004599	Nematostella|LOC5502934	Hydractinia|LOC130640895
OG0004600	Nematostella|LOC5501960	Hydractinia|LOC130622272
OG0004601	Nematostella|LOC5516406	Hydractinia|LOC130654806
OG0004602	Nematostella|LOC5512538	Hydractinia|LOC130654544
OG0004603	Nematostella|LOC5506072	Hydractinia|LOC130654001
OG0004604	Nematostella|LOC5515611	Hydractinia|LOC130654954
OG0004605	Nematostella|LOC5522358	Hydractinia|LOC130654172
OG0004606	Nematostella|LOC5516392	Hydractinia|LOC130654496
OG0004607	Nematostella|LOC5509407	Hydractinia|LOC130655311
OG0004608	Nematostella|LOC5512460	Hydractinia|LOC130655807
OG0004610	Nematostella|LOC116619323	Hydractinia|LOC130655514
OG0004611	Nematostella|LOC5521930	Hydractinia|LOC130654798
OG0004612	Nematostella|LOC116616330	Hydractinia|LOC130654782
OG0004614	Nematostella|LOC5516385	Hydractinia|LOC130653640
OG0004615	Nematostella|LOC116618163	Hydractinia|LOC130654280
OG0004616	Nematostella|LOC5521912, Nematostella|LOC5522023	Hydractinia|LOC130653693
OG0004617	Nematostella|LOC5500988	Hydractinia|LOC130654896
OG0004618	Nematostella|LOC5515021	Hydractinia|LOC130654588
OG0004619	Nematostella|LOC116615612	Hydractinia|LOC130644398
OG0004620	Nematostella|LOC5513503	Hydractinia|LOC130654580
OG0004621	Nematostella|LOC5519702	Hydractinia|LOC130653752
OG0004622	Nematostella|LOC5513539	Hydractinia|LOC130654934
OG0004623	Nematostella|LOC5510241	Hydractinia|LOC130654799
OG0004624	Nematostella|LOC5508675	Hydractinia|LOC130655991
OG0004625	Nematostella|LOC5513521	Hydractinia|LOC130655992
OG0004626	Nematostella|LOC5517039	Hydractinia|LOC130654990
OG0004627	Nematostella|LOC5519181	Hydractinia|LOC130654992
OG0004628	Nematostella|LOC5519621	Hydractinia|LOC130655680
OG0004629	Nematostella|LOC5516538	Hydractinia|LOC130653744
OG0004630	Nematostella|LOC5510935	Hydractinia|LOC130653757
OG0004632	Nematostella|LOC5509325	Hydractinia|LOC130653741
OG0004633	Nematostella|LOC5514524	Hydractinia|LOC130655562
OG0004634	Nematostella|LOC116610735	Hydractinia|LOC130654785
OG0004636	Nematostella|LOC5513555	Hydractinia|LOC130655862
OG0004637	Nematostella|LOC5506090	Hydractinia|LOC130655830
OG0004638	Nematostella|LOC5512489	Hydractinia|LOC130655687
OG0004639	Nematostella|LOC5516508	Hydractinia|LOC130654122
OG0004640	Nematostella|LOC5516522	Hydractinia|LOC130654368
OG0004641	Nematostella|LOC5513553	Hydractinia|LOC130655156
OG0004642	Nematostella|LOC5510789	Hydractinia|LOC130654077
OG0004643	Nematostella|LOC5516444	Hydractinia|LOC130655543
OG0004644	Nematostella|LOC5506771	Hydractinia|LOC130653584
OG0004645	Nematostella|LOC5519209	Hydractinia|LOC130655993
OG0004646	Nematostella|LOC5503943	Hydractinia|LOC130654114
OG0004647	Nematostella|LOC5512192	Hydractinia|LOC130654993
OG0004648	Nematostella|LOC5513456	Hydractinia|LOC130655679
OG0004649	Nematostella|LOC5502401	Hydractinia|LOC130655682
OG0004650	Nematostella|LOC5511023	Hydractinia|LOC130653746
OG0004651	Nematostella|LOC116616210	Hydractinia|LOC130653761
OG0004652	Nematostella|LOC5509287	Hydractinia|LOC130653737
OG0004653	Nematostella|LOC5506184	Hydractinia|LOC130655556
OG0004654	Nematostella|LOC5510804	Hydractinia|LOC130655561
OG0004655	Nematostella|LOC5506592	Hydractinia|LOC130654863
OG0004656	Nematostella|LOC5510480	Hydractinia|LOC130655423
OG0004658	Nematostella|LOC5503045	Hydractinia|LOC130655994
OG0004659	Nematostella|LOC5510430	Hydractinia|LOC130644432
OG0004660	Nematostella|LOC5512849	Hydractinia|LOC130645103
OG0004661	Nematostella|LOC5520927	Hydractinia|LOC130645785
OG0004662	Nematostella|LOC5508294	Hydractinia|LOC130648821
OG0004663	Nematostella|LOC116619429	Hydractinia|LOC130644287
OG0004664	Nematostella|LOC5507402	Hydractinia|LOC130646111
OG0004667	Nematostella|LOC5508990	Hydractinia|LOC130641417
OG0004668	Nematostella|LOC116617333	Hydractinia|LOC130656201
OG0004669	Nematostella|LOC5516066	Hydractinia|LOC130657985
OG0004670	Nematostella|LOC5502097	Hydractinia|LOC130657345
OG0004671	Nematostella|LOC5516197	Hydractinia|LOC130656292
OG0004672	Nematostella|LOC5518930	Hydractinia|LOC130657967
OG0004673	Nematostella|LOC5513041	Hydractinia|LOC130657020
OG0004674	Nematostella|LOC5514933	Hydractinia|LOC130657018
OG0004675	Nematostella|LOC5518945	Hydractinia|LOC130656387
OG0004676	Nematostella|LOC5518880	Hydractinia|LOC130656380
OG0004677	Nematostella|LOC5510777	Hydractinia|LOC130656586
OG0004678	Nematostella|LOC5508008	Hydractinia|LOC130656870
OG0004679	Nematostella|LOC116608844	Hydractinia|LOC130656721
OG0004680	Nematostella|LOC5514913	Hydractinia|LOC130656495
OG0004681	Nematostella|LOC5503281	Hydractinia|LOC130656796
OG0004682	Nematostella|LOC5518962	Hydractinia|LOC130657040
OG0004683	Nematostella|LOC5510725	Hydractinia|LOC130657983
OG0004684	Nematostella|LOC5518970	Hydractinia|LOC130657077
OG0004685	Nematostella|LOC5520777	Hydractinia|LOC130657625
OG0004686	Nematostella|LOC5513027	Hydractinia|LOC130657275
OG0004687	Nematostella|LOC5511862	Hydractinia|LOC130657276
OG0004688	Nematostella|LOC116609934	Hydractinia|LOC130657988
OG0004689	Nematostella|LOC5518937	Hydractinia|LOC130657968
OG0004690	Nematostella|LOC5510278	Hydractinia|LOC130657986
OG0004691	Nematostella|LOC5518954	Hydractinia|LOC130636220
OG0004692	Nematostella|LOC5515613	Hydractinia|LOC130654571
OG0004693	Nematostella|LOC5519608	Hydractinia|LOC130655496
OG0004694	Nematostella|LOC5512472	Hydractinia|LOC130655724
OG0004695	Nematostella|LOC5510815	Hydractinia|LOC130655027
OG0004696	Nematostella|LOC116617362	Hydractinia|LOC130653621
OG0004697	Nematostella|LOC5516100	Hydractinia|LOC130654011
OG0004698	Nematostella|LOC5511036	Hydractinia|LOC130653997
OG0004699	Nematostella|LOC5512549	Hydractinia|LOC130653998
OG0004700	Nematostella|LOC5515606	Hydractinia|LOC130654572
OG0004701	Nematostella|LOC5509221	Hydractinia|LOC130653926
OG0004702	Nematostella|LOC5505107	Hydractinia|LOC130655498, Hydractinia|LOC130655492
OG0004704	Nematostella|LOC5507068	Hydractinia|LOC130653882
OG0004705	Nematostella|LOC5510090	Hydractinia|LOC130656042
OG0004706	Nematostella|LOC5509315	Hydractinia|LOC130653996
OG0004707	Nematostella|LOC5519259	Hydractinia|LOC130654006
OG0004709	Nematostella|LOC5521948	Hydractinia|LOC130655536
OG0004710	Nematostella|LOC5508157	Hydractinia|LOC130614639
OG0004711	Nematostella|LOC5508175	Hydractinia|LOC130613730
OG0004712	Nematostella|LOC5519414	Hydractinia|LOC130614296
OG0004713	Nematostella|LOC5512234	Hydractinia|LOC130614504
OG0004714	Nematostella|LOC5518040	Hydractinia|LOC130613981
OG0004715	Nematostella|LOC116615282	Hydractinia|LOC130614806
OG0004716	Nematostella|LOC5518009	Hydractinia|LOC130614372
OG0004717	Nematostella|LOC5507397	Hydractinia|LOC130613781
OG0004718	Nematostella|LOC5507166	Hydractinia|LOC130614885
OG0004719	Nematostella|LOC5513789, Nematostella|LOC5509698	Hydractinia|LOC130613717
OG0004722	Nematostella|LOC5505153	Hydractinia|LOC130614835
OG0004723	Nematostella|LOC5512011	Hydractinia|LOC130614360
OG0004725	Nematostella|LOC116603622	Hydractinia|LOC130635818, Hydractinia|LOC130622651
OG0004726	Nematostella|LOC5506217	Hydractinia|LOC130636051
OG0004727	Nematostella|LOC5506213	Hydractinia|LOC130636460
OG0004728	Nematostella|LOC5509476	Hydractinia|LOC130636272
OG0004729	Nematostella|LOC116616320	Hydractinia|LOC130636540
OG0004730	Nematostella|LOC5501674	Hydractinia|LOC130636557
OG0004731	Nematostella|LOC5509473	Hydractinia|LOC130636710
OG0004732	Nematostella|LOC5511000	Hydractinia|LOC130635958
OG0004733	Nematostella|LOC5501529	Hydractinia|LOC130635879
OG0004734	Nematostella|LOC5506815	Hydractinia|LOC130636174
OG0004735	Nematostella|LOC5515431	Hydractinia|LOC130636627
OG0004736	Nematostella|LOC5520427	Hydractinia|LOC130636515
OG0004738	Nematostella|LOC116617866	Hydractinia|LOC130636621
OG0004739	Nematostella|LOC5507786	Hydractinia|LOC130636617
OG0004741	Nematostella|LOC116611570	Hydractinia|LOC130636623
OG0004743	Nematostella|LOC5515489	Hydractinia|LOC130622649
OG0004744	Nematostella|LOC5515749	Hydractinia|LOC130622656
OG0004745	Nematostella|LOC5517942	Hydractinia|LOC130622594
OG0004746	Nematostella|LOC5516802	Hydractinia|LOC130621890
OG0004747	Nematostella|LOC5521357	Hydractinia|LOC130622774
OG0004748	Nematostella|LOC5514362	Hydractinia|LOC130622492
OG0004749	Nematostella|LOC5514857	Hydractinia|LOC130622667
OG0004750	Nematostella|LOC5521131	Hydractinia|LOC130621880
OG0004751	Nematostella|LOC5516318	Hydractinia|LOC130622675
OG0004752	Nematostella|LOC5521701	Hydractinia|LOC130622051
OG0004753	Nematostella|LOC5505211	Hydractinia|LOC130621433
OG0004754	Nematostella|LOC5517975	Hydractinia|LOC130621755
OG0004755	Nematostella|LOC5518283	Hydractinia|LOC130622499
OG0004756	Nematostella|LOC5508886	Hydractinia|LOC130622498
OG0004757	Nematostella|LOC5507651	Hydractinia|LOC130624983
OG0004758	Nematostella|LOC5506451	Hydractinia|LOC130625590
OG0004759	Nematostella|LOC116617702	Hydractinia|LOC130641344
OG0004760	Nematostella|LOC5511542	Hydractinia|LOC130641487
OG0004761	Nematostella|LOC5513613	Hydractinia|LOC130641414
OG0004762	Nematostella|LOC5514291	Hydractinia|LOC130641227
OG0004763	Nematostella|LOC5508937	Hydractinia|LOC130641367
OG0004764	Nematostella|LOC5516754	Hydractinia|LOC130641876
OG0004765	Nematostella|LOC116604439	Hydractinia|LOC130625564
OG0004767	Nematostella|LOC116620378	Hydractinia|LOC130625594
OG0004768	Nematostella|LOC5503759	Hydractinia|LOC130641003
OG0004769	Nematostella|LOC5516838	Hydractinia|LOC130641368
OG0004770	Nematostella|LOC5512630	Hydractinia|LOC130641137, Hydractinia|LOC130640762
OG0004771	Nematostella|LOC5521550	Hydractinia|LOC130640980
OG0004774	Nematostella|LOC5516332	Hydractinia|LOC130626197
OG0004775	Nematostella|LOC5507588	Hydractinia|LOC130625817
OG0004776	Nematostella|LOC5511320	Hydractinia|LOC130625601
OG0004777	Nematostella|LOC5504884	Hydractinia|LOC130625567
OG0004778	Nematostella|LOC5520394	Hydractinia|LOC130625719
OG0004779	Nematostella|LOC5516346	Hydractinia|LOC130626188
OG0004780	Nematostella|LOC5512277	Hydractinia|LOC130625777
OG0004781	Nematostella|LOC5514416	Hydractinia|LOC130625902
OG0004782	Nematostella|LOC5503935	Hydractinia|LOC130625903
OG0004783	Nematostella|LOC5519091	Hydractinia|LOC130625445
OG0004784	Nematostella|LOC5517408	Hydractinia|LOC130625818
OG0004786	Nematostella|LOC5513334	Hydractinia|LOC130614132
OG0004787	Nematostella|LOC5513392	Hydractinia|LOC130614119
OG0004788	Nematostella|LOC5512253	Hydractinia|LOC130614822
OG0004789	Nematostella|LOC116603316	Hydractinia|LOC130613884
OG0004790	Nematostella|LOC116618186	Hydractinia|LOC130614028
OG0004791	Nematostella|LOC5519524	Hydractinia|LOC130614222
OG0004792	Nematostella|LOC5508204	Hydractinia|LOC130614744
OG0004794	Nematostella|LOC5508036	Hydractinia|LOC130614613
OG0004795	Nematostella|LOC5512017	Hydractinia|LOC130614865
OG0004796	Nematostella|LOC5521597	Hydractinia|LOC130614016
OG0004797	Nematostella|LOC5521500	Hydractinia|LOC130614229
OG0004798	Nematostella|LOC5519458	Hydractinia|LOC130614029
OG0004799	Nematostella|LOC5514413	Hydractinia|LOC130662864
OG0004801	Nematostella|LOC5515778	Hydractinia|LOC130621551
OG0004802	Nematostella|LOC5509071	Hydractinia|LOC130621846
OG0004803	Nematostella|LOC5515349	Hydractinia|LOC130621903
OG0004804	Nematostella|LOC116619169	Hydractinia|LOC130622602
OG0004805	Nematostella|LOC5504554	Hydractinia|LOC130622053
OG0004806	Nematostella|LOC5517930	Hydractinia|LOC130622077
OG0004807	Nematostella|LOC5514806	Hydractinia|LOC130622771
OG0004808	Nematostella|LOC5515560	Hydractinia|LOC130621562
OG0004809	Nematostella|LOC5509051	Hydractinia|LOC130621563
OG0004810	Nematostella|LOC5514804	Hydractinia|LOC130622514
OG0004811	Nematostella|LOC5514226	Hydractinia|LOC130641648
OG0004813	Nematostella|LOC5515714	Hydractinia|LOC130642111
OG0004814	Nematostella|LOC5514222	Hydractinia|LOC130641998
OG0004815	Nematostella|LOC5504251	Hydractinia|LOC130640978
OG0004816	Nematostella|LOC5503186	Hydractinia|LOC130640987
OG0004817	Nematostella|LOC5514046	Hydractinia|LOC130641063
OG0004818	Nematostella|LOC5514830	Hydractinia|LOC130641402
OG0004820	Nematostella|LOC5516749	Hydractinia|LOC130641782
OG0004821	Nematostella|LOC5501069	Hydractinia|LOC130641372
OG0004822	Nematostella|LOC116619587	Hydractinia|LOC130642097
OG0004823	Nematostella|LOC5516957	Hydractinia|LOC130640994
OG0004824	Nematostella|LOC5518498	Hydractinia|LOC130614487
OG0004825	Nematostella|LOC5522375	Hydractinia|LOC130622999
OG0004826	Nematostella|LOC5508846	Hydractinia|LOC130623385
OG0004827	Nematostella|LOC5507353	Hydractinia|LOC130623748
OG0004828	Nematostella|LOC5513112	Hydractinia|LOC130623855
OG0004829	Nematostella|LOC5519648	Hydractinia|LOC130622903
OG0004830	Nematostella|LOC5506588	Hydractinia|LOC130622985
OG0004831	Nematostella|LOC5510171	Hydractinia|LOC130624115
OG0004832	Nematostella|LOC5511072	Hydractinia|LOC130623456
OG0004833	Nematostella|LOC5508877	Hydractinia|LOC130623754
OG0004834	Nematostella|LOC5519706	Hydractinia|LOC130623115, Hydractinia|LOC130624161
OG0004836	Nematostella|LOC5517981	Hydractinia|LOC130623444
OG0004838	Nematostella|LOC5506035	Hydractinia|LOC130640179, Hydractinia|LOC130643143
OG0004840	Nematostella|LOC5505966	Hydractinia|LOC130645106
OG0004841	Nematostella|LOC5519855	Hydractinia|LOC130632517
OG0004842	Nematostella|LOC5502069	Hydractinia|LOC130647300
OG0004843	Nematostella|LOC116618106	Hydractinia|LOC130623547
OG0004844	Nematostella|LOC5517837	Hydractinia|LOC130646119
OG0004845	Nematostella|LOC5502067	Hydractinia|LOC130647947, Hydractinia|LOC130650009
OG0004846	Nematostella|LOC5514841	Hydractinia|LOC130646825
OG0004847	Nematostella|LOC5511730	Hydractinia|LOC130648920
OG0004848	Nematostella|LOC5508472	Hydractinia|LOC130648904
OG0004849	Nematostella|LOC5509621	Hydractinia|LOC130649096
OG0004850	Nematostella|LOC5517670	Hydractinia|LOC130649005
OG0004851	Nematostella|LOC5511720	Hydractinia|LOC130649006
OG0004852	Nematostella|LOC5516861	Hydractinia|LOC130649221
OG0004853	Nematostella|LOC116616954	Hydractinia|LOC130649464
OG0004854	Nematostella|LOC5520203	Hydractinia|LOC130649114
OG0004855	Nematostella|LOC5519237	Hydractinia|LOC130649524
OG0004856	Nematostella|LOC5511738	Hydractinia|LOC130648797
OG0004857	Nematostella|LOC5520622	Hydractinia|LOC130649157
OG0004858	Nematostella|LOC5509567	Hydractinia|LOC130649268
OG0004859	Nematostella|LOC5511729	Hydractinia|LOC130648919
OG0004860	Nematostella|LOC5509307	Hydractinia|LOC130649222
OG0004862	Nematostella|LOC5514486	Hydractinia|LOC130649051
OG0004863	Nematostella|LOC5520570	Hydractinia|LOC130649374
OG0004864	Nematostella|LOC5519224	Hydractinia|LOC130655942
OG0004865	Nematostella|LOC5521985	Hydractinia|LOC130655945
OG0004866	Nematostella|LOC5510616	Hydractinia|LOC130655106
OG0004867	Nematostella|LOC116603702	Hydractinia|LOC130657400, Hydractinia|LOC130655810
OG0004868	Nematostella|LOC116612227	Hydractinia|LOC130655876
OG0004869	Nematostella|LOC5508884	Hydractinia|LOC130655688
OG0004870	Nematostella|LOC5507403	Hydractinia|LOC130654754, Hydractinia|LOC130644672
OG0004871	Nematostella|LOC5516477	Hydractinia|LOC130653949
OG0004872	Nematostella|LOC5513624	Hydractinia|LOC130656041
OG0004873	Nematostella|LOC5519154	Hydractinia|LOC130653641
OG0004874	Nematostella|LOC5517716	Hydractinia|LOC130655811
OG0004875	Nematostella|LOC5507186	Hydractinia|LOC130655878
OG0004876	Nematostella|LOC5512221	Hydractinia|LOC130655877
OG0004877	Nematostella|LOC116604619	Hydractinia|LOC130654576
OG0004878	Nematostella|LOC5500846	Hydractinia|LOC130655882
OG0004879	Nematostella|LOC5514276	Hydractinia|LOC130655748
OG0004880	Nematostella|LOC5510236	Hydractinia|LOC130656057
OG0004881	Nematostella|LOC5516468	Hydractinia|LOC130654557
OG0004882	Nematostella|LOC5502679	Hydractinia|LOC130654060
OG0004883	Nematostella|LOC5509440	Hydractinia|LOC130653985
OG0004884	Nematostella|LOC116614574	Hydractinia|LOC130654192
OG0004886	Nematostella|LOC5518359	Hydractinia|LOC130647356
OG0004887	Nematostella|LOC5508941, Nematostella|LOC5500958	Hydractinia|LOC130647934
OG0004888	Nematostella|LOC116617017	Hydractinia|LOC130654392
OG0004889	Nematostella|LOC5514560	Hydractinia|LOC130654076
OG0004890	Nematostella|LOC116614124	Hydractinia|LOC130654059
OG0004891	Nematostella|LOC5504993	Hydractinia|LOC130647174
OG0004892	Nematostella|LOC116617788	Hydractinia|LOC130647137
OG0004894	Nematostella|LOC5509607	Hydractinia|LOC130649214
OG0004896	Nematostella|LOC5506389	Hydractinia|LOC130649490
OG0004897	Nematostella|LOC5508462	Hydractinia|LOC130649335
OG0004898	Nematostella|LOC5520506	Hydractinia|LOC130648350
OG0004900	Nematostella|LOC116603944	Hydractinia|LOC130649331
OG0004901	Nematostella|LOC5514532	Hydractinia|LOC130648769
OG0004902	Nematostella|LOC5509598	Hydractinia|LOC130648351
OG0004903	Nematostella|LOC5509629	Hydractinia|LOC130649002
OG0004904	Nematostella|LOC5502061	Hydractinia|LOC130645071
OG0004905	Nematostella|LOC5504180	Hydractinia|LOC130657215
OG0004906	Nematostella|LOC5504450	Hydractinia|LOC130656258
OG0004907	Nematostella|LOC5520701	Hydractinia|LOC130657668
OG0004908	Nematostella|LOC5503399	Hydractinia|LOC130656369
OG0004909	Nematostella|LOC5518985	Hydractinia|LOC130656371
OG0004910	Nematostella|LOC116604069	Hydractinia|LOC130656366
OG0004911	Nematostella|LOC5511958	Hydractinia|LOC130656368
OG0004912	Nematostella|LOC5500726	Hydractinia|LOC130656309
OG0004913	Nematostella|LOC5507882	Hydractinia|LOC130656845
OG0004914	Nematostella|LOC5505403	Hydractinia|LOC130645513
OG0004915	Nematostella|LOC5521816	Hydractinia|LOC130644973
OG0004916	Nematostella|LOC5513892	Hydractinia|LOC130644746
OG0004917	Nematostella|LOC5507425	Hydractinia|LOC130645363
OG0004918	Nematostella|LOC5519835	Hydractinia|LOC130644817
OG0004919	Nematostella|LOC5505585	Hydractinia|LOC130645254
OG0004920	Nematostella|LOC5520973	Hydractinia|LOC130645322
OG0004921	Nematostella|LOC5516655	Hydractinia|LOC130644676
OG0004922	Nematostella|LOC5510427	Hydractinia|LOC130644638
OG0004923	Nematostella|LOC116603447	Hydractinia|LOC130644971
OG0004924	Nematostella|LOC5504772	Hydractinia|LOC130644968
OG0004925	Nematostella|LOC5513779	Hydractinia|LOC130644545
OG0004926	Nematostella|LOC5508352	Hydractinia|LOC130645767
OG0004927	Nematostella|LOC116607807	Hydractinia|LOC130644923
OG0004928	Nematostella|LOC5513906	Hydractinia|LOC130645301
OG0004929	Nematostella|LOC5513877	Hydractinia|LOC130644539
OG0004930	Nematostella|LOC5515241	Hydractinia|LOC130613083
OG0004931	Nematostella|LOC116611664	Hydractinia|LOC130612298
OG0004932	Nematostella|LOC5516735	Hydractinia|LOC130613318
OG0004933	Nematostella|LOC5515140	Hydractinia|LOC130662284
OG0004934	Nematostella|LOC5504488	Hydractinia|LOC130612461
OG0004936	Nematostella|LOC5519676	Hydractinia|LOC130612403
OG0004938	Nematostella|LOC125570231	Hydractinia|LOC130613300
OG0004939	Nematostella|LOC5514980	Hydractinia|LOC130662713
OG0004940	Nematostella|LOC5514634	Hydractinia|LOC130662347
OG0004941	Nematostella|LOC5504399	Hydractinia|LOC130647931
OG0004942	Nematostella|LOC5513594	Hydractinia|LOC130647809
OG0004943	Nematostella|LOC116620292	Hydractinia|LOC130662786
OG0004944	Nematostella|LOC5508361	Hydractinia|LOC130662307
OG0004945	Nematostella|LOC5508405	Hydractinia|LOC130613361
OG0004946	Nematostella|LOC5504379	Hydractinia|LOC130647854
OG0004947	Nematostella|LOC5502087	Hydractinia|LOC130646975
OG0004948	Nematostella|LOC5517271	Hydractinia|LOC130647965
OG0004949	Nematostella|LOC5505936	Hydractinia|LOC130647487
OG0004950	Nematostella|LOC116616239	Hydractinia|LOC130622969
OG0004951	Nematostella|LOC5511576	Hydractinia|LOC130622781
OG0004952	Nematostella|LOC116601445	Hydractinia|LOC130621856
OG0004953	Nematostella|LOC5521716	Hydractinia|LOC130621938
OG0004954	Nematostella|LOC5513185	Hydractinia|LOC130621902
OG0004957	Nematostella|LOC5508914	Hydractinia|LOC130622559
OG0004958	Nematostella|LOC116611897	Hydractinia|LOC130622558
OG0004959	Nematostella|LOC5514800	Hydractinia|LOC130621177
OG0004960	Nematostella|LOC116609355	Hydractinia|LOC130622712
OG0004961	Nematostella|LOC5517979	Hydractinia|LOC130622146
OG0004962	Nematostella|LOC5513308	Hydractinia|LOC130622488
OG0004963	Nematostella|LOC5516269	Hydractinia|LOC130622490
OG0004965	Nematostella|LOC5511017	Hydractinia|LOC130635875
OG0004966	Nematostella|LOC5516756	Hydractinia|LOC130635995
OG0004967	Nematostella|LOC5518182	Hydractinia|LOC130636161
OG0004969	Nematostella|LOC5509454	Hydractinia|LOC130636291
OG0004970	Nematostella|LOC5511170	Hydractinia|LOC130636408
OG0004971	Nematostella|LOC116613113	Hydractinia|LOC130636728
OG0004972	Nematostella|LOC5520741	Hydractinia|LOC130636407
OG0004973	Nematostella|LOC5506272	Hydractinia|LOC130624971
OG0004974	Nematostella|LOC5502736	Hydractinia|LOC130625107
OG0004975	Nematostella|LOC5503932	Hydractinia|LOC130626036
OG0004976	Nematostella|LOC5517451	Hydractinia|LOC130626044
OG0004977	Nematostella|LOC5517467	Hydractinia|LOC130626031
OG0004978	Nematostella|LOC5504880	Hydractinia|LOC130625952
OG0004979	Nematostella|LOC5517449	Hydractinia|LOC130625500
OG0004980	Nematostella|LOC116614107	Hydractinia|LOC130625566
OG0004981	Nematostella|LOC5512285	Hydractinia|LOC130626034
OG0004982	Nematostella|LOC5519038	Hydractinia|LOC130625711
OG0004983	Nematostella|LOC5517435	Hydractinia|LOC130625746
OG0004984	Nematostella|LOC5522161	Hydractinia|LOC130625410
OG0004986	Nematostella|LOC5518104	Hydractinia|LOC130636188
OG0004987	Nematostella|LOC5506629	Hydractinia|LOC130635960
OG0004988	Nematostella|LOC5502911	Hydractinia|LOC130635964
OG0004989	Nematostella|LOC116609798	Hydractinia|LOC130635967
OG0004990	Nematostella|LOC5517308	Hydractinia|LOC130635644
OG0004991	Nematostella|LOC5502982	Hydractinia|LOC130635954
OG0004992	Nematostella|LOC5512374	Hydractinia|LOC130635660
OG0004993	Nematostella|LOC5507075	Hydractinia|LOC130636770, Hydractinia|LOC130636794
OG0004994	Nematostella|LOC5518191	Hydractinia|LOC130636440
OG0004995	Nematostella|LOC5502303	Hydractinia|LOC130636758
OG0004996	Nematostella|LOC5504907	Hydractinia|LOC130636189
OG0004997	Nematostella|LOC5502691	Hydractinia|LOC130636603
OG0004998	Nematostella|LOC116615044	Hydractinia|LOC130635961
OG0004999	Nematostella|LOC5506655	Hydractinia|LOC130635821
OG0005001	Nematostella|LOC5517238	Hydractinia|LOC130636698
OG0005002	Nematostella|LOC5517295	Hydractinia|LOC130635765
OG0005003	Nematostella|LOC116612189	Hydractinia|LOC130636112
OG0005004	Nematostella|LOC5511051	Hydractinia|LOC130624035
OG0005005	Nematostella|LOC5519101	Hydractinia|LOC130624034
OG0005006	Nematostella|LOC5505166	Hydractinia|LOC130635589
OG0005007	Nematostella|LOC5504847	Hydractinia|LOC130635990
OG0005008	Nematostella|LOC5503417	Hydractinia|LOC130623870
OG0005010	Nematostella|LOC5513223	Hydractinia|LOC130656266, Hydractinia|LOC130656262
OG0005012	Nematostella|LOC5519754	Hydractinia|LOC130624077
OG0005014	Nematostella|LOC116614507	Hydractinia|LOC130628610
OG0005016	Nematostella|LOC5509044	Hydractinia|LOC130629137
OG0005017	Nematostella|LOC5512580	Hydractinia|LOC130629150
OG0005018	Nematostella|LOC5521437	Hydractinia|LOC130630361
