Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_XeniaProteins
OG0005557	Nematostella|LOC5508910	Xenia|LOC124440634
OG0005558	Nematostella|LOC5511329	Xenia|LOC124450393
OG0005560	Nematostella|LOC5510578	Xenia|LOC124445224
OG0005561	Nematostella|LOC5500800	Xenia|LOC124451492
OG0005562	Nematostella|LOC5510806	Xenia|LOC124439049
OG0005563	Nematostella|LOC5513126	Xenia|LOC124443971
OG0005564	Nematostella|LOC5519684	Xenia|LOC124452940
OG0005565	Nematostella|LOC5518066	Xenia|LOC124436973
OG0005566	Nematostella|LOC5518460	Xenia|LOC124433417
OG0005567	Nematostella|LOC5502082	Xenia|LOC124453002
OG0005568	Nematostella|LOC5516495	Xenia|LOC124433468
OG0005569	Nematostella|LOC5507715	Xenia|LOC124433509
OG0005570	Nematostella|LOC5518407	Xenia|LOC124452802
OG0005571	Nematostella|LOC5519973	Xenia|LOC124453622
OG0005572	Nematostella|LOC5519971	Xenia|LOC124452718
OG0005573	Nematostella|LOC5504082	Xenia|LOC124453042
OG0005574	Nematostella|LOC5511098	Xenia|LOC124452682
OG0005575	Nematostella|LOC5506162	Xenia|LOC124453234
OG0005576	Nematostella|LOC5521586	Xenia|LOC124454082
OG0005577	Nematostella|LOC5519332	Xenia|LOC124438417
OG0005578	Nematostella|LOC5519364	Xenia|LOC124438121
OG0005579	Nematostella|LOC5503798	Xenia|LOC124457962
OG0005580	Nematostella|LOC5515233	Xenia|LOC124439241
OG0005581	Nematostella|LOC5516992	Xenia|LOC124452605
OG0005582	Nematostella|LOC5515204	Xenia|LOC124438717
OG0005583	Nematostella|LOC5512047	Xenia|LOC124444950
OG0005585	Nematostella|LOC5512843	Xenia|LOC124441874
OG0005586	Nematostella|LOC5502496	Xenia|LOC124440392
OG0005587	Nematostella|LOC5514822	Xenia|LOC124453299
OG0005588	Nematostella|LOC5513255	Xenia|LOC124444506
OG0005589	Nematostella|LOC5508784	Xenia|LOC124453398
OG0005590	Nematostella|LOC5506497	Xenia|LOC124444123
OG0005591	Nematostella|LOC5502459	Xenia|LOC124458019
OG0005592	Nematostella|LOC116601119, Nematostella|LOC5507722	Xenia|LOC124448156
OG0005593	Nematostella|LOC5505767	Xenia|LOC124433506
OG0005594	Nematostella|LOC5518465	Xenia|LOC124459623
OG0005595	Nematostella|LOC5517542	Xenia|LOC124447687
OG0005596	Nematostella|LOC5514708	Xenia|LOC124452861
OG0005597	Nematostella|LOC116612335	Xenia|LOC124433888
OG0005598	Nematostella|LOC5508649	Xenia|LOC124453052
OG0005599	Nematostella|LOC5505804	Xenia|LOC124433518
OG0005600	Nematostella|LOC5503766	Xenia|LOC124459201
OG0005601	Nematostella|LOC116619591	Xenia|LOC124442818
OG0005602	Nematostella|LOC5506391	Xenia|LOC124447724
OG0005603	Nematostella|LOC5515578	Xenia|LOC124452816
OG0005604	Nematostella|LOC5521713	Xenia|LOC124452854
OG0005605	Nematostella|LOC5514827	Xenia|LOC124453311
OG0005606	Nematostella|LOC5515502	Xenia|LOC124453757
OG0005607	Nematostella|LOC5502795	Xenia|LOC124438370
OG0005608	Nematostella|LOC5521777	Xenia|LOC124452942
OG0005609	Nematostella|LOC5514348	Xenia|LOC124453648
OG0005610	Nematostella|LOC5514213	Xenia|LOC124444742
OG0005611	Nematostella|LOC5514207	Xenia|LOC124444750
OG0005612	Nematostella|LOC5504562	Xenia|LOC124452892
OG0005613	Nematostella|LOC5515595	Xenia|LOC124452381
OG0005614	Nematostella|LOC5506044	Xenia|LOC124445579
OG0005615	Nematostella|LOC5505300	Xenia|LOC124452686
OG0005616	Nematostella|LOC5518725	Xenia|LOC124453693
OG0005617	Nematostella|LOC5520094	Xenia|LOC124452862
OG0005618	Nematostella|LOC5518223	Xenia|LOC124438524
OG0005619	Nematostella|LOC5506337	Xenia|LOC124443674
OG0005620	Nematostella|LOC5512886	Xenia|LOC124434788
OG0005621	Nematostella|LOC5508868	Xenia|LOC124434931
OG0005622	Nematostella|LOC5522388	Xenia|LOC124434560
OG0005623	Nematostella|LOC5511182	Xenia|LOC124445795
OG0005624	Nematostella|LOC5519978	Xenia|LOC124452981
OG0005625	Nematostella|LOC5519283	Xenia|LOC124445558
OG0005626	Nematostella|LOC5512496	Xenia|LOC124446640
OG0005627	Nematostella|LOC5515179	Xenia|LOC124454103
OG0005628	Nematostella|LOC5521555	Xenia|LOC124444532
OG0005629	Nematostella|LOC5515697	Xenia|LOC124440833
OG0005630	Nematostella|LOC5518343	Xenia|LOC124438341
OG0005631	Nematostella|LOC5521146	Xenia|LOC124433411
OG0005633	Nematostella|LOC5511159	Xenia|LOC124435359
OG0005634	Nematostella|LOC5519783	Xenia|LOC124443891
OG0005635	Nematostella|LOC5510432	Xenia|LOC124447844
OG0005636	Nematostella|LOC5514675	Xenia|LOC124444018
OG0005637	Nematostella|LOC5521551	Xenia|LOC124443789
OG0005638	Nematostella|LOC5512049	Xenia|LOC124443859
OG0005639	Nematostella|LOC5521372	Xenia|LOC124444057
OG0005640	Nematostella|LOC5507465	Xenia|LOC124442544
OG0005641	Nematostella|LOC5508249	Xenia|LOC124443213
OG0005643	Nematostella|LOC5503401	Xenia|LOC124442418
OG0005644	Nematostella|LOC5518987	Xenia|LOC124443401
OG0005645	Nematostella|LOC5516775	Xenia|LOC124454371
OG0005646	Nematostella|LOC5514912	Xenia|LOC124441837
OG0005647	Nematostella|LOC5511915	Xenia|LOC124442784
OG0005649	Nematostella|LOC5520001	Xenia|LOC124443772
OG0005650	Nematostella|LOC5509308	Xenia|LOC124451055
OG0005651	Nematostella|LOC5507102	Xenia|LOC124441816
OG0005652	Nematostella|LOC5512752	Xenia|LOC124450240
OG0005653	Nematostella|LOC116604068	Xenia|LOC124441416
OG0005654	Nematostella|LOC116606487	Xenia|LOC124442446
OG0005655	Nematostella|LOC5518999	Xenia|LOC124442791
OG0005656	Nematostella|LOC5512968	Xenia|LOC124441957
OG0005657	Nematostella|LOC5509758	Xenia|LOC124439216
OG0005658	Nematostella|LOC5511498, Nematostella|LOC116618504	Xenia|LOC124446093
OG0005659	Nematostella|LOC116603932	Xenia|LOC124449622
OG0005660	Nematostella|LOC5521532	Xenia|LOC124454340
OG0005663	Nematostella|LOC5506713	Xenia|LOC124443737
OG0005664	Nematostella|LOC5514303	Xenia|LOC124452987
OG0005665	Nematostella|LOC5511238	Xenia|LOC124444141
OG0005666	Nematostella|LOC5506187	Xenia|LOC124443813
OG0005667	Nematostella|LOC5515709	Xenia|LOC124452819
OG0005668	Nematostella|LOC5514314	Xenia|LOC124453554
OG0005669	Nematostella|LOC5513649	Xenia|LOC124453162
OG0005670	Nematostella|LOC5520533	Xenia|LOC124447629
OG0005671	Nematostella|LOC5510097	Xenia|LOC124448000
OG0005672	Nematostella|LOC5504684	Xenia|LOC124449477
OG0005673	Nematostella|LOC5511698	Xenia|LOC124448178
OG0005674	Nematostella|LOC5520618	Xenia|LOC124449332
OG0005675	Nematostella|LOC116616573	Xenia|LOC124448480
OG0005676	Nematostella|LOC5502091	Xenia|LOC124443406
OG0005677	Nematostella|LOC5517906	Xenia|LOC124452808
OG0005678	Nematostella|LOC5521244	Xenia|LOC124453146
OG0005679	Nematostella|LOC5525237	Xenia|LOC124453605
OG0005680	Nematostella|LOC5519878	Xenia|LOC124443630
OG0005681	Nematostella|LOC5503974	Xenia|LOC124442312
OG0005682	Nematostella|LOC125556723	Xenia|LOC124443692
OG0005683	Nematostella|LOC5517110	Xenia|LOC124442700
OG0005685	Nematostella|LOC5516326	Xenia|LOC124443308
OG0005686	Nematostella|LOC5515926	Xenia|LOC124444932
OG0005687	Nematostella|LOC5509019	Xenia|LOC124453725
OG0005688	Nematostella|LOC5525257	Xenia|LOC124452990
OG0005690	Nematostella|LOC5498703	Xenia|LOC124440423
OG0005691	Nematostella|LOC5508935	Xenia|LOC124452384
OG0005692	Nematostella|LOC5514292	Xenia|LOC124439886
OG0005693	Nematostella|LOC5501075	Xenia|LOC124440328
OG0005694	Nematostella|LOC5520140	Xenia|LOC124447902
OG0005695	Nematostella|LOC5519771	Xenia|LOC124455515
OG0005696	Nematostella|LOC116616614	Xenia|LOC124448062
OG0005697	Nematostella|LOC5516901	Xenia|LOC124449479
OG0005698	Nematostella|LOC5514971	Xenia|LOC124443111
OG0005699	Nematostella|LOC5503887	Xenia|LOC124449586
OG0005700	Nematostella|LOC5510328	Xenia|LOC124442507
OG0005701	Nematostella|LOC116603438	Xenia|LOC124444705
OG0005702	Nematostella|LOC5516717	Xenia|LOC124442547
OG0005703	Nematostella|LOC5510137	Xenia|LOC124449581
OG0005704	Nematostella|LOC5512797	Xenia|LOC124442261
OG0005705	Nematostella|LOC5517926	Xenia|LOC124452941
OG0005706	Nematostella|LOC5504366	Xenia|LOC124444424
OG0005707	Nematostella|LOC5503799	Xenia|LOC124443881
OG0005708	Nematostella|LOC5521580	Xenia|LOC124444432
OG0005709	Nematostella|LOC116619435	Xenia|LOC124444427
OG0005710	Nematostella|LOC116608645	Xenia|LOC124441796
OG0005712	Nematostella|LOC5501981	Xenia|LOC124443961
OG0005714	Nematostella|LOC5510120	Xenia|LOC124455385
OG0005715	Nematostella|LOC5511716	Xenia|LOC124447800
OG0005716	Nematostella|LOC5514502	Xenia|LOC124447701
OG0005717	Nematostella|LOC5514279	Xenia|LOC124453037
OG0005718	Nematostella|LOC5514918	Xenia|LOC124441232
OG0005719	Nematostella|LOC5503056	Xenia|LOC124441516
OG0005720	Nematostella|LOC5511232	Xenia|LOC124444298
OG0005722	Nematostella|LOC5505797	Xenia|LOC124456979
OG0005723	Nematostella|LOC5502587	Xenia|LOC124448971
OG0005724	Nematostella|LOC5503831	Xenia|LOC124433571
OG0005726	Nematostella|LOC5505741	Xenia|LOC124456231
OG0005727	Nematostella|LOC5509895	Xenia|LOC124443083
OG0005728	Nematostella|LOC116619735	Xenia|LOC124444839
OG0005733	Nematostella|LOC5507661	Xenia|LOC124445115
OG0005734	Nematostella|LOC5521516	Xenia|LOC124440004
OG0005735	Nematostella|LOC5507575	Xenia|LOC124433686
OG0005736	Nematostella|LOC5506328	Xenia|LOC124437688
OG0005738	Nematostella|LOC5512161	Xenia|LOC124446642
OG0005740	Nematostella|LOC5505277	Xenia|LOC124448854
OG0005741	Nematostella|LOC5517623	Xenia|LOC124458240
OG0005743	Nematostella|LOC5514152	Xenia|LOC124433566
OG0005744	Nematostella|LOC5515716	Xenia|LOC124452988
OG0005745	Nematostella|LOC5521265	Xenia|LOC124452513
OG0005746	Nematostella|LOC5514019	Xenia|LOC124452934
OG0005747	Nematostella|LOC5503367	Xenia|LOC124445017
OG0005748	Nematostella|LOC116611346	Xenia|LOC124445016
OG0005749	Nematostella|LOC5515783	Xenia|LOC124453662
OG0005750	Nematostella|LOC5512628	Xenia|LOC124444104
OG0005751	Nematostella|LOC5511663	Xenia|LOC124446557
OG0005752	Nematostella|LOC5508992	Xenia|LOC124443670
OG0005754	Nematostella|LOC5510337	Xenia|LOC124441308
OG0005755	Nematostella|LOC5514216	Xenia|LOC124444748
OG0005756	Nematostella|LOC5521813	Xenia|LOC124453566
OG0005757	Nematostella|LOC116618594	Xenia|LOC124441137
OG0005758	Nematostella|LOC116614873	Xenia|LOC124434879
OG0005759	Nematostella|LOC5521166	Xenia|LOC124439855
OG0005760	Nematostella|LOC5514373	Xenia|LOC124440572
OG0005761	Nematostella|LOC5500924	Xenia|LOC124447023
OG0005762	Nematostella|LOC5505946	Xenia|LOC124459542
OG0005763	Nematostella|LOC116601234	Xenia|LOC124456933
OG0005764	Nematostella|LOC5518369	Xenia|LOC124459490
OG0005765	Nematostella|LOC5514746	Xenia|LOC124459541
OG0005766	Nematostella|LOC5518478	Xenia|LOC124459446
OG0005767	Nematostella|LOC5518475	Xenia|LOC124451282
OG0005768	Nematostella|LOC116610245	Xenia|LOC124445512
OG0005769	Nematostella|LOC5508125	Xenia|LOC124447778
OG0005771	Nematostella|LOC5505956	Xenia|LOC124433323
OG0005772	Nematostella|LOC116616892	Xenia|LOC124459637
OG0005773	Nematostella|LOC5519089	Xenia|LOC124435047
OG0005774	Nematostella|LOC5520669	Xenia|LOC124447991
OG0005775	Nematostella|LOC5504258	Xenia|LOC124443704
OG0005776	Nematostella|LOC5505181	Xenia|LOC124436840
OG0005778	Nematostella|LOC5513362	Xenia|LOC124437594
OG0005779	Nematostella|LOC5513369	Xenia|LOC124437595
OG0005780	Nematostella|LOC5513790	Xenia|LOC124437819
OG0005781	Nematostella|LOC5510088	Xenia|LOC124453302
OG0005783	Nematostella|LOC5513793	Xenia|LOC124436053
OG0005784	Nematostella|LOC5503630	Xenia|LOC124436752
OG0005786	Nematostella|LOC116614670	Xenia|LOC124436466
OG0005787	Nematostella|LOC5519491	Xenia|LOC124437134
OG0005789	Nematostella|LOC116615287	Xenia|LOC124436959
OG0005790	Nematostella|LOC5518518	Xenia|LOC124437525
OG0005791	Nematostella|LOC5521598	Xenia|LOC124436862
OG0005792	Nematostella|LOC5500931	Xenia|LOC124437426
OG0005793	Nematostella|LOC5511953	Xenia|LOC124437623
OG0005794	Nematostella|LOC116621077	Xenia|LOC124450366
OG0005795	Nematostella|LOC5515348	Xenia|LOC124438036
OG0005796	Nematostella|LOC5507483	Xenia|LOC124455706
OG0005799	Nematostella|LOC5504507	Xenia|LOC124438953
OG0005802	Nematostella|LOC5522133	Xenia|LOC124453472
OG0005803	Nematostella|LOC5511579	Xenia|LOC124433769
OG0005804	Nematostella|LOC5508864	Xenia|LOC124434331
OG0005805	Nematostella|LOC5521435	Xenia|LOC124455498
OG0005807	Nematostella|LOC5516612	Xenia|LOC124434925
OG0005808	Nematostella|LOC5516611	Xenia|LOC124434909
OG0005809	Nematostella|LOC5507560	Xenia|LOC124436394
OG0005810	Nematostella|LOC5519018	Xenia|LOC124434204
OG0005812	Nematostella|LOC5503931	Xenia|LOC124435420
OG0005813	Nematostella|LOC5515424	Xenia|LOC124445744
OG0005814	Nematostella|LOC5517469	Xenia|LOC124434611
OG0005816	Nematostella|LOC5522373	Xenia|LOC124434078
OG0005817	Nematostella|LOC5506097	Xenia|LOC124448906
OG0005818	Nematostella|LOC5512149	Xenia|LOC124442715
OG0005819	Nematostella|LOC5520259	Xenia|LOC124456505
OG0005822	Nematostella|LOC5510772	Xenia|LOC124441890
OG0005823	Nematostella|LOC5518663	Xenia|LOC124451938
OG0005824	Nematostella|LOC116610618	Xenia|LOC124442675
OG0005825	Nematostella|LOC5511857	Xenia|LOC124441154
OG0005827	Nematostella|LOC5507710	Xenia|LOC124433504
OG0005828	Nematostella|LOC5508109	Xenia|LOC124458437
OG0005829	Nematostella|LOC5514763	Xenia|LOC124459644
OG0005830	Nematostella|LOC5514939	Xenia|LOC124457725
OG0005831	Nematostella|LOC5517503	Xenia|LOC124451503
OG0005832	Nematostella|LOC5517568	Xenia|LOC124455269
OG0005833	Nematostella|LOC5514738	Xenia|LOC124453019
OG0005835	Nematostella|LOC5509993	Xenia|LOC124455528
OG0005836	Nematostella|LOC5517862	Xenia|LOC124452388
OG0005837	Nematostella|LOC5517049	Xenia|LOC124444108
OG0005838	Nematostella|LOC5508488	Xenia|LOC124453201
OG0005839	Nematostella|LOC5508790	Xenia|LOC124452929
OG0005840	Nematostella|LOC5512595	Xenia|LOC124444107
OG0005841	Nematostella|LOC5520087	Xenia|LOC124444268
OG0005842	Nematostella|LOC116603552	Xenia|LOC124444142
OG0005843	Nematostella|LOC5515294	Xenia|LOC124442300
OG0005844	Nematostella|LOC5511338	Xenia|LOC124434749
OG0005845	Nematostella|LOC5514894	Xenia|LOC124442506
OG0005847	Nematostella|LOC5512319	Xenia|LOC124433858
OG0005848	Nematostella|LOC5508216	Xenia|LOC124442714
OG0005849	Nematostella|LOC5512973	Xenia|LOC124441714
OG0005850	Nematostella|LOC5512974	Xenia|LOC124441101
OG0005851	Nematostella|LOC5508664	Xenia|LOC124455312
OG0005852	Nematostella|LOC5510705	Xenia|LOC124441113
OG0005853	Nematostella|LOC5516042	Xenia|LOC124443096
OG0005854	Nematostella|LOC116615017	Xenia|LOC124441136
OG0005855	Nematostella|LOC5519225	Xenia|LOC124446738
OG0005856	Nematostella|LOC5516438	Xenia|LOC124447187
OG0005857	Nematostella|LOC5514541	Xenia|LOC124438088
OG0005859	Nematostella|LOC5511287	Xenia|LOC124452918
OG0005860	Nematostella|LOC5511193	Xenia|LOC124441348
OG0005861	Nematostella|LOC5504561	Xenia|LOC124452439
OG0005862	Nematostella|LOC5520957	Xenia|LOC124444353
OG0005863	Nematostella|LOC5501183	Xenia|LOC124439163
OG0005864	Nematostella|LOC5514864	Xenia|LOC124452565
OG0005865	Nematostella|LOC5514091	Xenia|LOC124453611
OG0005866	Nematostella|LOC5507360	Xenia|LOC124454250
OG0005867	Nematostella|LOC5520109	Xenia|LOC124444777
OG0005868	Nematostella|LOC5511306, Nematostella|LOC116617703	Xenia|LOC124435098
OG0005869	Nematostella|LOC5521656	Xenia|LOC124453295
OG0005870	Nematostella|LOC5518764	Xenia|LOC124444780
OG0005871	Nematostella|LOC5521767	Xenia|LOC124453181
OG0005872	Nematostella|LOC5508994	Xenia|LOC124444487
OG0005873	Nematostella|LOC5514910	Xenia|LOC124442204
OG0005874	Nematostella|LOC5511924	Xenia|LOC124441218
OG0005875	Nematostella|LOC5514603	Xenia|LOC124436823
OG0005877	Nematostella|LOC116611882	Xenia|LOC124438506
OG0005878	Nematostella|LOC5507294	Xenia|LOC124433792
OG0005879	Nematostella|LOC5510931	Xenia|LOC124442745
OG0005880	Nematostella|LOC116620713	Xenia|LOC124434411
OG0005881	Nematostella|LOC5507285	Xenia|LOC124434936
OG0005882	Nematostella|LOC5521765	Xenia|LOC124440343
OG0005883	Nematostella|LOC5518054	Xenia|LOC124437036
OG0005884	Nematostella|LOC5514335	Xenia|LOC124456276
OG0005885	Nematostella|LOC5509062	Xenia|LOC124442280
OG0005886	Nematostella|LOC5509188	Xenia|LOC124450178
OG0005887	Nematostella|LOC116620722	Xenia|LOC124435293
OG0005888	Nematostella|LOC5513076	Xenia|LOC124433673
OG0005889	Nematostella|LOC5519565	Xenia|LOC124434691
OG0005890	Nematostella|LOC5517207	Xenia|LOC124458011
OG0005891	Nematostella|LOC5507797	Xenia|LOC124446814
OG0005892	Nematostella|LOC5510996	Xenia|LOC124445777
OG0005893	Nematostella|LOC5502899	Xenia|LOC124446442
OG0005894	Nematostella|LOC5515408	Xenia|LOC124445910
OG0005895	Nematostella|LOC5506230	Xenia|LOC124445380
OG0005896	Nematostella|LOC5520926	Xenia|LOC124444848
OG0005897	Nematostella|LOC5521020	Xenia|LOC124444527
OG0005899	Nematostella|LOC5512174	Xenia|LOC124445305
OG0005901	Nematostella|LOC5518363	Xenia|LOC124459555
OG0005902	Nematostella|LOC5517510	Xenia|LOC124459538
OG0005903	Nematostella|LOC5517552	Xenia|LOC124457869
OG0005905	Nematostella|LOC5514711	Xenia|LOC124451816
OG0005906	Nematostella|LOC5505700	Xenia|LOC124438244
OG0005907	Nematostella|LOC5522040	Xenia|LOC124446019
OG0005908	Nematostella|LOC5521955	Xenia|LOC124446281
OG0005910	Nematostella|LOC5520704	Xenia|LOC124442278
OG0005911	Nematostella|LOC5499345	Xenia|LOC124450357
OG0005912	Nematostella|LOC5507449	Xenia|LOC124447237
OG0005913	Nematostella|LOC5508872	Xenia|LOC124443926
OG0005914	Nematostella|LOC5513972	Xenia|LOC124433735
OG0005915	Nematostella|LOC5508888	Xenia|LOC124451042
OG0005916	Nematostella|LOC5522095	Xenia|LOC124445500
OG0005917	Nematostella|LOC5512185	Xenia|LOC124447497
OG0005918	Nematostella|LOC5506075	Xenia|LOC124447493
OG0005919	Nematostella|LOC5522169	Xenia|LOC124453324
OG0005921	Nematostella|LOC5519086	Xenia|LOC124445290
OG0005923	Nematostella|LOC5510446	Xenia|LOC124443089
OG0005924	Nematostella|LOC5510282	Xenia|LOC124441931
OG0005925	Nematostella|LOC5518794	Xenia|LOC124442341
OG0005926	Nematostella|LOC5510461	Xenia|LOC124443088
OG0005927	Nematostella|LOC125561405	Xenia|LOC124442330
OG0005928	Nematostella|LOC5511895	Xenia|LOC124440930
OG0005929	Nematostella|LOC5521422	Xenia|LOC124451029
OG0005930	Nematostella|LOC5501746	Xenia|LOC124439096
OG0005931	Nematostella|LOC5521438	Xenia|LOC124455481
OG0005932	Nematostella|LOC5518441	Xenia|LOC124459603
OG0005933	Nematostella|LOC5515178	Xenia|LOC124454524
OG0005934	Nematostella|LOC5515332	Xenia|LOC124439258
OG0005935	Nematostella|LOC5515077	Xenia|LOC124452125
OG0005936	Nematostella|LOC5507948	Xenia|LOC124448451
OG0005937	Nematostella|LOC116604366	Xenia|LOC124454590
OG0005938	Nematostella|LOC5507580	Xenia|LOC124434145
OG0005939	Nematostella|LOC5509831	Xenia|LOC124434199
OG0005940	Nematostella|LOC116611763	Xenia|LOC124434887
OG0005941	Nematostella|LOC5504626	Xenia|LOC124436915
OG0005942	Nematostella|LOC5511240	Xenia|LOC124444134
OG0005943	Nematostella|LOC116618122	Xenia|LOC124444393
OG0005945	Nematostella|LOC5507258	Xenia|LOC124439092
OG0005946	Nematostella|LOC5517107	Xenia|LOC124439470
OG0005948	Nematostella|LOC5506102	Xenia|LOC124448638
OG0005950	Nematostella|LOC5521944	Xenia|LOC124446244
OG0005951	Nematostella|LOC5505843	Xenia|LOC124435786
OG0005952	Nematostella|LOC5507027	Xenia|LOC124442422
OG0005955	Nematostella|LOC5507999	Xenia|LOC124441281
OG0005956	Nematostella|LOC5504454	Xenia|LOC124441050
OG0005957	Nematostella|LOC5511947	Xenia|LOC124443051
OG0005958	Nematostella|LOC116612147	Xenia|LOC124446973
OG0005959	Nematostella|LOC5504455	Xenia|LOC124441046
OG0005960	Nematostella|LOC5514901	Xenia|LOC124442742
OG0005961	Nematostella|LOC5504457	Xenia|LOC124441479
OG0005962	Nematostella|LOC5509299	Xenia|LOC124434951
OG0005963	Nematostella|LOC5511558	Xenia|LOC124433959
OG0005964	Nematostella|LOC5508862	Xenia|LOC124435371
OG0005965	Nematostella|LOC5510894	Xenia|LOC124435055
OG0005966	Nematostella|LOC5511551	Xenia|LOC124434151
OG0005967	Nematostella|LOC5504819	Xenia|LOC124435088
OG0005968	Nematostella|LOC5511340	Xenia|LOC124434746
OG0005969	Nematostella|LOC5515436	Xenia|LOC124446765
OG0005970	Nematostella|LOC5510847	Xenia|LOC124436864
OG0005971	Nematostella|LOC5519505	Xenia|LOC124436573
OG0005972	Nematostella|LOC5506293	Xenia|LOC124459050
OG0005974	Nematostella|LOC5507843	Xenia|LOC124442289
OG0005975	Nematostella|LOC5509250	Xenia|LOC124443550
OG0005976	Nematostella|LOC5520711	Xenia|LOC124443049
OG0005977	Nematostella|LOC5513005	Xenia|LOC124442744
OG0005978	Nematostella|LOC5508003	Xenia|LOC124443209
OG0005979	Nematostella|LOC5514951	Xenia|LOC124442277
OG0005980	Nematostella|LOC5511840	Xenia|LOC124443057
OG0005981	Nematostella|LOC5522302	Xenia|LOC124452789
OG0005982	Nematostella|LOC5504249	Xenia|LOC124453136
OG0005983	Nematostella|LOC5513281	Xenia|LOC124452253
OG0005984	Nematostella|LOC5513043	Xenia|LOC124442647
OG0005985	Nematostella|LOC5516023	Xenia|LOC124441827
OG0005986	Nematostella|LOC5503066	Xenia|LOC124443515
OG0005987	Nematostella|LOC5501832	Xenia|LOC124442288
OG0005988	Nematostella|LOC5510155	Xenia|LOC124442196
OG0005989	Nematostella|LOC5513775	Xenia|LOC124451425
OG0005990	Nematostella|LOC5513843	Xenia|LOC124442497
OG0005991	Nematostella|LOC5519087	Xenia|LOC124445090
OG0005992	Nematostella|LOC5515330	Xenia|LOC124439553
OG0005993	Nematostella|LOC5522292	Xenia|LOC124443709
OG0005994	Nematostella|LOC5519380	Xenia|LOC124438319
OG0005995	Nematostella|LOC5507944	Xenia|LOC124439172
OG0005997	Nematostella|LOC5511283	Xenia|LOC124453331
OG0005998	Nematostella|LOC5500519	Xenia|LOC124436563
OG0006000	Nematostella|LOC5508712	Xenia|LOC124433310
OG0006001	Nematostella|LOC5516426	Xenia|LOC124447414
OG0006002	Nematostella|LOC5510573	Xenia|LOC124445741
OG0006003	Nematostella|LOC5513086	Xenia|LOC124434868
OG0006004	Nematostella|LOC5519857	Xenia|LOC124443945
OG0006005	Nematostella|LOC5521053	Xenia|LOC124444352
OG0006006	Nematostella|LOC5515052	Xenia|LOC124444414
OG0006007	Nematostella|LOC5510521	Xenia|LOC124444413
OG0006008	Nematostella|LOC5514654	Xenia|LOC124444186
OG0006009	Nematostella|LOC5520497	Xenia|LOC124434878
OG0006010	Nematostella|LOC5514417	Xenia|LOC124434193
OG0006011	Nematostella|LOC5505836	Xenia|LOC124435399
OG0006012	Nematostella|LOC5511148	Xenia|LOC124435524
OG0006013	Nematostella|LOC116609558	Xenia|LOC124433364
OG0006014	Nematostella|LOC5508328	Xenia|LOC124447758
OG0006015	Nematostella|LOC5508096	Xenia|LOC124450776
OG0006016	Nematostella|LOC5516143	Xenia|LOC124434514
OG0006017	Nematostella|LOC116613849	Xenia|LOC124446269
OG0006018	Nematostella|LOC5502997	Xenia|LOC124443687
OG0006019	Nematostella|LOC5501847	Xenia|LOC124444929
OG0006020	Nematostella|LOC5511854	Xenia|LOC124451507
OG0006021	Nematostella|LOC5505941	Xenia|LOC124459579
OG0006022	Nematostella|LOC5518449	Xenia|LOC124458833
OG0006023	Nematostella|LOC116615631	Xenia|LOC124459599
OG0006024	Nematostella|LOC5513626	Xenia|LOC124457394
OG0006025	Nematostella|LOC5506556	Xenia|LOC124444473
OG0006026	Nematostella|LOC5522045	Xenia|LOC124446722
OG0006027	Nematostella|LOC5522100	Xenia|LOC124446434
OG0006028	Nematostella|LOC116601476	Xenia|LOC124445642
OG0006029	Nematostella|LOC5508079	Xenia|LOC124455117
OG0006030	Nematostella|LOC5501047	Xenia|LOC124440962
OG0006032	Nematostella|LOC5510169	Xenia|LOC124441179
OG0006034	Nematostella|LOC5516936	Xenia|LOC124439479
OG0006035	Nematostella|LOC116602239	Xenia|LOC124442306
OG0006036	Nematostella|LOC5505099	Xenia|LOC124441472
OG0006037	Nematostella|LOC5506343	Xenia|LOC124444020
OG0006039	Nematostella|LOC5520600	Xenia|LOC124434889
OG0006040	Nematostella|LOC5517222	Xenia|LOC124445772
OG0006041	Nematostella|LOC5515440	Xenia|LOC124445824
OG0006042	Nematostella|LOC5520371	Xenia|LOC124441729
OG0006043	Nematostella|LOC5501676	Xenia|LOC124445639
OG0006044	Nematostella|LOC5506125	Xenia|LOC124439087
OG0006045	Nematostella|LOC5514872	Xenia|LOC124453685
OG0006048	Nematostella|LOC5509884	Xenia|LOC124442217
OG0006049	Nematostella|LOC5513186	Xenia|LOC124452732
OG0006050	Nematostella|LOC5502650	Xenia|LOC124444738, Xenia|LOC124444533
OG0006051	Nematostella|LOC5505987	Xenia|LOC124447804
OG0006052	Nematostella|LOC5517611	Xenia|LOC124458644
OG0006053	Nematostella|LOC5517674	Xenia|LOC124458596
OG0006054	Nematostella|LOC5508316	Xenia|LOC124448332
OG0006056	Nematostella|LOC116617231	Xenia|LOC124454322
OG0006057	Nematostella|LOC5519108	Xenia|LOC124440060
OG0006058	Nematostella|LOC5509746	Xenia|LOC124438498
OG0006059	Nematostella|LOC5514998	Xenia|LOC124446077
OG0006060	Nematostella|LOC5506012	Xenia|LOC124438030
OG0006061	Nematostella|LOC5513682	Xenia|LOC124434984
OG0006062	Nematostella|LOC5507562	Xenia|LOC124434550
OG0006064	Nematostella|LOC5513099	Xenia|LOC124434976
OG0006065	Nematostella|LOC5511619	Xenia|LOC124445264
