Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_HydraProteins
OG0006025	Nematostella|LOC5506556	Hydra|LOC101238823
OG0006026	Nematostella|LOC5522045	Hydra|LOC100201029
OG0006027	Nematostella|LOC5522100	Hydra|LOC100198735
OG0006028	Nematostella|LOC116601476	Hydra|LOC100211792
OG0006029	Nematostella|LOC5508079	Hydra|LOC100202899
OG0006030	Nematostella|LOC5501047	Hydra|LOC100201218
OG0006032	Nematostella|LOC5510169	Hydra|LOC100211263
OG0006034	Nematostella|LOC5516936	Hydra|LOC100213346
OG0006035	Nematostella|LOC116602239	Hydra|LOC101237374
OG0006036	Nematostella|LOC5505099	Hydra|LOC100198494
OG0006037	Nematostella|LOC5506343	Hydra|LOC105850835
OG0006038	Nematostella|LOC5508915	Hydra|LOC100205754
OG0006039	Nematostella|LOC5520600	Hydra|LOC100197474
OG0006040	Nematostella|LOC5517222	Hydra|LOC101240432
OG0006041	Nematostella|LOC5515440	Hydra|LOC100210324
OG0006042	Nematostella|LOC5520371	Hydra|LOC100202490
OG0006043	Nematostella|LOC5501676	Hydra|LOC100210160
OG0006044	Nematostella|LOC5506125	Hydra|LOC100205986
OG0006045	Nematostella|LOC5514872	Hydra|LOC101237954
OG0006046	Nematostella|LOC5508768	Hydra|LOC100210373
OG0006048	Nematostella|LOC5509884	Hydra|LOC100198162
OG0006049	Nematostella|LOC5513186	Hydra|LOC100205297
OG0006051	Nematostella|LOC5505987	Hydra|LOC100198745
OG0006052	Nematostella|LOC5517611	Hydra|LOC100199322
OG0006053	Nematostella|LOC5517674	Hydra|LOC105843188
OG0006054	Nematostella|LOC5508316	Hydra|LOC101241576
OG0006055	Nematostella|LOC5515067	Hydra|LOC101238528
OG0006056	Nematostella|LOC116617231	Hydra|LOC101241064
OG0006057	Nematostella|LOC5519108	Hydra|LOC100214791
OG0006058	Nematostella|LOC5509746	Hydra|LOC100207974
OG0006059	Nematostella|LOC5514998	Hydra|LOC105847189
OG0006061	Nematostella|LOC5513682	Hydra|LOC100201172
OG0006062	Nematostella|LOC5507562	Hydra|LOC101236736
OG0006064	Nematostella|LOC5513099	Hydra|LOC100200315
OG0006065	Nematostella|LOC5511619	Hydra|LOC100215133
OG0006066	Nematostella|LOC5507822	Hydra|LOC100198476
OG0006067	Nematostella|LOC116608807	Hydra|LOC100208241
OG0006068	Nematostella|LOC5518189	Hydra|LOC101238884
OG0006069	Nematostella|LOC5510981	Hydra|LOC100203089
OG0006070	Nematostella|LOC116612367	Hydra|LOC101238115
OG0006071	Nematostella|LOC5511028	Hydra|LOC100209743
OG0006072	Nematostella|LOC116603387	Hydra|LOC100206129
OG0006073	Nematostella|LOC116603354	Hydra|LOC101239554
OG0006074	Nematostella|LOC5516169	Hydra|LOC100200892
OG0006075	Nematostella|LOC5516516	Hydra|LOC100215348
OG0006076	Nematostella|LOC5519236	Hydra|LOC100205716
OG0006078	Nematostella|LOC116620840	Hydra|LOC101235613
OG0006079	Nematostella|LOC5508752	Hydra|LOC100211172
OG0006080	Nematostella|LOC5525240	Hydra|LOC100212302
OG0006081	Nematostella|LOC5514375	Hydra|LOC100199716
OG0006082	Nematostella|LOC5499414	Hydra|LOC100211784
OG0006084	Nematostella|LOC5513559	Hydra|LOC100209343
OG0006085	Nematostella|LOC5502827	Hydra|LOC100211895
OG0006086	Nematostella|LOC5508719	Hydra|LOC100197731
OG0006087	Nematostella|LOC5517628	Hydra|LOC100197688
OG0006088	Nematostella|LOC5517916	Hydra|LOC100212258
OG0006089	Nematostella|LOC5522088	Hydra|LOC100202999
OG0006090	Nematostella|LOC5516480	Hydra|LOC100199738
OG0006091	Nematostella|LOC5513546	Hydra|LOC100215426
OG0006092	Nematostella|LOC5507564	Hydra|LOC100214952
OG0006093	Nematostella|LOC5504324	Hydra|LOC100200963
OG0006094	Nematostella|LOC5520192	Hydra|LOC101236092
OG0006095	Nematostella|LOC5520138	Hydra|LOC100206792
OG0006096	Nematostella|LOC5516880	Hydra|LOC100206389
OG0006097	Nematostella|LOC5506071	Hydra|LOC100215823
OG0006098	Nematostella|LOC5517389	Hydra|LOC100198148
OG0006099	Nematostella|LOC5506418	Hydra|LOC100202564
OG0006100	Nematostella|LOC5521539	Hydra|LOC100206421
OG0006101	Nematostella|LOC5519374	Hydra|LOC100203922
OG0006102	Nematostella|LOC5514123	Hydra|LOC100198441
OG0006103	Nematostella|LOC5501998	Hydra|LOC101234743
OG0006104	Nematostella|LOC5510484	Hydra|LOC100205823
OG0006105	Nematostella|LOC5508812	Hydra|LOC100213235
OG0006106	Nematostella|LOC5516276	Hydra|LOC100213315
OG0006107	Nematostella|LOC5510710	Hydra|LOC101238916
OG0006108	Nematostella|LOC5505663	Hydra|LOC100210625
OG0006109	Nematostella|LOC5509089	Hydra|LOC100203252
OG0006110	Nematostella|LOC5516274	Hydra|LOC100208667
OG0006111	Nematostella|LOC5505906	Hydra|LOC100202736
OG0006112	Nematostella|LOC125561074	Hydra|LOC100212896
OG0006113	Nematostella|LOC5510866	Hydra|LOC100215581
OG0006114	Nematostella|LOC5518005	Hydra|LOC100215148
OG0006115	Nematostella|LOC5503485	Hydra|LOC100205632
OG0006116	Nematostella|LOC5501232	Hydra|LOC100200489
OG0006117	Nematostella|LOC5508854	Hydra|LOC100213376
OG0006118	Nematostella|LOC5518924	Hydra|LOC100198075
OG0006119	Nematostella|LOC5503929	Hydra|LOC100198778
OG0006120	Nematostella|LOC5506309	Hydra|LOC100201760
OG0006121	Nematostella|LOC5514390	Hydra|LOC101241060
OG0006122	Nematostella|LOC5515543	Hydra|LOC100212252
OG0006123	Nematostella|LOC5502932	Hydra|LOC100198384
OG0006124	Nematostella|LOC116614423	Hydra|LOC100210907
OG0006125	Nematostella|LOC5516581	Hydra|LOC100211142
OG0006126	Nematostella|LOC5511066	Hydra|LOC100206478
OG0006127	Nematostella|LOC5510546	Hydra|LOC100202061
OG0006128	Nematostella|LOC5504076	Hydra|LOC100209617
OG0006130	Nematostella|LOC5502897	Hydra|LOC100197802
OG0006131	Nematostella|LOC5501467	Hydra|LOC100200534
OG0006132	Nematostella|LOC5509906	Hydra|LOC100209633
OG0006133	Nematostella|LOC5515463	Hydra|LOC100198323
OG0006134	Nematostella|LOC5518851	Hydra|LOC100213563
OG0006135	Nematostella|LOC5505639	Hydra|LOC100215429
OG0006136	Nematostella|LOC5514984	Hydra|LOC101239321
OG0006137	Nematostella|LOC5510183	Hydra|LOC100211834
OG0006138	Nematostella|LOC5501291	Hydra|LOC100201097
OG0006139	Nematostella|LOC5504984	Hydra|LOC100210679
OG0006140	Nematostella|LOC5522336	Hydra|LOC105846215
OG0006141	Nematostella|LOC5506059	Hydra|LOC101238459
OG0006142	Nematostella|LOC5522225	Hydra|LOC100214258
OG0006144	Nematostella|LOC5514108	Hydra|LOC100210831
OG0006145	Nematostella|LOC5521376	Hydra|LOC100201905
OG0006146	Nematostella|LOC5509696	Hydra|LOC100205270
OG0006147	Nematostella|LOC5512997	Hydra|LOC100204922
OG0006148	Nematostella|LOC116604161	Hydra|LOC100207468
OG0006149	Nematostella|LOC116614780	Hydra|LOC101236616
OG0006150	Nematostella|LOC5518238	Hydra|LOC101238455
OG0006151	Nematostella|LOC5510675	Hydra|LOC100198762
OG0006152	Nematostella|LOC5510909	Hydra|LOC100200523
OG0006153	Nematostella|LOC116604541	Hydra|LOC100205936
OG0006154	Nematostella|LOC5509852	Hydra|LOC100206660
OG0006155	Nematostella|LOC5518636	Hydra|LOC100198973
OG0006156	Nematostella|LOC5515490	Hydra|LOC100207358
OG0006158	Nematostella|LOC5504624	Hydra|LOC100204758
OG0006159	Nematostella|LOC5521856	Hydra|LOC100211925
OG0006160	Nematostella|LOC5517326	Hydra|LOC100201079, Hydra|LOC100198945
OG0006161	Nematostella|LOC5512746	Hydra|LOC100208542
OG0006162	Nematostella|LOC5515824	Hydra|LOC100208000
OG0006163	Nematostella|LOC5521150	Hydra|LOC101238737
OG0006164	Nematostella|LOC5509028	Hydra|LOC100210427
OG0006165	Nematostella|LOC5503034	Hydra|LOC101235394
OG0006166	Nematostella|LOC5510593	Hydra|LOC101239699
OG0006167	Nematostella|LOC5511214	Hydra|LOC101236080
OG0006168	Nematostella|LOC5517793	Hydra|LOC101238046
OG0006169	Nematostella|LOC5505999	Hydra|LOC105850724
OG0006170	Nematostella|LOC5503433	Hydra|LOC100199317
OG0006172	Nematostella|LOC5510442	Hydra|LOC100201609
OG0006173	Nematostella|LOC5509910	Hydra|LOC100207629
OG0006174	Nematostella|LOC5505115	Hydra|LOC100212278
OG0006175	Nematostella|LOC5501031	Hydra|LOC100215881
OG0006176	Nematostella|LOC5507478	Hydra|LOC100212477
OG0006177	Nematostella|LOC5503175	Hydra|LOC105846721
OG0006178	Nematostella|LOC5502636	Hydra|LOC105850867
OG0006179	Nematostella|LOC5511959	Hydra|LOC100211346
OG0006180	Nematostella|LOC5521040	Hydra|LOC100213437
OG0006181	Nematostella|LOC5505694	Hydra|LOC100209130
OG0006182	Nematostella|LOC5515602	Hydra|LOC100204486
OG0006183	Nematostella|LOC5517156	Hydra|LOC101240051
OG0006184	Nematostella|LOC5520509	Hydra|LOC100209134
OG0006185	Nematostella|LOC5517386	Hydra|LOC100211036
OG0006187	Nematostella|LOC5517414	Hydra|LOC100200456
OG0006188	Nematostella|LOC5521092	Hydra|LOC100215978
OG0006189	Nematostella|LOC5521664	Hydra|LOC100205848
OG0006190	Nematostella|LOC5520428	Hydra|LOC100200111
OG0006191	Nematostella|LOC5507512	Hydra|LOC101236869
OG0006192	Nematostella|LOC5516047	Hydra|LOC100204041
OG0006193	Nematostella|LOC5509872	Hydra|LOC100207562
OG0006194	Nematostella|LOC116604614	Hydra|LOC100213121
OG0006195	Nematostella|LOC116602029	Hydra|LOC100208044
OG0006196	Nematostella|LOC5522083	Hydra|LOC100210123
OG0006197	Nematostella|LOC5502348	Hydra|LOC100199026
OG0006198	Nematostella|LOC5509874	Hydra|LOC100202971
OG0006199	Nematostella|LOC5519970	Hydra|LOC100211473
OG0006200	Nematostella|LOC5502956	Hydra|LOC101241588
OG0006201	Nematostella|LOC5503225	Hydra|LOC100205524
OG0006203	Nematostella|LOC5515115	Hydra|LOC100214136
OG0006204	Nematostella|LOC5507856	Hydra|LOC100199383
OG0006205	Nematostella|LOC5511901	Hydra|LOC100213887
OG0006206	Nematostella|LOC5514883	Hydra|LOC100198164
OG0006207	Nematostella|LOC5520769	Hydra|LOC100215175
OG0006208	Nematostella|LOC5519007	Hydra|LOC101241639
OG0006209	Nematostella|LOC5513276	Hydra|LOC100206393
OG0006210	Nematostella|LOC5520557	Hydra|LOC105845602
OG0006211	Nematostella|LOC5509603	Hydra|LOC100210298
OG0006212	Nematostella|LOC5509534	Hydra|LOC100202047
OG0006213	Nematostella|LOC5503872	Hydra|LOC100199663
OG0006214	Nematostella|LOC5509535	ecd
OG0006215	Nematostella|LOC5515956	Hydra|LOC100197415
OG0006217	Nematostella|LOC5502529	Hydra|LOC100212727
OG0006219	Nematostella|LOC5502415	Hydra|LOC101239894
OG0006220	Nematostella|LOC5506397	Hydra|LOC100210037
OG0006221	Nematostella|LOC116614245	Hydra|LOC100208792
OG0006222	Nematostella|LOC5511225	Hydra|LOC101236590
OG0006223	Nematostella|LOC5509390	Hydra|LOC100205568
OG0006225	Nematostella|LOC5514960	Hydra|LOC100209249
OG0006226	Nematostella|LOC5505759	Hydra|LOC101235404
OG0006227	Nematostella|LOC5516230	Hydra|LOC100211293
OG0006229	Nematostella|LOC116603570	Hydra|LOC105844094
OG0006231	Nematostella|LOC5517614	Hydra|LOC100199081
OG0006232	Nematostella|LOC5513055	Hydra|LOC100201756
OG0006233	Nematostella|LOC5518279	Hydra|LOC100208708
OG0006234	Nematostella|LOC5504183	Hydra|LOC100206028
OG0006235	Nematostella|LOC5514885	Hydra|LOC100201178
OG0006236	Nematostella|LOC5515998	Hydra|LOC101238567
OG0006237	Nematostella|LOC5518728	Hydra|LOC100203843
OG0006238	Nematostella|LOC5516005	Hydra|LOC100214612
OG0006239	Nematostella|LOC5507596	Hydra|LOC100209171
OG0006240	Nematostella|LOC5501939	Hydra|LOC101236408
OG0006241	Nematostella|LOC5513411	Hydra|LOC124816658
OG0006242	Nematostella|LOC5509303	Hydra|LOC101239895
OG0006243	Nematostella|LOC5509294	Hydra|LOC100214984
OG0006244	Nematostella|LOC5513128	Hydra|LOC101234591
OG0006245	Nematostella|LOC5500605	Hydra|LOC100215128
OG0006246	Nematostella|LOC5504085	Hydra|LOC100211490
OG0006247	Nematostella|LOC5520828	Hydra|LOC100211537
OG0006248	Nematostella|LOC5511838	Hydra|LOC105847710
OG0006249	Nematostella|LOC5505607	Hydra|LOC100201462
OG0006250	Nematostella|LOC5514953	Hydra|LOC105845510
OG0006251	Nematostella|LOC5510336	Hydra|LOC105847469
OG0006252	Nematostella|LOC5519781	Hydra|LOC100199176
OG0006253	Nematostella|LOC5509604	Hydra|LOC100201622
OG0006254	Nematostella|LOC5509658	Hydra|LOC100209007
OG0006255	Nematostella|LOC5506093	Hydra|LOC100215841
OG0006256	Nematostella|LOC5520369	Hydra|LOC100204292
OG0006257	Nematostella|LOC5498749	Hydra|LOC101240901
OG0006258	Nematostella|LOC5513528	Hydra|LOC100208772
OG0006259	Nematostella|LOC5506882	Hydra|LOC100200645
OG0006260	Nematostella|LOC5516443	Hydra|LOC101235091
OG0006261	Nematostella|LOC116614573	Hydra|LOC100207807
OG0006262	Nematostella|LOC5516531	Hydra|LOC100214023
OG0006263	Nematostella|LOC5501696	Hydra|LOC100213299
OG0006264	Nematostella|LOC5512844	Hydra|LOC100211327
OG0006265	Nematostella|LOC116620785	Hydra|LOC100211789
OG0006266	Nematostella|LOC5510250	Hydra|LOC100205236
OG0006267	Nematostella|LOC5515417	Hydra|LOC100210543
OG0006268	Nematostella|LOC5520802	Hydra|LOC100212966
OG0006269	Nematostella|LOC5513605	Hydra|LOC100205631
OG0006272	Nematostella|LOC116603361	Hydra|LOC100211777
OG0006273	Nematostella|LOC5516518	Hydra|LOC105844177
OG0006274	Nematostella|LOC116606599	Hydra|LOC100213864
OG0006275	Nematostella|LOC5511073	Hydra|LOC100213566
OG0006276	Nematostella|LOC5507308	Hydra|LOC100201146
OG0006277	Nematostella|LOC5517638	Hydra|LOC100204164
OG0006278	Nematostella|LOC5521224	Hydra|LOC101234559
OG0006280	Nematostella|LOC5502539	Hydra|LOC100200912
OG0006281	Nematostella|LOC5510402	Hydra|LOC100213999
OG0006282	Nematostella|LOC5512646	Hydra|LOC100197646
OG0006283	Nematostella|LOC5516511	Hydra|LOC105844890
OG0006284	Nematostella|LOC116618194	Hydra|LOC101235827
OG0006285	Nematostella|LOC5509505	Hydra|LOC100203357
OG0006286	Nematostella|LOC5513971	Hydra|LOC100200823
OG0006287	Nematostella|LOC5502613	Hydra|LOC100210841
OG0006289	Nematostella|LOC5513040	Hydra|LOC105848964
OG0006290	Nematostella|LOC5507271	Hydra|LOC100201992
OG0006291	Nematostella|LOC5505050	Hydra|LOC100204766
OG0006292	Nematostella|LOC5514949	Hydra|LOC100203543
OG0006293	Nematostella|LOC5519903	Hydra|LOC100201390
OG0006294	Nematostella|LOC5504946	Hydra|LOC100206412
OG0006295	Nematostella|LOC5519318	Hydra|LOC100205201
OG0006296	Nematostella|LOC5502141	Hydra|LOC100210554
OG0006297	Nematostella|LOC5519885	Hydra|LOC100199637
OG0006298	Nematostella|LOC5502301	Hydra|LOC100215995
OG0006299	Nematostella|LOC5517272	Hydra|LOC100211221
OG0006300	Nematostella|LOC116619861	Hydra|LOC100205449
OG0006301	Nematostella|LOC5512408	Hydra|LOC100209077
OG0006302	Nematostella|LOC5522124	Hydra|LOC100197055
OG0006303	Nematostella|LOC5515083	Hydra|LOC100206510
OG0006304	Nematostella|LOC5510425	Hydra|LOC105843168
OG0006305	Nematostella|LOC5521620	Hydra|LOC101234408
OG0006306	Nematostella|LOC5505662	Hydra|LOC100215397
OG0006307	Nematostella|LOC5519264	Hydra|LOC100211577
OG0006308	Nematostella|LOC5512484	Hydra|LOC100212689
OG0006309	Nematostella|LOC5509091	Hydra|LOC101237804
OG0006310	Nematostella|LOC5515729	Hydra|LOC101238385
OG0006311	Nematostella|LOC5510642	Hydra|LOC100200676
OG0006312	Nematostella|LOC5505631	Hydra|LOC100198098
OG0006315	Nematostella|LOC5519390	Hydra|LOC101241796
OG0006316	Nematostella|LOC5509233	Hydra|LOC100202053
OG0006317	Nematostella|LOC5504237	Hydra|LOC100213412
OG0006318	Nematostella|LOC5508865	Hydra|LOC100215976
OG0006319	Nematostella|LOC5504627	Hydra|LOC100211314
OG0006320	Nematostella|LOC116617838	Hydra|LOC100213002
OG0006322	Nematostella|LOC5510956	Hydra|LOC101237531
OG0006323	Nematostella|LOC116618793	Hydra|LOC100200758
OG0006324	Nematostella|LOC5505873	Hydra|LOC100214237
OG0006325	Nematostella|LOC5513365	Hydra|LOC100208664
OG0006326	Nematostella|LOC5500935	Hydra|LOC100206518
OG0006327	Nematostella|LOC5508064	Hydra|LOC101237426
OG0006328	Nematostella|LOC5510544	Hydra|LOC100204683
OG0006330	Nematostella|LOC5511601	Hydra|LOC100202023
OG0006331	Nematostella|LOC5516583	Hydra|LOC100203277
OG0006332	Nematostella|LOC5511311	Hydra|LOC100205377
OG0006333	Nematostella|LOC5519568	Hydra|LOC100212202
OG0006335	Nematostella|LOC116610742	Hydra|LOC100209432
OG0006336	Nematostella|LOC5515530	Hydra|LOC100206275
OG0006337	Nematostella|LOC5508944	Hydra|LOC101240794
OG0006338	Nematostella|LOC5513758	Hydra|LOC100202951
OG0006339	Nematostella|LOC5509321	Hydra|LOC100213124
OG0006340	Nematostella|LOC5516115	Hydra|LOC100208846
OG0006341	Nematostella|LOC5512941	Hydra|LOC101234335
OG0006342	Nematostella|LOC5507691	Hydra|LOC100205078
OG0006343	Nematostella|LOC5516359	Hydra|LOC100200521
OG0006344	Nematostella|LOC5513412	Hydra|LOC105848799
OG0006345	Nematostella|LOC5518591	Hydra|LOC105846194
OG0006346	Nematostella|LOC5501076	Hydra|LOC100208408
OG0006347	Nematostella|LOC5517898	Hydra|LOC100210886
OG0006348	Nematostella|LOC5521779	Hydra|LOC100211585
OG0006349	Nematostella|LOC5521781	Hydra|LOC100203022
OG0006350	Nematostella|LOC5510900, Nematostella|LOC5510903	Hydra|LOC100210980
OG0006351	Nematostella|LOC5511566	Hydra|LOC101236409
OG0006352	Nematostella|LOC116614205	Hydra|LOC100198390
OG0006353	Nematostella|LOC5509830	Hydra|LOC100214271
OG0006354	Nematostella|LOC5512611	Hydra|LOC100212022
OG0006355	Nematostella|LOC5520299	Hydra|LOC100215770
OG0006356	Nematostella|LOC5519055	Hydra|LOC100203611
OG0006357	Nematostella|LOC5503159	Hydra|LOC100208133
OG0006358	Nematostella|LOC5515025	Hydra|LOC100214468
OG0006359	Nematostella|LOC5510548	Hydra|LOC100197520
OG0006360	Nematostella|LOC5510386	Hydra|LOC100201087
OG0006361	Nematostella|LOC5513930	Hydra|LOC100211402
OG0006362	Nematostella|LOC5504019	Hydra|LOC124807022
OG0006363	Nematostella|LOC5519687	Hydra|LOC100210200
OG0006364	Nematostella|LOC5508845	Hydra|LOC100212506
OG0006365	Nematostella|LOC5506596	Hydra|LOC101236943
OG0006366	Nematostella|LOC5519712	Hydra|LOC100203494
OG0006367	Nematostella|LOC5511049	Hydra|LOC100208033
OG0006368	Nematostella|LOC5517656	Hydra|LOC101236706
OG0006369	Nematostella|LOC5517666	Hydra|LOC100209421
OG0006370	Nematostella|LOC5520355	Hydra|LOC100210060
OG0006371	Nematostella|LOC5511708	Hydra|LOC100211720
OG0006372	Nematostella|LOC5509649	Hydra|LOC100208588
OG0006373	Nematostella|LOC5501797	Hydra|LOC100200594
OG0006374	Nematostella|LOC5505614	Hydra|LOC100213621
OG0006375	Nematostella|LOC5502885	Hydra|LOC100215329
OG0006376	Nematostella|LOC5511707	Hydra|LOC100215536
OG0006377	Nematostella|LOC5520945	Hydra|LOC100198913
OG0006378	Nematostella|LOC5509544	Hydra|LOC100204427
OG0006379	Nematostella|LOC5519100	Hydra|LOC105845492
OG0006380	Nematostella|LOC5506263	Hydra|LOC100197315
OG0006381	Nematostella|LOC5517100	Hydra|LOC100204708
OG0006382	Nematostella|LOC5515253	Hydra|LOC100201285
OG0006383	Nematostella|LOC5514790	Hydra|LOC100212543
OG0006384	Nematostella|LOC5521239	Hydra|LOC101236496
OG0006385	Nematostella|LOC5511701	Hydra|LOC100197951
OG0006386	Nematostella|LOC5508297	Hydra|LOC100204640
OG0006388	Nematostella|LOC5514504	Hydra|LOC100197916
OG0006389	Nematostella|LOC5520252	Hydra|LOC100214605
OG0006390	Nematostella|LOC116612487	Hydra|LOC100198714
OG0006391	Nematostella|LOC5509805	Hydra|LOC100212659
OG0006392	Nematostella|LOC5502220	Hydra|LOC100199685
OG0006393	Nematostella|LOC5502741	Hydra|LOC100212467
OG0006394	Nematostella|LOC5522236	Hydra|LOC100209406
OG0006395	Nematostella|LOC5522005	Hydra|LOC100209980
OG0006396	Nematostella|LOC116609452	Hydra|LOC100212287
OG0006397	Nematostella|LOC5520816	Hydra|LOC100211290
OG0006398	Nematostella|LOC5509733	Hydra|LOC100199208
OG0006399	Nematostella|LOC5506160	Hydra|LOC101238367
OG0006400	Nematostella|LOC5511931	Hydra|LOC100214361
OG0006401	Nematostella|LOC5517056	Hydra|LOC124811624
OG0006402	Nematostella|LOC5517053	Hydra|LOC100211299
OG0006403	Nematostella|LOC5512432	Hydra|LOC100212562
OG0006404	Nematostella|LOC5519186	Hydra|LOC100198291
OG0006405	Nematostella|LOC5513604	Hydra|LOC100198206
OG0006408	Nematostella|LOC5510481	Hydra|LOC100205758
OG0006410	Nematostella|LOC5504189	Hydra|LOC100198118
OG0006411	Nematostella|LOC5508119	Hydra|LOC100208828
OG0006412	Nematostella|LOC5514923	Hydra|LOC100214976
OG0006413	Nematostella|LOC5514965	Hydra|LOC100202916
OG0006414	Nematostella|LOC5507872	Hydra|LOC101240117
OG0006415	Nematostella|LOC5512669	Hydra|LOC100203414
OG0006416	Nematostella|LOC5507553	Hydra|LOC100202086
OG0006417	Nematostella|LOC5501167	Hydra|LOC100215800
OG0006418	Nematostella|LOC5512581	Hydra|LOC100208640
OG0006419	Nematostella|LOC5507764	Hydra|LOC100210672
OG0006420	Nematostella|LOC5514810	Hydra|LOC100201387
OG0006421	Nematostella|LOC5521260	Hydra|LOC105848813
OG0006422	Nematostella|LOC5517873	Hydra|LOC100210023
OG0006423	Nematostella|LOC5508495	Hydra|LOC100209856
OG0006424	Nematostella|LOC5508762	Hydra|LOC100211425
OG0006425	Nematostella|LOC5517870	Hydra|LOC100203706
OG0006426	Nematostella|LOC5510863	Hydra|LOC100215973
OG0006427	Nematostella|LOC116611335	Hydra|LOC101241437
OG0006429	Nematostella|LOC5506318	Hydra|LOC101241363
OG0006430	Nematostella|LOC5511976	Hydra|LOC101241426
OG0006431	Nematostella|LOC5512990	Hydra|LOC100205337
OG0006432	Nematostella|LOC5522188	Hydra|LOC100198802
OG0006433	Nematostella|LOC5512592	Hydra|LOC100200766
OG0006434	Nematostella|LOC116620826	Hydra|LOC100197240
OG0006435	Nematostella|LOC5512073	Hydra|LOC105845188
OG0006436	Nematostella|LOC5506280	Hydra|LOC100211709
OG0006437	Nematostella|LOC5503973	Hydra|LOC100203849
OG0006438	Nematostella|LOC5513380	Hydra|LOC101237090
OG0006439	Nematostella|LOC5512242	Hydra|LOC100210252
OG0006440	Nematostella|LOC5502651	Hydra|LOC100202888
OG0006441	Nematostella|LOC5512255	Hydra|LOC100205021
OG0006442	Nematostella|LOC5506846	Hydra|LOC124809151
OG0006443	Nematostella|LOC5518355	Hydra|LOC100215219
OG0006444	Nematostella|LOC5517545	Hydra|LOC100203125
OG0006445	Nematostella|LOC5511777	Hydra|LOC100210358
OG0006446	Nematostella|LOC116611784	Hydra|LOC105848289
OG0006447	Nematostella|LOC5507541	Hydra|LOC100199350
OG0006448	Nematostella|LOC5502387	Hydra|LOC101236448
OG0006449	Nematostella|LOC5521420	Hydra|LOC105843081
OG0006450	Nematostella|LOC5516520	Hydra|LOC100207230
OG0006451	Nematostella|LOC116601459	Hydra|LOC100203346
OG0006452	Nematostella|LOC5500914	Hydra|LOC100198325
OG0006453	Nematostella|LOC5518892	Hydra|LOC101240572
OG0006454	Nematostella|LOC5501086	Hydra|LOC101237433
OG0006455	Nematostella|LOC5521147	Hydra|LOC100215375
OG0006456	Nematostella|LOC5505666	Hydra|LOC100210289
OG0006457	Nematostella|LOC116614807	Hydra|LOC100198455
OG0006459	Nematostella|LOC5521470	Hydra|LOC100192291
OG0006460	Nematostella|LOC5508154	Hydra|LOC100198877
OG0006461	Nematostella|LOC5512775	Hydra|LOC100205576
OG0006462	Nematostella|LOC5501706	Hydra|LOC101238082
OG0006463	Nematostella|LOC5519998	Hydra|LOC100199117
OG0006464	Nematostella|LOC5515874	Hydra|LOC100204077
OG0006465	Nematostella|LOC5503019	Hydra|LOC100209767
OG0006466	Nematostella|LOC5511599	Hydra|LOC100198946
OG0006467	Nematostella|LOC5512878	Hydra|LOC100198910
OG0006468	Nematostella|LOC5515397	Hydra|LOC100210923
OG0006469	Nematostella|LOC5519912	Hydra|LOC100204379
OG0006470	Nematostella|LOC5512880	Hydra|LOC100207060
OG0006471	Nematostella|LOC116618794	Hydra|LOC100203559
OG0006472	Nematostella|LOC5513417	Hydra|LOC100207157
OG0006473	Nematostella|LOC116609840, Nematostella|LOC5522137	Hydra|LOC124814436
OG0006474	Nematostella|LOC116615067	Hydra|LOC101238684
OG0006475	Nematostella|LOC5500977, Nematostella|LOC5507066	Hydra|LOC100207189
OG0006476	Nematostella|LOC5507239	Hydra|LOC100201325
OG0006477	Nematostella|LOC5515177	Hydra|LOC100210057
OG0006478	Nematostella|LOC5507601	Hydra|LOC100206908
OG0006479	Nematostella|LOC5517122	Hydra|LOC100209037
OG0006480	Nematostella|LOC5505637	Hydra|LOC101241013
OG0006481	Nematostella|LOC5512872	Hydra|LOC100204685
OG0006482	Nematostella|LOC5502890	Hydra|LOC100211373
OG0006483	Nematostella|LOC5502184	Hydra|LOC100204508
OG0006484	Nematostella|LOC116619870	Hydra|LOC100202681
OG0006485	Nematostella|LOC5511004	Hydra|LOC100208352
OG0006486	Nematostella|LOC5520390	Hydra|LOC100202243
OG0006487	Nematostella|LOC116618996	Hydra|LOC100211670
OG0006488	Nematostella|LOC5520467	Hydra|LOC100215274
OG0006489	Nematostella|LOC5505223	Hydra|LOC100210418
OG0006490	Nematostella|LOC5520978	Hydra|LOC101239635
OG0006491	Nematostella|LOC5520403	Hydra|LOC101234687
OG0006492	Nematostella|LOC5521183	Hydra|LOC100203159
OG0006493	Nematostella|LOC5521174	Hydra|LOC100212878
OG0006496	Nematostella|LOC5504412	Hydra|LOC100210167
OG0006497	Nematostella|LOC5517487	Hydra|LOC101234934
OG0006498	Nematostella|LOC5520619	Hydra|LOC100208691
OG0006499	Nematostella|LOC5513507	Hydra|LOC100214695
OG0006500	Nematostella|LOC5502159	Hydra|LOC100202807
OG0006501	Nematostella|LOC5504083	Hydra|LOC100199218
OG0006502	Nematostella|LOC5505961	Hydra|LOC100212875
OG0006504	Nematostella|LOC5517427	Hydra|LOC105843285
OG0006505	Nematostella|LOC5514462	Hydra|LOC100214592
OG0006506	Nematostella|LOC5517485	Hydra|LOC100198305
OG0006508	Nematostella|LOC5522376	Hydra|LOC100209610
OG0006509	Nematostella|LOC5514794	Hydra|LOC100198454
OG0006510	Nematostella|LOC5519612	Hydra|LOC101239412
OG0006512	Nematostella|LOC5511743	Hydra|LOC100212340
